run,model_size,context_length,dtype,tool,name,calls,cpu_time_total_us,cuda_time_total_us
small_256,small,256,fp32,torch.profiler,forward,1,0,31364.994999999995
small_256,small,256,fp32,torch.profiler,profile/measure,1,106021.492,13951.193000000017
small_256,small,256,fp32,torch.profiler,Optimizer.step#AdamW.step,1,0,11256.179000000004
small_256,small,256,fp32,torch.profiler,optimizer,1,4706.857000000004,11219.639999999985
small_256,small,256,fp32,torch.profiler,Optimizer.step#AdamW.step,1,4652.8369999999995,11219.639999999985
small_256,small,256,fp32,torch.profiler,cudaLaunchKernel,1471,8403.801000000238,0.0
small_256,small,256,fp32,torch.profiler,cudaDeviceSynchronize,2,6877.376999999993,0.0
small_256,small,256,fp32,torch.profiler,autograd::engine::evaluate_function: PermuteBackward0,617,6460.20799999989,0.0
small_256,small,256,fp32,torch.profiler,aten::bmm,327,8797.67000000006,5222.170000000126
small_256,small,256,fp32,torch.profiler,aten::permute,1234,5133.272999999898,0.0
small_256,small,256,fp32,torch.profiler,autograd::engine::evaluate_function: BmmBackward0,109,8356.522000000019,3424.2900000001173
small_256,small,256,fp32,torch.profiler,BmmBackward0,109,7383.984999999891,3424.2900000001173
small_256,small,256,fp32,torch.profiler,PermuteBackward0,617,3281.1410000002143,0.0
small_256,small,256,fp32,torch.profiler,forward,1,34275.724,2730.5930000000344
small_256,small,256,fp32,torch.profiler,Unrecognized,1,2371.9800000000005,0.0
small_256,small,256,fp32,torch.profiler,aten::_foreach_mul_,2,214.55299999999988,2263.0010000000184
small_256,small,256,fp32,torch.profiler,"void at::native::(anonymous namespace)::multi_tensor_apply_kernel<at::native::(anonymous namespace)::TensorListMetadata<1>, at::native::(anonymous namespace)::BinaryOpScalarFunctor<float, 1, 1, 0>, std::multiplies<float>, float>(at::native::(anonymous namespace)::TensorListMetadata<1>, at::native::(anonymous namespace)::BinaryOpScalarFunctor<float, 1, 1, 0>, std::multiplies<float>, float)",14,0,2263.0010000000184
small_256,small,256,fp32,torch.profiler,aten::_foreach_addcdiv_,1,110.82499999999709,2208.951000000001
small_256,small,256,fp32,torch.profiler,"void at::native::(anonymous namespace)::multi_tensor_apply_kernel<at::native::(anonymous namespace)::TensorListScalarListMetadata<float, 3>, at::native::(anonymous namespace)::PointwiseOpScalarListFunctor<float, 3, 3, 0>, std::divides<float> >(at::native::(anonymous namespace)::TensorListScalarListMetadata<float, 3>, at::native::(anonymous namespace)::PointwiseOpScalarListFunctor<float, 3, 3, 0>, std::divides<float>)",7,0,2208.951000000001
small_256,small,256,fp32,torch.profiler,aten::copy_,182,2486.1280000001098,2087.700000000029
