batch_size,causal,cv,dimension,dtype,implementation,kind,mean_seconds,memory_active_peak_bytes,memory_allocated_peak_bytes,memory_current_allocated_bytes,memory_current_reserved_bytes,memory_requested_peak_bytes,memory_reserved_peak_bytes,metadata_cuda,metadata_device,metadata_device_name,metadata_memory_total_mib,metadata_tf32,metadata_torch,metadata_triton,p20_seconds,p50_seconds,p80_seconds,phase,raw_seconds,sample_stdev_seconds,seed,sequence_length,source,status,steps,warmup
1,True,0.018262333700211568,128,bfloat16,eager,attention,0.0006451712921261788,58459136,58459136,21758464,94371840,58458120,94371840,12.6,cuda:0,NVIDIA GeForce RTX 3090,24154.4,False,2.7.1+cu126,3.3.1,0.0006389115005731583,0.0006419606506824493,0.0006464794278144836,backward,"[0.0006457250565290451, 0.0006464794278144836, 0.0006443411111831665, 0.0006395801901817322, 0.0006380174309015274, 0.0006389115005731583, 0.0006764456629753113, 0.0006392523646354675, 0.0006479881703853607, 0.0006349720060825348]",1.1782333430604956e-05,0,2048,attention/core-eager-2048-128-backward.json,ok,10,5
1,True,0.018722428453944825,128,bfloat16,eager,attention,0.00024335533380508422,31588352,31588352,10092544,44040192,31588352,44040192,12.6,cuda:0,NVIDIA GeForce RTX 3090,24154.4,False,2.7.1+cu126,3.3.1,0.00024120882153511047,0.00024206005036830902,0.00024267621338367463,forward,"[0.0002560913562774658, 0.00024384446442127228, 0.0002423841506242752, 0.00024125538766384125, 0.00024216435849666595, 0.00024224445223808289, 0.0002419557422399521, 0.00024179182946681976, 0.00024079903960227966, 0.00024102255702018738]",4.55620282605155e-06,0,2048,attention/core-eager-2048-128-forward.json,ok,10,5
1,True,0.02821778647056401,128,bfloat16,eager,attention,0.0009005865082144737,57410560,57410560,20185088,94371840,57409544,94371840,12.6,cuda:0,NVIDIA GeForce RTX 3090,24154.4,False,2.7.1+cu126,3.3.1,0.0008860837668180465,0.0008892957121133804,0.0009063933044672013,forward_backward,"[0.0009657517075538635, 0.0009160283952951431, 0.0009039845317602158, 0.0008909758180379868, 0.0008864887058734894, 0.0008844640105962753, 0.0008876156061887741, 0.0009031277149915695, 0.0008805058896541595, 0.0008869227021932602]",2.541255778706686e-05,0,2048,attention/core-eager-2048-128-forward_backward.json,ok,10,5
1,True,0.012549622951720107,64,bfloat16,eager,attention,0.0006523789837956428,56624128,56624128,19399168,90177536,56623112,90177536,12.6,cuda:0,NVIDIA GeForce RTX 3090,24154.4,False,2.7.1+cu126,3.3.1,0.0006462894380092621,0.0006504710763692856,0.0006563272327184677,backward,"[0.0006554443389177322, 0.0006596948951482773, 0.0006470773369073868, 0.000651676207780838, 0.0006462894380092621, 0.0006699711084365845, 0.0006492659449577332, 0.0006443411111831665, 0.0006437022238969803, 0.0006563272327184677]",8.187110268261639e-06,0,2048,attention/core-eager-2048-64-backward.json,ok,10,5
1,True,0.03061462440998924,64,bfloat16,eager,attention,0.00022870004177093505,30539776,30539776,9306112,44040192,30539776,44040192,12.6,cuda:0,NVIDIA GeForce RTX 3090,24154.4,False,2.7.1+cu126,3.3.1,0.00022451579570770264,0.0002259751781821251,0.0002323109656572342,forward,"[0.0002459809184074402, 0.00022770464420318604, 0.00022667646408081055, 0.0002240687608718872, 0.0002246275544166565, 0.0002320762723684311, 0.00022525712847709656, 0.00022208504378795624, 0.0002332497388124466, 0.00022527389228343964]",7.001565881366027e-06,0,2048,attention/core-eager-2048-64-forward.json,ok,10,5
1,True,0.01580996352919029,64,bfloat16,eager,attention,0.000931704044342041,56099840,56099840,18612224,90177536,56098824,90177536,12.6,cuda:0,NVIDIA GeForce RTX 3090,24154.4,False,2.7.1+cu126,3.3.1,0.0009207304567098618,0.0009290697053074837,0.0009395811706781387,forward_backward,"[0.0009666401892900467, 0.0009329896420240402, 0.0009397957473993301, 0.0009395275264978409, 0.0009252075105905533, 0.0009212959557771683, 0.0009219665080308914, 0.0009182170033454895, 0.0009329319000244141, 0.0009184684604406357]",1.4730206961046758e-05,0,2048,attention/core-eager-2048-64-forward_backward.json,ok,10,5
1,True,0.011975608567606287,128,bfloat16,eager,attention,0.000631626695394516,20317184,20317184,18219520,25165824,20316168,25165824,12.6,cuda:0,NVIDIA GeForce RTX 3090,24154.4,False,2.7.1+cu126,3.3.1,0.0006247591227293015,0.0006308760493993759,0.0006369743496179581,backward,"[0.0006369743496179581, 0.0006470028311014175, 0.0006311479955911636, 0.0006243009120225906, 0.0006329100579023361, 0.0006306041032075882, 0.0006269235163927078, 0.0006247591227293015, 0.0006386563181877136, 0.0006229877471923828]",7.564114064895412e-06,0,512,attention/core-eager-512-128-backward.json,ok,10,5
1,True,0.06955710294071268,128,bfloat16,eager,attention,0.00018927641212940216,10354688,10354688,8912896,23068672,10354688,23068672,12.6,cuda:0,NVIDIA GeForce RTX 3090,24154.4,False,2.7.1+cu126,3.3.1,0.0001808255910873413,0.00018533971160650253,0.00019160434603691102,forward,"[0.00022424384951591492, 0.00019263103604316711, 0.0001871604472398758, 0.00018351897597312927, 0.0001827925443649292, 0.00019134767353534698, 0.0001901034265756607, 0.00018094107508659363, 0.00018036365509033203, 0.00017966143786907196]",1.3165518882733586e-05,0,512,attention/core-eager-512-128-forward.json,ok,10,5
1,True,0.024637828294523757,128,bfloat16,eager,attention,0.0008975915610790252,20055040,20055040,17825792,25165824,20054024,25165824,12.6,cuda:0,NVIDIA GeForce RTX 3090,24154.4,False,2.7.1+cu126,3.3.1,0.0008836682885885238,0.0008891038596630096,0.0009068574756383896,forward_backward,"[0.0009522121399641037, 0.0009144600480794907, 0.0009049568325281143, 0.0008850209414958954, 0.0008956696838140488, 0.0008865222334861755, 0.0008820723742246628, 0.0008792486041784286, 0.0008916854858398438, 0.0008840672671794891]",2.2114706760478557e-05,0,512,attention/core-eager-512-128-forward_backward.json,ok,10,5
1,True,0.01277902688583287,64,bfloat16,eager,attention,0.0006303789094090461,19858432,19858432,17629696,25165824,19857416,25165824,12.6,cuda:0,NVIDIA GeForce RTX 3090,24154.4,False,2.7.1+cu126,3.3.1,0.0006240196526050568,0.0006273537874221802,0.0006350316107273102,backward,"[0.000634288415312767, 0.0006301533430814743, 0.0006350316107273102, 0.0006474386900663376, 0.000624554231762886, 0.0006230715662240982, 0.0006241872906684875, 0.0006372258067131042, 0.0006240196526050568, 0.0006238184869289398]",8.055629031600203e-06,0,512,attention/core-eager-512-64-backward.json,ok,10,5
