batch_size,calls,context_length,cpu_total_us,cuda_total_us,model_size,name,self_cuda_us
1,651,1024,22441.544000000024,160763.644,medium,aten::bmm,160763.644
1,1,1024,210195.86500000002,119984.3149999999,medium,profile/measure,0.0
1,217,1024,21782.51799999988,106733.696,medium,autograd::engine::evaluate_function: BmmBackward0,0.0
1,217,1024,19223.861999999965,106733.696,medium,BmmBackward0,0.0
1,1,1024,0,81518.845,medium,forward,81518.845
1,1,1024,59182.277,79325.77499999992,medium,forward,0.0
1,169,1024,17320.280000000057,44739.05199999999,medium,aten::einsum,0.0
1,169,1024,0,44525.07600000001,medium,ampere_sgemm_128x64_tn,44525.07600000001
1,1,1024,0,40783.83799999996,medium,Optimizer.step#AdamW.step,40783.83799999996
1,1,1024,6346.985000000015,40657.003999999986,medium,optimizer,0.0
1,1,1024,6236.790000000008,40657.003999999986,medium,Optimizer.step#AdamW.step,0.0
1,1043,1024,18321.370999999923,22221.642999999982,medium,aten::mul,22221.642999999982
1,120,1024,0,21317.668000000107,medium,ampere_sgemm_128x64_nn,21317.668000000107
1,120,1024,0,21023.39700000001,medium,void cutlass::Kernel2<cutlass_80_simt_sgemm_128x256_8x4_nt_align1>(cutlass_80_simt_sgemm_128x256_8x4_nt_align1::Params),21023.39700000001
1,48,1024,0,20715.25500000012,medium,void cutlass::Kernel2<cutlass_80_simt_sgemm_256x128_8x4_nn_align1>(cutlass_80_simt_sgemm_256x128_8x4_nn_align1::Params),20715.25500000012
1,49,1024,0,20679.733999999953,medium,void cutlass::Kernel2<cutlass_80_simt_sgemm_256x128_8x4_nt_align1>(cutlass_80_simt_sgemm_256x128_8x4_nt_align1::Params),20679.733999999953
1,411,1024,7591.837000000073,17282.35099999993,medium,aten::copy_,17282.35099999993
1,364,1024,0,16329.845000000256,medium,"void at::native::vectorized_elementwise_kernel<4, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> >, std::array<char*, 3ul> >(int, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> >, std::array<char*, 3ul>)",16329.845000000256
1,48,1024,3288.6860000000033,15348.21800000004,medium,aten::masked_fill,0.0
1,24,1024,0,14931.110999999997,medium,attention/scores,14931.110999999997
