run_id,model_size,batch_size,context_length,mode,dtype,row_type,name,calls,cpu_total_us,cuda_total_us,cuda_self_us,rank
small-b4-c256-train_step-fp32-w5-n1,small,4,256,train_step,fp32,stage_range,profile/warmup,1,15.325,0.0,0.0,1
small-b4-c256-train_step-fp32-w5-n1,small,4,256,train_step,fp32,stage_range,profile/measure,1,111570.637,110102.142,1.216,2
small-b4-c256-train_step-fp32-w5-n1,small,4,256,train_step,fp32,stage_range,zero_grad,1,255.435,0.0,0.0,3
small-b4-c256-train_step-fp32-w5-n1,small,4,256,train_step,fp32,stage_range,forward,1,27746.562,27584.801,27376.788,4
small-b4-c256-train_step-fp32-w5-n1,small,4,256,train_step,fp32,stage_range,backward,1,52672.392,52306.686,0.864,5
small-b4-c256-train_step-fp32-w5-n1,small,4,256,train_step,fp32,stage_range,optimizer,1,29792.553,30210.655,0.0,6
small-b4-c256-train_step-fp32-w5-n1,small,4,256,train_step,fp32,stage_range,attention/scores,12,2652.805,1342.735,1342.735,7
small-b4-c256-train_step-fp32-w5-n1,small,4,256,train_step,fp32,stage_range,attention/softmax,12,1690.828,1160.27,1160.27,8
small-b4-c256-train_step-fp32-w5-n1,small,4,256,train_step,fp32,stage_range,attention/value,12,1694.595,673.256,673.256,9
small-b4-c256-train_step-fp32-w5-n1,small,4,256,train_step,fp32,operator,aten::bmm,327,7854.425,23232.943,23232.943,1
small-b4-c256-train_step-fp32-w5-n1,small,4,256,train_step,fp32,operator,autograd::engine::evaluate_function: BmmBackward0,109,6715.692,15276.597,0.0,2
small-b4-c256-train_step-fp32-w5-n1,small,4,256,train_step,fp32,operator,aten::einsum,109,9166.441,8045.884,0.0,3
small-b4-c256-train_step-fp32-w5-n1,small,4,256,train_step,fp32,operator,aten::mul,1206,15791.484,7567.318,7567.318,4
small-b4-c256-train_step-fp32-w5-n1,small,4,256,train_step,fp32,operator,autograd::engine::evaluate_function: MulBackward0,170,6678.258,2422.89,0.0,5
small-b4-c256-train_step-fp32-w5-n1,small,4,256,train_step,fp32,operator,aten::copy_,207,2442.909,2248.721,2248.721,6
small-b4-c256-train_step-fp32-w5-n1,small,4,256,train_step,fp32,operator,aten::add,430,5323.768,1793.362,1793.362,7
small-b4-c256-train_step-fp32-w5-n1,small,4,256,train_step,fp32,operator,autograd::engine::evaluate_function: torch::autograd::AccumulateGrad,111,2402.668,1762.193,0.0,8
small-b4-c256-train_step-fp32-w5-n1,small,4,256,train_step,fp32,operator,aten::div,210,2876.234,1497.485,1497.485,9
small-b4-c256-train_step-fp32-w5-n1,small,4,256,train_step,fp32,operator,aten::sub_,222,1982.341,1211.37,1211.37,10
small-b4-c256-train_step-fp32-w5-n1,small,4,256,train_step,fp32,operator,autograd::engine::evaluate_function: DivBackward0,24,1496.599,1051.274,0.0,11
