implementation,batch_size,sequence_length,head_dim,dtype,causal,phase,warmup_ms,measurement_ms,p20_ms,p50_ms,p80_ms,peak_allocated_mib,peak_reserved_mib,speedup_vs_eager,status,error_type,block_q,block_k,num_warps,num_stages,command
eager,1,512,64,bf16,True,forward,100,300,0.03174399957060814,0.03174399957060814,0.03276799991726875,267.1328125,280.0,,success,,,,,,python -m student_scripts.a2k.run_attention_benchmark --sequence-length 512 --head-dim 64 --implementation eager --phase forward --output local_results/a2k/attention_baseline.csv
eager,1,512,64,bf16,True,backward,100,300,0.04403200000524521,0.05632000043988228,0.05965439975261688,277.375,282.0,,success,,,,,,python -m student_scripts.a2k.run_attention_benchmark --sequence-length 512 --head-dim 64 --implementation eager --phase backward --output local_results/a2k/attention_baseline.csv
eager,1,512,64,bf16,True,forward_backward,100,300,0.36190719604492183,0.3906559944152832,0.46489598751068123,276.875,282.0,,success,,,,,,python -m student_scripts.a2k.run_attention_benchmark --sequence-length 512 --head-dim 64 --implementation eager --phase forward_backward --output local_results/a2k/attention_baseline.csv
eager,1,512,128,bf16,True,forward,100,300,0.03276799991726875,0.033504001796245575,0.03379200026392937,267.3828125,280.0,,success,,,,,,python -m student_scripts.a2k.run_attention_benchmark --sequence-length 512 --head-dim 128 --implementation eager --phase forward --output local_results/a2k/attention_baseline.csv
eager,1,512,128,bf16,True,backward,100,300,0.046060800552368164,0.04608000069856644,0.04636799916625023,277.75,282.0,,success,,,,,,python -m student_scripts.a2k.run_attention_benchmark --sequence-length 512 --head-dim 128 --implementation eager --phase backward --output local_results/a2k/attention_baseline.csv
eager,1,512,128,bf16,True,forward_backward,100,300,0.2959359884262085,0.30105599761009216,0.30720001459121704,277.25,282.0,,success,,,,,,python -m student_scripts.a2k.run_attention_benchmark --sequence-length 512 --head-dim 128 --implementation eager --phase forward_backward --output local_results/a2k/attention_baseline.csv
eager,1,2048,64,bf16,True,forward,100,300,0.10521599650382996,0.10547199845314026,0.10649599879980087,309.15625,330.0,,success,,,,,,python -m student_scripts.a2k.run_attention_benchmark --sequence-length 2048 --head-dim 64 --implementation eager --phase forward --output local_results/a2k/attention_baseline.csv
eager,1,2048,64,bf16,True,backward,100,300,0.16281600296497345,0.16383999586105347,0.1648063987493515,349.75,368.0,,success,,,,,,python -m student_scripts.a2k.run_attention_benchmark --sequence-length 2048 --head-dim 64 --implementation eager --phase backward --output local_results/a2k/attention_baseline.csv
eager,1,2048,64,bf16,True,forward_backward,100,300,0.26214399933815,0.2693119943141937,0.27852800488471985,341.75,364.0,,success,,,,,,python -m student_scripts.a2k.run_attention_benchmark --sequence-length 2048 --head-dim 64 --implementation eager --phase forward_backward --output local_results/a2k/attention_baseline.csv
eager,1,2048,128,bf16,True,forward,100,300,0.10956799983978271,0.11059200018644333,0.1106560006737709,310.15625,332.0,,success,,,,,,python -m student_scripts.a2k.run_attention_benchmark --sequence-length 2048 --head-dim 128 --implementation eager --phase forward --output local_results/a2k/attention_baseline.csv
eager,1,2048,128,bf16,True,backward,100,300,0.17612800002098083,0.17715199291706085,0.17817600071430206,351.25,370.0,,success,,,,,,python -m student_scripts.a2k.run_attention_benchmark --sequence-length 2048 --head-dim 128 --implementation eager --phase backward --output local_results/a2k/attention_baseline.csv
eager,1,2048,128,bf16,True,forward_backward,100,300,0.24985599517822266,0.27699199318885803,0.35180799961090087,343.25,366.0,,success,,,,,,python -m student_scripts.a2k.run_attention_benchmark --sequence-length 2048 --head-dim 128 --implementation eager --phase forward_backward --output local_results/a2k/attention_baseline.csv
eager,1,8192,64,bf16,True,forward,100,300,2.8293120861053467,2.8312320709228516,2.841958475112915,972.25,1178.0,,success,,,,,,python -m student_scripts.a2k.run_attention_benchmark --sequence-length 8192 --head-dim 64 --implementation eager --phase forward --output local_results/a2k/attention_baseline.csv
eager,1,8192,64,bf16,True,backward,100,300,4.21068811416626,4.217855930328369,4.221875286102295,1494.25,1694.0,,success,,,,,,python -m student_scripts.a2k.run_attention_benchmark --sequence-length 8192 --head-dim 64 --implementation eager --phase backward --output local_results/a2k/attention_baseline.csv
eager,1,8192,64,bf16,True,forward_backward,100,300,6.957056045532227,6.962671995162964,6.98367977142334,1366.25,1694.0,,success,,,,,,python -m student_scripts.a2k.run_attention_benchmark --sequence-length 8192 --head-dim 64 --implementation eager --phase forward_backward --output local_results/a2k/attention_baseline.csv
eager,1,8192,128,bf16,True,forward,100,300,2.8476992607116696,2.849951982498169,2.862451267242432,976.25,1174.0,,success,,,,,,python -m student_scripts.a2k.run_attention_benchmark --sequence-length 8192 --head-dim 128 --implementation eager --phase forward --output local_results/a2k/attention_baseline.csv
eager,1,8192,128,bf16,True,backward,100,300,4.242432117462158,4.244480133056641,4.248768138885498,1500.25,1684.0,,success,,,,,,python -m student_scripts.a2k.run_attention_benchmark --sequence-length 8192 --head-dim 128 --implementation eager --phase backward --output local_results/a2k/attention_baseline.csv
eager,1,8192,128,bf16,True,forward_backward,100,300,7.023206329345703,7.027711868286133,7.036723232269287,1372.25,1686.0,,success,,,,,,python -m student_scripts.a2k.run_attention_benchmark --sequence-length 8192 --head-dim 128 --implementation eager --phase forward_backward --output local_results/a2k/attention_baseline.csv
