config_id,model_size,num_layers,context_length,batch_size,dtype,checkpoint_block_size,nested,warmup_steps,measurement_steps,step_time_ms_samples,step_time_ms_p50,peak_allocated_mib,peak_reserved_mib,status,error_type
medium_c1024_block_none,medium,24,1024,1,bf16_autocast_fp32_params,none,False,3,5,"[130.2274540066719, 130.0821490585804, 130.41533902287483, 130.05949556827545, 130.191408097744]",130.191408097744,10078.3447265625,10270.0,success,
medium_c1024_block_1,medium,24,1024,1,bf16_autocast_fp32_params,1,False,3,5,"[263.9034725725651, 252.01373919844627, 271.8702629208565, 272.9840762913227, 290.9737266600132]",271.8702629208565,8123.09814453125,8168.0,success,
medium_c1024_block_2,medium,24,1024,1,bf16_autocast_fp32_params,2,False,3,5,"[183.04351344704628, 175.4574291408062, 178.05954813957214, 176.04925110936165, 181.27386644482613]",178.05954813957214,8123.56689453125,8178.0,success,
medium_c1024_block_4,medium,24,1024,1,bf16_autocast_fp32_params,4,False,3,5,"[175.25402456521988, 172.3381206393242, 172.5654974579811, 173.45517128705978, 173.09798300266266]",173.09798300266266,8122.62939453125,8230.0,success,
medium_c1024_block_8,medium,24,1024,1,bf16_autocast_fp32_params,8,False,3,5,"[169.79960724711418, 169.70577836036682, 170.43602094054222, 169.67790946364403, 170.0228825211525]",169.79960724711418,8122.62939453125,8226.0,success,
medium_c2048_block_none,medium,24,2048,1,bf16_autocast_fp32_params,none,False,3,5,"[394.01499927043915, 394.4239355623722, 393.9731940627098, 394.0337114036083, 393.9462751150131]",394.01499927043915,19685.6376953125,20164.0,success,
medium_c2048_block_1,medium,24,2048,1,bf16_autocast_fp32_params,1,False,3,5,"[513.2287740707397, 507.0563144981861, 511.3607458770275, 507.7911466360092, 507.46504589915276]",507.7911466360092,8148.17626953125,9186.0,success,
medium_c2048_block_2,medium,24,2048,1,bf16_autocast_fp32_params,2,False,3,5,"[509.357787668705, 509.31497663259506, 509.35886427760124, 508.87710601091385, 509.06286761164665]",509.31497663259506,8582.5595703125,9976.0,success,
medium_c2048_block_4,medium,24,2048,1,bf16_autocast_fp32_params,4,False,3,5,"[510.7050947844982, 511.841032654047, 510.3025436401367, 511.70639321208, 510.33158227801323]",510.7050947844982,9588.7001953125,10882.0,success,
medium_c2048_block_8,medium,24,2048,1,bf16_autocast_fp32_params,8,False,3,5,"[509.8814480006695, 509.98811051249504, 510.56303083896637, 511.35488972067833, 511.35967299342155]",510.56303083896637,11607.6376953125,11936.0,success,
