scope,model_size,implementation,batch_size,sequence_length,head_dim,dtype,causal,phase,cold_start_ms,p20_ms,p50_ms,p80_ms,samples_ms,peak_allocated_mib,peak_reserved_mib,status
attention,,eager,1,512,64,bf16,True,forward,365.3389923274517,0.03174399957060814,0.03174399957060814,0.031968001276254654,,267.1328125,280.0,success
attention,,eager,1,512,64,bf16,True,forward_backward,650.1414030790329,0.3903231918811798,0.40454401075839996,0.4210879981517792,,276.875,282.0,success
attention,,compiled,1,512,64,bf16,True,forward,7285.651691257954,0.013311999849975109,0.013311999849975109,0.014336000196635723,,265.44140625,278.0,success
attention,,compiled,1,512,64,bf16,True,forward_backward,3485.32073199749,0.21884800493717194,0.3255999982357025,0.5295360088348389,,273.62890625,278.0,success
attention,,eager,1,2048,128,bf16,True,forward,430.4083399474621,0.10956799983978271,0.11055999994277954,0.11078400164842606,,310.15625,332.0,success
attention,,eager,1,2048,128,bf16,True,forward_backward,652.2359661757946,0.2457599937915802,0.2667520046234131,0.2877439856529236,,343.25,366.0,success
attention,,compiled,1,2048,128,bf16,True,forward,3628.2437220215797,0.04095999896526337,0.04198399931192398,0.04505600035190582,,282.640625,300.0,success
attention,,compiled,1,2048,128,bf16,True,forward_backward,2626.259084790945,0.2748160004615784,0.3214400112628937,0.5394943952560425,,291.265625,302.0,success
attention,,eager,1,8192,128,bf16,True,forward,371.37385830283165,2.849753665924072,2.8528640270233154,2.8641024589538575,,976.25,1174.0,success
attention,,eager,1,8192,128,bf16,True,forward_backward,1047.5402660667896,7.023667335510254,7.027711868286133,7.02996473312378,,1372.25,1686.0,success
attention,,compiled,1,8192,128,bf16,True,forward,4437.299478799105,0.638975977897644,0.6413440108299255,0.6431679725646973,,530.1875,606.0,success
attention,,compiled,1,8192,128,bf16,True,forward_backward,3983.1388778984547,1.679360032081604,1.6814080476760864,1.684671974182129,,540.3125,678.0,success
language_model,small,eager,1,512,,bf16,True,forward,405.4504856467247,12.141186743974686,12.26700283586979,12.454365193843842,"[12.20100000500679, 12.431662529706955, 12.213140726089478, 12.519411742687225, 12.160230427980423, 12.3208649456501, 12.438103556632996, 12.065012007951736, 16.35286957025528, 11.95162907242775]",544.2333984375,612.0,success
language_model,small,eager,1,512,,bf16,True,forward_backward,547.8353649377823,40.75521230697632,41.13223776221275,54.935771971940994,"[41.39115288853645, 40.76428711414337, 40.718913078308105, 40.87332263588905, 40.850669145584106, 53.843703120946884, 59.304047375917435, 64.84584882855415, 44.43880915641785, 39.870113134384155]",1398.990234375,1516.0,success
language_model,small,eager,1,512,,bf16,True,train_step,968.254592269659,52.59816125035286,54.83400076627731,64.12778571248055,"[64.09972533583641, 55.53755909204483, 51.31043866276741, 109.06611382961273, 64.24002721905708, 55.156175047159195, 52.82215774059296, 51.70217528939247, 54.51182648539543, 53.8080632686615]",2511.01513671875,2836.0,success
language_model,small,compiled,1,512,,bf16,True,forward,17337.78851106763,3.2825596630573273,3.300148993730545,3.318307548761368,"[3.322158008813858, 3.322504460811615, 3.3173449337482452, 3.299180418252945, 3.2632574439048767, 3.301117569208145, 3.2898373901844025, 3.3026225864887238, 3.2853297889232635, 3.271479159593582]",526.8701171875,694.0,success
language_model,small,compiled,1,512,,bf16,True,forward_backward,30918.11789944768,12.674176692962646,12.705802917480469,12.80161663889885,"[12.922655791044235, 12.790556997060776, 12.684479355812073, 12.691602110862732, 12.680519372224808, 12.627992779016495, 12.648805975914001, 12.733358889818192, 12.720003724098206, 12.845855206251144]",1184.935546875,1356.0,success
language_model,small,compiled,1,512,,bf16,True,train_step,3525.9425416588783,24.37797263264656,24.43966083228588,24.638625979423523,"[24.747386574745178, 24.44634586572647, 24.378567934036255, 25.32927691936493, 24.394888430833817, 24.375591427087784, 24.319961667060852, 24.43297579884529, 24.61143583059311, 24.481330066919327]",2498.15576171875,2812.0,success
