implementation,matrix,batch_size,sequence_length,head_dim,dtype,causal,phase,p20_ms,p50_ms,p80_ms,timer,warmup_ms,rep_ms,quantiles,peak_allocated_mib,peak_reserved_mib,speedup_vs_eager,query_tile,key_tile,num_warps,num_stages,status,authoritative,evidence_class
eager,core,1,512,64,bfloat16,True,forward,0.027648000046610832,0.027648000046610832,0.028672000393271446,triton.testing.do_bench,100,300,"[0.2,0.5,0.8]",265.8203125,278.0,1.0,,,,,development_ok,False,development_non_authoritative
eager,core,1,512,64,bfloat16,True,backward,0.03568639978766441,0.035840000957250595,0.03596799820661545,triton.testing.do_bench,100,300,"[0.2,0.5,0.8]",275.0,280.0,1.0,,,,,development_ok,False,development_non_authoritative
eager,core,1,512,64,bfloat16,True,forward_backward,0.21196800470352173,0.218128003180027,0.24271999299526215,triton.testing.do_bench,100,300,"[0.2,0.5,0.8]",275.0,280.0,1.0,,,,,development_ok,False,development_non_authoritative
eager,core,1,512,128,bfloat16,True,forward,0.02969600073993206,0.02969600073993206,0.02985600009560585,triton.testing.do_bench,100,300,"[0.2,0.5,0.8]",266.0078125,280.0,1.0,,,,,development_ok,False,development_non_authoritative
eager,core,1,512,128,bfloat16,True,backward,0.03993599861860275,0.04076800122857094,0.04403200000524521,triton.testing.do_bench,100,300,"[0.2,0.5,0.8]",275.5,280.0,1.0,,,,,development_ok,False,development_non_authoritative
eager,core,1,512,128,bfloat16,True,forward_backward,0.2539519965648651,0.26521599292755127,0.2900159955024719,triton.testing.do_bench,100,300,"[0.2,0.5,0.8]",275.5,280.0,1.0,,,,,development_ok,False,development_non_authoritative
eager,core,1,2048,64,bfloat16,True,forward,0.08427520096302032,0.08499199897050858,0.08588799834251404,triton.testing.do_bench,100,300,"[0.2,0.5,0.8]",288.90625,298.0,1.0,,,,,development_ok,False,development_non_authoritative
eager,core,1,2048,64,bfloat16,True,backward,0.09625600278377533,0.09728000313043594,0.09728000313043594,triton.testing.do_bench,100,300,"[0.2,0.5,0.8]",310.25,340.0,1.0,,,,,development_ok,False,development_non_authoritative
eager,core,1,2048,64,bfloat16,True,forward_backward,0.3026240050792694,0.3092480003833771,0.31495038866996766,triton.testing.do_bench,100,300,"[0.2,0.5,0.8]",310.25,340.0,1.0,,,,,development_ok,False,development_non_authoritative
eager,core,1,2048,128,bfloat16,True,forward,0.08908800035715103,0.0899839997291565,0.09011200070381165,triton.testing.do_bench,100,300,"[0.2,0.5,0.8]",289.65625,300.0,1.0,,,,,development_ok,False,development_non_authoritative
eager,core,1,2048,128,bfloat16,True,backward,0.1085439994931221,0.10956799983978271,0.10956799983978271,triton.testing.do_bench,100,300,"[0.2,0.5,0.8]",312.25,342.0,1.0,,,,,development_ok,False,development_non_authoritative
eager,core,1,2048,128,bfloat16,True,forward_backward,0.2242559939622879,0.22937600314617157,0.24016000032424928,triton.testing.do_bench,100,300,"[0.2,0.5,0.8]",312.25,342.0,1.0,,,,,development_ok,False,development_non_authoritative
eager,core,1,8192,64,bfloat16,True,forward,1.803558421134949,1.8053120374679565,1.807360053062439,triton.testing.do_bench,100,300,"[0.2,0.5,0.8]",651.25,666.0,1.0,,,,,development_ok,False,development_non_authoritative
eager,core,1,8192,64,bfloat16,True,backward,2.4627199172973633,2.464063882827759,2.4659264087677,triton.testing.do_bench,100,300,"[0.2,0.5,0.8]",856.25,928.0,1.0,,,,,development_ok,False,development_non_authoritative
eager,core,1,8192,64,bfloat16,True,forward_backward,4.186175918579102,4.189039945602417,4.1902079582214355,triton.testing.do_bench,100,300,"[0.2,0.5,0.8]",856.25,926.0,1.0,,,,,development_ok,False,development_non_authoritative
eager,core,1,8192,128,bfloat16,True,forward,1.819648027420044,1.8227200508117676,1.827839970588684,triton.testing.do_bench,100,300,"[0.2,0.5,0.8]",654.25,662.0,1.0,,,,,development_ok,False,development_non_authoritative
eager,core,1,8192,128,bfloat16,True,backward,2.5026559829711914,2.505728006362915,2.5067520141601562,triton.testing.do_bench,100,300,"[0.2,0.5,0.8]",864.25,918.0,1.0,,,,,development_ok,False,development_non_authoritative
eager,core,1,8192,128,bfloat16,True,forward_backward,4.24345588684082,4.25984001159668,4.2639360427856445,triton.testing.do_bench,100,300,"[0.2,0.5,0.8]",864.25,1046.0,1.0,,,,,development_ok,False,development_non_authoritative
eager,boundary,1,16384,64,bfloat16,True,forward,7.214931297302247,7.236608028411865,7.240908813476563,triton.testing.do_bench,100,300,"[0.2,0.5,0.8]",1806.375,2070.0,1.0,,,,,development_ok,False,development_non_authoritative
eager,boundary,1,16384,64,bfloat16,True,backward,9.736639976501465,9.739263534545898,9.752486610412598,triton.testing.do_bench,100,300,"[0.2,0.5,0.8]",2592.25,3094.0,1.0,,,,,development_ok,False,development_non_authoritative
eager,boundary,1,16384,64,bfloat16,True,forward_backward,16.880640029907227,16.883712768554688,16.885759353637695,triton.testing.do_bench,100,300,"[0.2,0.5,0.8]",2592.25,3094.0,1.0,,,,,development_ok,False,development_non_authoritative
eager,boundary,1,16384,128,bfloat16,True,forward,7.258111953735352,7.261184215545654,7.263232231140137,triton.testing.do_bench,100,300,"[0.2,0.5,0.8]",1812.375,2090.0,1.0,,,,,development_ok,False,development_non_authoritative
eager,boundary,1,16384,128,bfloat16,True,backward,9.880576133728027,9.883167743682861,9.888364601135255,triton.testing.do_bench,100,300,"[0.2,0.5,0.8]",2608.25,3114.0,1.0,,,,,development_ok,False,development_non_authoritative
eager,boundary,1,16384,128,bfloat16,True,forward_backward,17.08880043029785,17.095711708068848,17.099775314331055,triton.testing.do_bench,100,300,"[0.2,0.5,0.8]",2608.25,3114.0,1.0,,,,,development_ok,False,development_non_authoritative
