config_id,workload,model_size,parameter_count,parameter_dtype,batch_size,sequence_length,context_length,head_dim,dtype,causal,implementation,phase,warmup_steps,measurement_steps,timer,warmup_ms,rep_ms,measurement_count,first_call_ms,cold_start_ms,cold_forward_setup_ms,cold_phase_ms,steady_ms_samples,raw_samples_retained_privately,steady_ms_p20,steady_ms_p50,steady_ms_p80,cold_peak_allocated_mib,cold_peak_reserved_mib,peak_allocated_mib,peak_reserved_mib,compile_backend,compile_fullgraph,compile_dynamic,status,seed,allocator_limit_mib,allocator_fraction,within_allocator_limit,error_type,error_summary,authoritative,evidence_class
attention_s512_d64_eager_forward,attention,,,,1,512,,64,bf16,True,eager,forward,,,cuda_event_duration,100,300,2156,267.39932,,,267.39932,[],True,0.136288,0.137408,0.139136,9.8203125,22.0,9.8203125,22.0,,False,False,ok,42,23552,0.4854174583443363,True,,,False,development_non_authoritative
attention_s512_d64_eager_backward,attention,,,,1,512,,64,bf16,True,eager,backward,,,cuda_event_duration,100,300,1026,286.981315,,273.347288,13.630468,[],True,0.284672,0.28672,0.291104,18.875,24.0,18.875,24.0,,False,False,ok,42,23552,0.4854174583443363,True,,,False,development_non_authoritative
attention_s512_d64_eager_forward_backward,attention,,,,1,512,,64,bf16,True,eager,forward_backward,,,cuda_event_duration,100,300,534,283.299622,,,283.299622,[],True,0.545792,0.553088,0.562739,18.875,24.0,18.875,24.0,,False,False,ok,42,23552,0.4854174583443363,True,,,False,development_non_authoritative
attention_s512_d64_compiled_forward,attention,,,,1,512,,64,bf16,True,compiled,forward,,,cuda_event_duration,100,300,2514,3135.058681,3135.058681,,3135.058681,[],True,0.115936,0.11696,0.118784,8.875,22.0,8.875,22.0,inductor,True,False,ok,42,23552,0.4854174583443363,True,,,False,development_non_authoritative
attention_s512_d64_compiled_backward,attention,,,,1,512,,64,bf16,True,compiled,backward,,,cuda_event_duration,100,300,1227,2843.495993,2843.495993,2632.552444,210.939511,[],True,0.238592,0.240832,0.247808,17.625,22.0,17.625,22.0,inductor,True,False,ok,42,23552,0.4854174583443363,True,,,False,development_non_authoritative
attention_s512_d64_compiled_forward_backward,attention,,,,1,512,,64,bf16,True,compiled,forward_backward,,,cuda_event_duration,100,300,699,2728.521244,2728.521244,,2728.521244,[],True,0.41984,0.425952,0.435014,17.625,22.0,17.625,22.0,inductor,True,False,ok,42,23552,0.4854174583443363,True,,,False,development_non_authoritative
attention_s2048_d128_eager_forward,attention,,,,1,2048,,128,bf16,True,eager,forward,,,cuda_event_duration,100,300,2207,264.151927,,,264.151927,[],True,0.13424,0.135168,0.136256,33.65625,44.0,33.65625,44.0,,False,False,ok,42,23552,0.4854174583443363,True,,,False,development_non_authoritative
attention_s2048_d128_eager_backward,attention,,,,1,2048,,128,bf16,True,eager,backward,,,cuda_event_duration,100,300,1036,281.80705,,257.122396,24.682142,[],True,0.285696,0.287744,0.290816,55.25,86.0,55.25,86.0,,False,False,ok,42,23552,0.4854174583443363,True,,,False,development_non_authoritative
attention_s2048_d128_eager_forward_backward,attention,,,,1,2048,,128,bf16,True,eager,forward_backward,,,cuda_event_duration,100,300,649,288.540564,,,288.540564,[],True,0.45568,0.45968,0.466944,55.25,86.0,55.25,86.0,,False,False,ok,42,23552,0.4854174583443363,True,,,False,development_non_authoritative
attention_s2048_d128_compiled_forward,attention,,,,1,2048,,128,bf16,True,compiled,forward,,,cuda_event_duration,100,300,2599,2919.903057,2919.903057,,2919.903057,[],True,0.113491,0.1144,0.115469,97.625,114.0,18.125,22.0,inductor,True,False,ok,42,23552,0.4854174583443363,True,,,False,development_non_authoritative
attention_s2048_d128_compiled_backward,attention,,,,1,2048,,128,bf16,True,compiled,backward,,,cuda_event_duration,100,300,1134,3219.728894,3219.728894,2970.651911,249.073725,[],True,0.258048,0.26112,0.26809,98.125,118.0,35.25,46.0,inductor,True,False,ok,42,23552,0.4854174583443363,True,,,False,development_non_authoritative
attention_s2048_d128_compiled_forward_backward,attention,,,,1,2048,,128,bf16,True,compiled,forward_backward,,,cuda_event_duration,100,300,610,3273.374985,3273.374985,,3273.374985,[],True,0.454656,0.467968,0.524115,98.125,118.0,35.25,46.0,inductor,True,False,ok,42,23552,0.4854174583443363,True,,,False,development_non_authoritative
attention_s8192_d128_eager_forward,attention,,,,1,8192,,128,bf16,True,eager,forward,,,cuda_event_duration,100,300,165,266.626799,,,266.626799,[],True,1.818624,1.821536,1.8248,398.25,406.0,398.25,406.0,,False,False,ok,42,23552,0.4854174583443363,True,,,False,development_non_authoritative
attention_s8192_d128_eager_backward,attention,,,,1,8192,,128,bf16,True,eager,backward,,,cuda_event_duration,100,300,121,276.475901,,263.185488,13.287116,[],True,2.487296,2.491392,2.49856,604.25,662.0,604.25,790.0,,False,False,ok,42,23552,0.4854174583443363,True,,,False,development_non_authoritative
attention_s8192_d128_eager_forward_backward,attention,,,,1,8192,,128,bf16,True,eager,forward_backward,,,cuda_event_duration,100,300,71,269.220157,,,269.220157,[],True,4.251648,4.255456,4.260864,604.25,662.0,604.25,790.0,,False,False,ok,42,23552,0.4854174583443363,True,,,False,development_non_authoritative
attention_s8192_d128_compiled_forward,attention,,,,1,8192,,128,bf16,True,compiled,forward,,,cuda_event_duration,100,300,468,3422.248597,3422.248597,,3422.248597,[],True,0.638797,0.640864,0.642816,214.125,222.0,144.125,148.0,inductor,True,False,ok,42,23552,0.4854174583443363,True,,,False,development_non_authoritative
attention_s8192_d128_compiled_backward,attention,,,,1,8192,,128,bf16,True,compiled,backward,,,cuda_event_duration,100,300,256,3948.034814,3948.034814,3362.506055,585.525264,[],True,1.159168,1.164128,1.178624,356.25,406.0,284.25,404.0,inductor,True,False,ok,42,23552,0.4854174583443363,True,,,False,development_non_authoritative
attention_s8192_d128_compiled_forward_backward,attention,,,,1,8192,,128,bf16,True,compiled,forward_backward,,,cuda_event_duration,100,300,173,3985.393558,3985.393558,,3985.393558,[],True,1.732557,1.736704,1.742848,356.25,406.0,284.25,404.0,inductor,True,False,ok,42,23552,0.4854174583443363,True,,,False,development_non_authoritative
model_small_ctx512_eager_forward,transformer,small,128625408,fp32,1,,512,,bf16,True,eager,forward,3,5,synchronized_perf_counter,,,5,351.45028,,,351.45028,"[11.545581,11.206106,11.234145,11.262555,11.208658]",False,11.208148,11.234145,11.31916,547.3583984375,612.0,547.3583984375,612.0,,False,False,ok,42,23552,0.4854174583443363,True,,,False,development_non_authoritative
model_small_ctx512_eager_forward_backward,transformer,small,128625408,fp32,1,,512,,bf16,True,eager,forward_backward,3,5,synchronized_perf_counter,,,5,545.687558,,,545.687558,"[47.552687,47.467107,47.427398,47.778518,47.772316]",False,47.459165,47.552687,47.773557,1393.8671875,1470.0,1397.4921875,1490.0,,False,False,ok,42,23552,0.4854174583443363,True,,,False,development_non_authoritative
model_small_ctx512_eager_training_step,transformer,small,128625408,fp32,1,,512,,bf16,True,eager,training_step,3,5,synchronized_perf_counter,,,5,576.703493,,,576.703493,"[62.402159,62.28272,66.524084,61.95822,61.653538]",False,61.897284,62.28272,63.226544,2165.44189453125,2490.0,2425.873046875,2650.0,,False,False,ok,42,23552,0.4854174583443363,True,,,False,development_non_authoritative
model_small_ctx512_compiled_forward,transformer,small,128625408,fp32,1,,512,,bf16,True,compiled,forward,3,5,synchronized_perf_counter,,,5,17175.540268,17175.540268,,17175.540268,"[3.572649,3.524379,3.507133,3.529249,3.528073]",False,3.52093,3.528073,3.537929,597.5810546875,692.0,525.4951171875,620.0,inductor,True,False,ok,42,23552,0.4854174583443363,True,,,False,development_non_authoritative
model_small_ctx512_compiled_forward_backward,transformer,small,128625408,fp32,1,,512,,bf16,True,compiled,forward_backward,3,5,synchronized_perf_counter,,,5,37216.614648,37216.614648,,37216.614648,"[14.707253,14.579876,14.914345,14.489593,15.067198]",False,14.56182,14.707253,14.944916,1204.83984375,1354.0,1171.23291015625,1312.0,inductor,True,False,ok,42,23552,0.4854174583443363,True,,,False,development_non_authoritative
model_small_ctx512_compiled_training_step,transformer,small,128625408,fp32,1,,512,,bf16,True,compiled,training_step,3,5,synchronized_perf_counter,,,5,37049.255721,37049.255721,,37049.255721,"[29.314659,29.536018,29.78888,29.34912,29.414146]",False,29.342228,29.414146,29.58659,2152.67626953125,2454.0,2186.34814453125,2554.0,inductor,True,False,ok,42,23552,0.4854174583443363,True,,,False,development_non_authoritative
