config_id,model_size,num_layers,context_length,batch_size,dtype,checkpoint_block_size,nested,warmup_steps,measurement_steps,step_time_ms_samples,step_time_ms_p50,peak_allocated_mib,peak_reserved_mib,status
medium-L24-B1-T1024-bf16-block0,medium,24,1024,1,bf16,0,False,3,5,"142.533,154.210,159.229,139.532,139.826",142.53343200683594,10071.9931640625,10264.0,ok
medium-L24-B1-T1024-bf16-block1,medium,24,1024,1,bf16,1,False,3,5,"235.427,222.022,223.744,226.752,230.573",226.7523956298828,6870.6806640625,10264.0,ok
medium-L24-B1-T1024-bf16-block2,medium,24,1024,1,bf16,2,False,3,5,"217.773,227.832,217.601,339.121,230.158",227.83168029785156,7011.2744140625,10264.0,ok
medium-L24-B1-T1024-bf16-block4,medium,24,1024,1,bf16,4,False,3,5,"215.530,217.875,214.335,207.599,226.609",215.5301055908203,7290.5869140625,10264.0,ok
medium-L24-B1-T1024-bf16-block8,medium,24,1024,1,bf16,8,False,3,5,"204.588,210.207,209.924,228.289,213.544",210.2067108154297,7844.5244140625,10264.0,ok
medium-L24-B1-T2048-bf16-block0,medium,24,2048,1,bf16,0,False,3,5,"374.582,374.039,374.068,373.900,373.903",374.0390319824219,19674.4658203125,20760.0,ok
medium-L24-B1-T2048-bf16-block1,medium,24,2048,1,bf16,1,False,3,5,"478.930,478.640,478.460,478.597,478.413",478.5971374511719,8076.0048828125,20760.0,ok
medium-L24-B1-T2048-bf16-block2,medium,24,2048,1,bf16,2,False,3,5,"480.547,479.750,479.732,479.767,480.437",479.7673645019531,8579.4501953125,20760.0,ok
medium-L24-B1-T2048-bf16-block4,medium,24,2048,1,bf16,4,False,3,5,"480.562,479.769,480.470,480.797,480.470",480.47015380859375,9586.3408203125,20760.0,ok
medium-L24-B1-T2048-bf16-block8,medium,24,2048,1,bf16,8,False,3,5,"480.831,481.020,481.002,480.857,481.033",481.00152587890625,11607.6220703125,20760.0,ok
