calls,context_length,cpu_total_us,cuda_total_us,dtype,error,mode,model_size,op_or_kernel,peak_allocated_mib,peak_reserved_mib,stage,status,tool,trace_name
1,256,99837.477,21714.046000000053,fp32,,train_step,small,ProfilerStep*,3122.873046875,3312.0,,ok,torch.profiler,small_c256
1,256,90728.965,21714.046000000053,fp32,,train_step,small,profile/measure/train_step/0,3122.873046875,3312.0,,ok,torch.profiler,small_c256
1,256,190.78300000000002,0,fp32,,train_step,small,Optimizer.zero_grad#AdamW.zero_grad,3122.873046875,3312.0,optimizer,ok,torch.profiler,small_c256
1,256,33217.975,10475.99400000004,fp32,,train_step,small,forward,3122.873046875,3312.0,forward,ok,torch.profiler,small_c256
1,256,1749.303,0,fp32,,train_step,small,Unrecognized,3122.873046875,3312.0,,ok,torch.profiler,small_c256
1,256,116.45200000000023,5.791999999999916,fp32,,train_step,small,aten::index,3122.873046875,3312.0,,ok,torch.profiler,small_c256
2015,256,1537.9789999999357,0,fp32,,train_step,small,aten::as_strided,3122.873046875,3312.0,,ok,torch.profiler,small_c256
800,256,5481.918999999978,404.1560000000027,fp32,,train_step,small,aten::reshape,3122.873046875,3312.0,,ok,torch.profiler,small_c256
802,256,1503.029000000061,0,fp32,,train_step,small,aten::view,3122.873046875,3312.0,,ok,torch.profiler,small_c256
1903,256,10667.93100000008,0,fp32,,train_step,small,cudaLaunchKernel,3122.873046875,3312.0,,ok,torch.profiler,small_c256
1,256,0,31657.543,fp32,,train_step,small,forward,3122.873046875,3312.0,forward,ok,torch.profiler,small_c256
1,256,0,5.791999999999916,fp32,,train_step,small,"void at::native::vectorized_gather_kernel<16, long>(char*, char*, long*, int, long, long, long, long, bool)",3122.873046875,3312.0,,ok,torch.profiler,small_c256
154,256,63.21799999994391,0,fp32,,train_step,small,aten::to,3122.873046875,3312.0,,ok,torch.profiler,small_c256
77,256,1728.7130000000489,278.87399999994113,fp32,,train_step,small,aten::pow,3122.873046875,3312.0,,ok,torch.profiler,small_c256
