config_id,sequence_length,head_dim,batch_size,dtype,causal,warmup_ms,rep_ms,cold_start_ms,status,implementation,mode,samples,p20_ms,p50_ms,p80_ms,mean_ms,peak_allocated_mib,peak_reserved_mib,speedup_vs_eager
attention_eager_s2048_d128,2048,128,1,bf16,True,100.0,300.0,,ok,eager,forward,1724,0.1454080045223236,0.1525759994983673,0.15667200088500977,0.15487686390804858,34.625,44.0,
attention_eager_s2048_d128,2048,128,1,bf16,True,100.0,300.0,,ok,eager,backward,574,0.4505600035190582,0.463935986161232,0.5349376201629639,0.499991303277348,55.25,86.0,
attention_eager_s2048_d128,2048,128,1,bf16,True,100.0,300.0,,ok,eager,forward_backward,611,0.42188799381256104,0.427264004945755,0.5150719881057739,0.4702080511129819,55.25,86.0,
attention_eager_s2048_d64,2048,64,1,bf16,True,100.0,300.0,,ok,eager,forward,1580,0.145305597782135,0.15462400019168854,0.16577919721603393,0.16955951406985897,33.375,42.0,
attention_eager_s2048_d64,2048,64,1,bf16,True,100.0,300.0,,ok,eager,backward,581,0.43827199935913086,0.45875200629234314,0.4966079890727997,0.4948753185711301,53.75,84.0,
attention_eager_s2048_d64,2048,64,1,bf16,True,100.0,300.0,,ok,eager,forward_backward,630,0.4320319890975952,0.4354560077190399,0.4454975962638855,0.4557926096140392,53.75,84.0,
attention_eager_s512_d128,512,128,1,bf16,True,100.0,300.0,,ok,eager,forward,1698,0.15027199685573578,0.15142400562763214,0.15360000729560852,0.15823255718035187,10.25,24.0,
attention_eager_s512_d128,512,128,1,bf16,True,100.0,300.0,,ok,eager,backward,568,0.4479423999786377,0.4679679870605469,0.5464959859848023,0.5053525065976969,19.25,24.0,
attention_eager_s512_d128,512,128,1,bf16,True,100.0,300.0,,ok,eager,forward_backward,493,0.45624960064888,0.5396479964256287,0.694271981716156,0.583253030240173,19.25,24.0,
attention_eager_s512_d64,512,64,1,bf16,True,100.0,300.0,,ok,eager,forward,1707,0.14781439900398255,0.14924800395965576,0.1525759994983673,0.1569599261061099,9.9375,22.0,
attention_eager_s512_d64,512,64,1,bf16,True,100.0,300.0,,ok,eager,backward,552,0.4403199851512909,0.47017601132392883,0.5343360066413879,0.5223201748685561,18.875,24.0,
attention_eager_s512_d64,512,64,1,bf16,True,100.0,300.0,,ok,eager,forward_backward,628,0.440095990896225,0.44441598653793335,0.4556800127029419,0.457784916612373,18.875,24.0,
attention_eager_s8192_d128,8192,128,1,bf16,True,100.0,300.0,,ok,eager,forward,150,1.9680960178375244,1.9979040026664734,2.0008959770202637,1.9920799907048543,402.125,404.0,
attention_eager_s8192_d128,8192,128,1,bf16,True,100.0,300.0,,ok,eager,backward,69,4.355072021484375,4.35916805267334,4.372883129119873,4.372870970463407,604.25,788.0,
attention_eager_s8192_d128,8192,128,1,bf16,True,100.0,300.0,,ok,eager,forward_backward,69,4.356095790863037,4.36300802230835,4.387788963317871,4.377729388250821,604.25,788.0,
attention_eager_s8192_d64,8192,64,1,bf16,True,100.0,300.0,,ok,eager,forward,151,1.9392640590667725,1.9711999893188477,1.9763200283050537,1.9687283670665412,397.125,410.0,
attention_eager_s8192_d64,8192,64,1,bf16,True,100.0,300.0,,ok,eager,backward,70,4.284416198730469,4.286639928817749,4.290969371795654,4.309295572553363,598.25,670.0,
attention_eager_s8192_d64,8192,64,1,bf16,True,100.0,300.0,,ok,eager,forward_backward,69,4.277247905731201,4.28323221206665,4.319718551635742,4.352352024852365,598.25,670.0,
