config_id,sequence_length,head_dim,batch_size,dtype,causal,warmup_ms,rep_ms,cold_start_ms,status,implementation,mode,samples,p20_ms,p50_ms,p80_ms,mean_ms,peak_allocated_mib,peak_reserved_mib,speedup_vs_eager
attention_compiled_s2048_d128,2048,128,1,bf16,True,100.0,300.0,2878.7084631621838,ok,compiled,forward,1778,0.14044800400733948,0.14233599603176117,0.1454080045223236,0.1482660067094861,30.125,44.0,
attention_compiled_s2048_d128,2048,128,1,bf16,True,100.0,300.0,2878.7084631621838,ok,compiled,backward,639,0.3856256067752838,0.43212801218032837,0.479257607460022,0.4480357053973865,47.25,66.0,
attention_compiled_s2048_d128,2048,128,1,bf16,True,100.0,300.0,2878.7084631621838,ok,compiled,forward_backward,711,0.37884798645973206,0.3829759955406189,0.3962880074977875,0.40032324014669063,47.25,66.0,
attention_compiled_s512_d64,512,64,1,bf16,True,100.0,300.0,32636.577509343624,ok,compiled,forward,1736,0.14643199741840363,0.14822399616241455,0.15052799880504608,0.15172678460517236,9.625,22.0,
attention_compiled_s512_d64,512,64,1,bf16,True,100.0,300.0,32636.577509343624,ok,compiled,backward,644,0.3909823954105377,0.4044800102710724,0.4280320107936859,0.4425396774866566,18.375,24.0,
attention_compiled_s512_d64,512,64,1,bf16,True,100.0,300.0,32636.577509343624,ok,compiled,forward_backward,650,0.3880639970302582,0.39526399970054626,0.42475518584251404,0.4387865103666599,18.375,24.0,
attention_compiled_s8192_d128,8192,128,1,bf16,True,100.0,300.0,3210.5510719120502,ok,compiled,forward,394,0.7321599721908569,0.7350240051746368,0.7383040189743042,0.7402467387279278,336.125,340.0,
attention_compiled_s8192_d128,8192,128,1,bf16,True,100.0,300.0,3210.5510719120502,ok,compiled,backward,160,1.8433279514312744,1.851904034614563,1.8615040063858033,1.8577381908893584,476.25,596.0,
attention_compiled_s8192_d128,8192,128,1,bf16,True,100.0,300.0,3210.5510719120502,ok,compiled,forward_backward,160,1.8409791707992553,1.8445599675178528,1.8504384279251098,1.8516953967511653,476.25,596.0,
small_transformer_s512,512,,1,bf16,,5,10,,ok,eager,forward,10,13.08140754699707,13.179343700408936,13.322175979614258,13.202387142181397,1313.3193359375,1392.0,1.0
small_transformer_s512,512,,1,bf16,,5,10,,ok,eager,forward_backward,10,45.011966705322266,45.68507194519043,45.729793548583984,45.75812187194824,1900.3154296875,2028.0,1.0
small_transformer_s512,512,,1,bf16,,5,10,,ok,eager,train_step,10,47.56070327758789,57.377281188964844,57.72284698486328,56.42402267456055,3004.21337890625,3380.0,1.0
small_transformer_s512,512,,1,bf16,,5,10,39704.92358878255,ok,compiled,forward,10,3.646464109619141,3.6739519834518433,3.7067201137542725,3.675600004196167,3004.21337890625,3626.0,3.589
small_transformer_s512,512,,1,bf16,,5,10,32759.773276746273,ok,compiled,forward_backward,10,13.911040306091309,13.983295917510986,15.299712181091309,14.28839044570923,3004.21337890625,3626.0,3.267
small_transformer_s512,512,,1,bf16,,5,10,28.121087700128555,ok,compiled,train_step,10,25.596832275390625,25.65321636199951,25.806528091430664,25.155779075622558,3498.17724609375,3896.0,2.237
