run_name,row_type,name,stage,activity_type,calls,range_duration_us,cpu_time_total_us,cuda_time_total_us,kernel_calls,inclusive,notes
small_ctx256_train_step_fp32,range,profile/measure,profile/measure,,1,76371.139,,,,true,measurement wall-clock CPU range; do not interpret as CUDA time
small_ctx256_train_step_fp32,range,forward,forward,,1,21374.204,,,,true,inclusive CPU annotation range
small_ctx256_train_step_fp32,range,backward,backward,,1,31831.063,,,,true,inclusive CPU annotation range
small_ctx256_train_step_fp32,range,optimizer,optimizer,,1,20988.653,,,,true,inclusive CPU annotation range
small_ctx256_train_step_fp32,range,attention/scores,forward,,12,1664.4859999999999,,,,true,inclusive nested range; do not add to forward
small_ctx256_train_step_fp32,range,attention/softmax,forward,,12,1777.837,,,,true,inclusive nested range; do not add to forward
small_ctx256_train_step_fp32,range,attention/value,forward,,12,1542.601,,,,true,inclusive nested range; do not add to forward
small_ctx256_train_step_fp32,cpu_op,aten::_reshape_alias,forward,,121,,180.392,,,,sum of CPU operation durations; nested operations may overlap
small_ctx256_train_step_fp32,cpu_op,aten::_unsafe_view,forward,,24,,48.884,,,,sum of CPU operation durations; nested operations may overlap
small_ctx256_train_step_fp32,cpu_op,aten::add,forward,,73,,680.238,,,,sum of CPU operation durations; nested operations may overlap
small_ctx256_train_step_fp32,cpu_op,aten::alias,forward,,24,,34.994,,,,sum of CPU operation durations; nested operations may overlap
small_ctx256_train_step_fp32,cpu_op,aten::arange,forward,,24,,319.934,,,,sum of CPU operation durations; nested operations may overlap
small_ctx256_train_step_fp32,cpu_op,aten::as_strided,forward,,1033,,379.479,,,,sum of CPU operation durations; nested operations may overlap
small_ctx256_train_step_fp32,cpu_op,aten::bmm,forward,,109,,2715.58,,,,sum of CPU operation durations; nested operations may overlap
small_ctx256_train_step_fp32,cpu_op,aten::cat,forward,,24,,276.734,,,,sum of CPU operation durations; nested operations may overlap
small_ctx256_train_step_fp32,cpu_op,aten::clone,forward,,24,,407.922,,,,sum of CPU operation durations; nested operations may overlap
small_ctx256_train_step_fp32,cpu_op,aten::concat,forward,,24,,307.383,,,,sum of CPU operation durations; nested operations may overlap
small_ctx256_train_step_fp32,cpu_op,aten::copy_,forward,,24,,226.657,,,,sum of CPU operation durations; nested operations may overlap
small_ctx256_train_step_fp32,cpu_op,aten::div,forward,,24,,281.655,,,,sum of CPU operation durations; nested operations may overlap
small_ctx256_train_step_fp32,cpu_op,aten::einsum,forward,,109,,7379.833,,,,sum of CPU operation durations; nested operations may overlap
small_ctx256_train_step_fp32,cpu_op,aten::empty,forward,,60,,154.201,,,,sum of CPU operation durations; nested operations may overlap
small_ctx256_train_step_fp32,cpu_op,aten::empty_like,forward,,24,,100.046,,,,sum of CPU operation durations; nested operations may overlap
small_ctx256_train_step_fp32,cpu_op,aten::exp,forward,,13,,150.823,,,,sum of CPU operation durations; nested operations may overlap
small_ctx256_train_step_fp32,cpu_op,aten::fill_,forward,,12,,110.459,,,,sum of CPU operation durations; nested operations may overlap
small_ctx256_train_step_fp32,cpu_op,aten::gather,forward,,1,,15.577,,,,sum of CPU operation durations; nested operations may overlap
small_ctx256_train_step_fp32,cpu_op,aten::ge,forward,,12,,137.625,,,,sum of CPU operation durations; nested operations may overlap
small_ctx256_train_step_fp32,cpu_op,aten::index,forward,,1,,53.086,,,,sum of CPU operation durations; nested operations may overlap
small_ctx256_train_step_fp32,cpu_op,aten::log,forward,,1,,9.583,,,,sum of CPU operation durations; nested operations may overlap
small_ctx256_train_step_fp32,cpu_op,aten::max,forward,,13,,220.95,,,,sum of CPU operation durations; nested operations may overlap
small_ctx256_train_step_fp32,cpu_op,aten::mean,forward,,27,,342.864,,,,sum of CPU operation durations; nested operations may overlap
small_ctx256_train_step_fp32,cpu_op,aten::mul,forward,,170,,1565.068,,,,sum of CPU operation durations; nested operations may overlap
small_ctx256_train_step_fp32,cpu_op,aten::neg,forward,,1,,9.926,,,,sum of CPU operation durations; nested operations may overlap
small_ctx256_train_step_fp32,cpu_op,aten::permute,forward,,617,,1545.07,,,,sum of CPU operation durations; nested operations may overlap
small_ctx256_train_step_fp32,cpu_op,aten::pow,forward,,25,,328.3,,,,sum of CPU operation durations; nested operations may overlap
small_ctx256_train_step_fp32,cpu_op,aten::reshape,forward,,315,,1242.883,,,,sum of CPU operation durations; nested operations may overlap
small_ctx256_train_step_fp32,cpu_op,aten::resize_,forward,,24,,57.232,,,,sum of CPU operation durations; nested operations may overlap
small_ctx256_train_step_fp32,cpu_op,aten::result_type,forward,,25,,8.097,,,,sum of CPU operation durations; nested operations may overlap
small_ctx256_train_step_fp32,cpu_op,aten::rsqrt,forward,,25,,236.739,,,,sum of CPU operation durations; nested operations may overlap
small_ctx256_train_step_fp32,cpu_op,aten::scalar_tensor,forward,,12,,185.687,,,,sum of CPU operation durations; nested operations may overlap
small_ctx256_train_step_fp32,cpu_op,aten::select,forward,,96,,169.895,,,,sum of CPU operation durations; nested operations may overlap
small_ctx256_train_step_fp32,cpu_op,aten::sigmoid,forward,,12,,143.022,,,,sum of CPU operation durations; nested operations may overlap
small_ctx256_train_step_fp32,cpu_op,aten::sub,forward,,38,,357.759,,,,sum of CPU operation durations; nested operations may overlap
small_ctx256_train_step_fp32,cpu_op,aten::sum,forward,,13,,170.99,,,,sum of CPU operation durations; nested operations may overlap
small_ctx256_train_step_fp32,cpu_op,aten::to,forward,,87,,21.783,,,,sum of CPU operation durations; nested operations may overlap
small_ctx256_train_step_fp32,cpu_op,aten::unbind,forward,,48,,323.875,,,,sum of CPU operation durations; nested operations may overlap
small_ctx256_train_step_fp32,cpu_op,aten::unsqueeze,forward,,316,,814.398,,,,sum of CPU operation durations; nested operations may overlap
small_ctx256_train_step_fp32,cpu_op,aten::view,forward,,388,,491.056,,,,sum of CPU operation durations; nested operations may overlap
small_ctx256_train_step_fp32,cpu_op,aten::where,forward,,24,,718.799,,,,sum of CPU operation durations; nested operations may overlap
small_ctx256_train_step_fp32,cpu_op,AddBackward0,backward,,73,,24.151,,,,sum of CPU operation durations; nested operations may overlap
small_ctx256_train_step_fp32,cpu_op,BmmBackward0,backward,,109,,4497.965,,,,sum of CPU operation durations; nested operations may overlap
small_ctx256_train_step_fp32,cpu_op,CatBackward0,backward,,24,,218.776,,,,sum of CPU operation durations; nested operations may overlap
small_ctx256_train_step_fp32,cpu_op,CloneBackward0,backward,,24,,4.568,,,,sum of CPU operation durations; nested operations may overlap
small_ctx256_train_step_fp32,cpu_op,DivBackward0,backward,,24,,609.434,,,,sum of CPU operation durations; nested operations may overlap
small_ctx256_train_step_fp32,cpu_op,ExpBackward0,backward,,13,,104.328,,,,sum of CPU operation durations; nested operations may overlap
small_ctx256_train_step_fp32,cpu_op,GatherBackward0,backward,,1,,49.423,,,,sum of CPU operation durations; nested operations may overlap
small_ctx256_train_step_fp32,cpu_op,IndexBackward0,backward,,1,,100.004,,,,sum of CPU operation durations; nested operations may overlap
small_ctx256_train_step_fp32,cpu_op,LogBackward0,backward,,1,,20.078,,,,sum of CPU operation durations; nested operations may overlap
small_ctx256_train_step_fp32,cpu_op,MaxBackward0,backward,,13,,443.02,,,,sum of CPU operation durations; nested operations may overlap
small_ctx256_train_step_fp32,cpu_op,MeanBackward0,backward,,1,,61.17,,,,sum of CPU operation durations; nested operations may overlap
small_ctx256_train_step_fp32,cpu_op,MeanBackward1,backward,,25,,410.927,,,,sum of CPU operation durations; nested operations may overlap
small_ctx256_train_step_fp32,cpu_op,MulBackward0,backward,,170,,1948.98,,,,sum of CPU operation durations; nested operations may overlap
small_ctx256_train_step_fp32,cpu_op,NegBackward0,backward,,1,,10.765,,,,sum of CPU operation durations; nested operations may overlap
small_ctx256_train_step_fp32,cpu_op,PermuteBackward0,backward,,617,,1566.598,,,,sum of CPU operation durations; nested operations may overlap
small_ctx256_train_step_fp32,cpu_op,PowBackward0,backward,,25,,853.553,,,,sum of CPU operation durations; nested operations may overlap
small_ctx256_train_step_fp32,cpu_op,ReshapeAliasBackward0,backward,,121,,647.187,,,,sum of CPU operation durations; nested operations may overlap
small_ctx256_train_step_fp32,cpu_op,RsqrtBackward0,backward,,25,,746.992,,,,sum of CPU operation durations; nested operations may overlap
small_ctx256_train_step_fp32,cpu_op,SigmoidBackward0,backward,,12,,121.544,,,,sum of CPU operation durations; nested operations may overlap
