config_id,implementation,batch_size,sequence_length,head_dim,dtype,is_causal,phase,warmup_ms,rep_ms,quantiles,measurement_count,p20_ms,p50_ms,p80_ms,peak_allocated_mib,peak_reserved_mib,allocator_limit_mib,allocator_fraction,within_24gib,status,failure_stage,error_type,source_json
eager-b1-t512-d64-forward-bf16,eager,1,512,64,bf16,true,forward,100,300,"[0.2,0.5,0.8]",897,0.025696000084280968,0.026623999699950218,0.026623999699950218,9.9375,278.0,23552,0.48542746322568014,true,ok,,,eager_b1_t512_d64_forward_bf16.json
eager-b1-t512-d64-backward-bf16,eager,1,512,64,bf16,true,backward,100,300,"[0.2,0.5,0.8]",142,0.035840000957250595,0.035840000957250595,0.036665599793195724,18.875,280.0,23552,0.48542746322568014,true,ok,,,eager_b1_t512_d64_backward_bf16.json
eager-b1-t512-d64-forward_backward-bf16,eager,1,512,64,bf16,true,forward_backward,100,300,"[0.2,0.5,0.8]",133,0.09728000313043594,0.09932799637317657,0.10543359816074371,18.875,280.0,23552,0.48542746322568014,true,ok,,,eager_b1_t512_d64_forward_backward_bf16.json
eager-b1-t512-d128-forward-bf16,eager,1,512,128,bf16,true,forward,100,300,"[0.2,0.5,0.8]",928,0.026784000918269157,0.0285279992967844,0.028672000393271446,10.25,280.0,23552,0.48542746322568014,true,ok,,,eager_b1_t512_d128_forward_bf16.json
eager-b1-t512-d128-backward-bf16,eager,1,512,128,bf16,true,backward,100,300,"[0.2,0.5,0.8]",142,0.03993599861860275,0.03999999910593033,0.04095999896526337,19.25,280.0,23552,0.48542746322568014,true,ok,,,eager_b1_t512_d128_backward_bf16.json
eager-b1-t512-d128-forward_backward-bf16,eager,1,512,128,bf16,true,forward_backward,100,300,"[0.2,0.5,0.8]",131,0.11366400122642517,0.11673600226640701,0.11980800330638885,19.25,280.0,23552,0.48542746322568014,true,ok,,,eager_b1_t512_d128_forward_backward_bf16.json
eager-b1-t2048-d64-forward-bf16,eager,1,2048,64,bf16,true,forward,100,300,"[0.2,0.5,0.8]",810,0.09004800021648407,0.09113600105047226,0.0942080020904541,33.375,298.0,23552,0.48542746322568014,true,ok,,,eager_b1_t2048_d64_forward_bf16.json
eager-b1-t2048-d64-backward-bf16,eager,1,2048,64,bf16,true,backward,100,300,"[0.2,0.5,0.8]",138,0.09523200243711472,0.09523200243711472,0.09625600278377533,53.75,340.0,23552,0.48542746322568014,true,ok,,,eager_b1_t2048_d64_backward_bf16.json
eager-b1-t2048-d64-forward_backward-bf16,eager,1,2048,64,bf16,true,forward_backward,100,300,"[0.2,0.5,0.8]",131,0.1669120043516159,0.1671999990940094,0.16793599724769592,53.75,340.0,23552,0.48542746322568014,true,ok,,,eager_b1_t2048_d64_forward_backward_bf16.json
eager-b1-t2048-d128-forward-bf16,eager,1,2048,128,bf16,true,forward,100,300,"[0.2,0.5,0.8]",811,0.0942080020904541,0.09545599669218063,0.0995199978351593,34.625,300.0,23552,0.48542746322568014,true,ok,,,eager_b1_t2048_d128_forward_bf16.json
eager-b1-t2048-d128-backward-bf16,eager,1,2048,128,bf16,true,backward,100,300,"[0.2,0.5,0.8]",138,0.10956799983978271,0.10956799983978271,0.11045119911432266,55.25,342.0,23552,0.48542746322568014,true,ok,,,eager_b1_t2048_d128_backward_bf16.json
eager-b1-t2048-d128-forward_backward-bf16,eager,1,2048,128,bf16,true,forward_backward,100,300,"[0.2,0.5,0.8]",123,0.18943999707698822,0.19046400487422943,0.19148799777030945,55.25,342.0,23552,0.48542746322568014,true,ok,,,eager_b1_t2048_d128_forward_backward_bf16.json
eager-b1-t8192-d64-forward-bf16,eager,1,8192,64,bf16,true,forward,100,300,"[0.2,0.5,0.8]",133,1.9742720127105713,1.9934719800949097,1.994752049446106,397.125,666.0,23552,0.48542746322568014,true,ok,,,eager_b1_t8192_d64_forward_bf16.json
eager-b1-t8192-d64-backward-bf16,eager,1,8192,64,bf16,true,backward,100,300,"[0.2,0.5,0.8]",68,2.4043519496917725,2.4078240394592285,2.4145920276641846,598.25,926.0,23552,0.48542746322568014,true,ok,,,eager_b1_t8192_d64_backward_bf16.json
eager-b1-t8192-d64-forward_backward-bf16,eager,1,8192,64,bf16,true,forward_backward,100,300,"[0.2,0.5,0.8]",50,4.30182409286499,4.318192005157471,4.332313442230225,598.25,926.0,23552,0.48542746322568014,true,ok,,,eager_b1_t8192_d64_forward_backward_bf16.json
eager-b1-t8192-d128-forward-bf16,eager,1,8192,128,bf16,true,forward,100,300,"[0.2,0.5,0.8]",132,1.9937664031982423,1.9967999458312988,2.0127872467041015,402.125,660.0,23552,0.48542746322568014,true,ok,,,eager_b1_t8192_d128_forward_bf16.json
eager-b1-t8192-d128-backward-bf16,eager,1,8192,128,bf16,true,backward,100,300,"[0.2,0.5,0.8]",65,2.4399871826171875,2.4432640075683594,2.455552101135254,604.25,916.0,23552,0.48542746322568014,true,ok,,,eager_b1_t8192_d128_backward_bf16.json
eager-b1-t8192-d128-forward_backward-bf16,eager,1,8192,128,bf16,true,forward_backward,100,300,"[0.2,0.5,0.8]",49,4.365312099456787,4.36956787109375,4.379238605499268,604.25,1044.0,23552,0.48542746322568014,true,ok,,,eager_b1_t8192_d128_forward_backward_bf16.json
