config_id,workload,implementation,model_size,batch_size,sequence_length,head_dim,dtype,is_causal,phase,warmup_ms,rep_ms,measurement_count,p20_ms,p50_ms,p80_ms,speedup_vs_eager,cold_start_total_ms,peak_allocated_mib,peak_reserved_mib,allocator_limit_mib,allocator_fraction,within_24gib,status,failure_stage,error_type,source_json
attention-eager-b1-t512-d64-forward-bf16,attention,eager,,1,512,64,bf16,true,forward,100,300,915,0.026623999699950218,0.02675200067460537,0.027648000046610832,1.0,,9.9375,278.0,23552,0.48542746322568014,true,ok,,,attention_eager_b1_t512_d64_forward_bf16.json
attention-compiled-b1-t512-d64-forward-bf16,attention,compiled,,1,512,64,bf16,true,forward,100,300,159,0.013311999849975109,0.013311999849975109,0.014336000196635723,2.0096154579400323,4889.038259861991,9.1875,278.0,23552,0.48542746322568014,true,ok,,,attention_compiled_b1_t512_d64_forward_bf16.json
attention-eager-b1-t512-d64-backward-bf16,attention,eager,,1,512,64,bf16,true,backward,100,300,142,0.035840000957250595,0.035840000957250595,0.035840000957250595,1.0,,18.875,280.0,23552,0.48542746322568014,true,ok,,,attention_eager_b1_t512_d64_backward_bf16.json
attention-compiled-b1-t512-d64-backward-bf16,attention,compiled,,1,512,64,bf16,true,backward,100,300,102,0.027648000046610832,0.028672000393271446,0.028672000393271446,1.2500000162409766,2795.078419148922,18.0,278.0,23552,0.48542746322568014,true,ok,,,attention_compiled_b1_t512_d64_backward_bf16.json
attention-eager-b1-t512-d64-forward_backward-bf16,attention,eager,,1,512,64,bf16,true,forward_backward,100,300,131,0.09728000313043594,0.10035199671983719,0.10547199845314026,1.0,,18.875,280.0,23552,0.48542746322568014,true,ok,,,attention_eager_b1_t512_d64_forward_backward_bf16.json
attention-compiled-b1-t512-d64-forward_backward-bf16,attention,compiled,,1,512,64,bf16,true,forward_backward,100,300,94,0.1194688007235527,0.12492799758911133,0.1403903990983963,0.8032786777700167,2859.6302380319685,17.875,278.0,23552,0.48542746322568014,true,ok,,,attention_compiled_b1_t512_d64_forward_backward_bf16.json
attention-eager-b1-t2048-d128-forward-bf16,attention,eager,,1,2048,128,bf16,true,forward,100,300,795,0.0942080020904541,0.09929600358009338,0.10035199671983719,1.0,,34.625,300.0,23552,0.48542746322568014,true,ok,,,attention_eager_b1_t2048_d128_forward_bf16.json
attention-compiled-b1-t2048-d128-forward-bf16,attention,compiled,,1,2048,128,bf16,true,forward,100,300,983,0.042047999799251556,0.043007999658584595,0.043007999658584595,2.308779863475316,2937.745197210461,22.625,372.0,23552,0.48542746322568014,true,ok,,,attention_compiled_b1_t2048_d128_forward_bf16.json
attention-eager-b1-t2048-d128-backward-bf16,attention,eager,,1,2048,128,bf16,true,backward,100,300,136,0.11059200018644333,0.11059200018644333,0.11161600053310394,1.0,,55.25,342.0,23552,0.48542746322568014,true,ok,,,attention_eager_b1_t2048_d128_backward_bf16.json
attention-compiled-b1-t2048-d128-backward-bf16,attention,compiled,,1,2048,128,bf16,true,backward,100,300,143,0.07372800260782242,0.07372800260782242,0.07372800260782242,1.4999999494725182,2510.523762786761,40.25,374.0,23552,0.48542746322568014,true,ok,,,attention_compiled_b1_t2048_d128_backward_bf16.json
attention-eager-b1-t2048-d128-forward_backward-bf16,attention,eager,,1,2048,128,bf16,true,forward_backward,100,300,130,0.18943999707698822,0.19035200029611588,0.19046400487422943,1.0,,55.25,342.0,23552,0.48542746322568014,true,ok,,,attention_eager_b1_t2048_d128_forward_backward_bf16.json
attention-compiled-b1-t2048-d128-forward_backward-bf16,attention,compiled,,1,2048,128,bf16,true,forward_backward,100,300,132,0.13111039996147156,0.14079999923706055,0.159539195895195,1.3519318276104972,1719.1084960941225,39.25,374.0,23552,0.48542746322568014,true,ok,,,attention_compiled_b1_t2048_d128_forward_backward_bf16.json
