source_json,timestamp_utc,status,failure_stage,error_type,model_size,d_model,d_ff,num_layers,num_heads,vocab_size,batch_size,context_length,mode,dtype,warmup_steps,measurement_steps,seed,learning_rate,device,gpu,gpu_memory_mib,compute_capability,driver_version,cuda_runtime,cudnn_version,pytorch,python,measurement_started,loss,peak_scope,current_active_mib,peak_active_mib,current_allocated_mib,peak_allocated_mib,current_reserved_mib,peak_reserved_mib,snapshot_written,snapshot_kind,snapshot_output,command
large_b1_t2048_train_step_fp32.metadata.json,2026-07-28T11:05:46.795073+00:00,ok,,,large,1280,5120,36,20,10000,1,2048,train_step,fp32,1,1,0,0.001,cuda,NVIDIA GeForce RTX 4090,48519.0625,8.9,570.124.06,12.8,91900,2.11.0+cu128,3.12.3,True,8.531732559204102,measurement,14916.91064453125,46496.447265625,14916.91064453125,46496.447265625,47188.0,47188.0,True,complete,results/memory/formal/large_b1_t2048_train_step_fp32.pickle,uv run python profiling/memory_snapshot.py --model-size large --batch-size 1 --context-length 2048 --mode train_step --dtype fp32 --warmup 1 --max-entries 1000000 --seed 0 --learning-rate 0.001 --snapshot-output results/memory/formal/large_b1_t2048_train_step_fp32.pickle --metadata-output results/memory/formal/large_b1_t2048_train_step_fp32.metadata.json
large_b1_t2048_train_step_bf16.metadata.json,2026-07-28T11:06:06.969396+00:00,ok,,,large,1280,5120,36,20,10000,1,2048,train_step,bf16,1,1,0,0.001,cuda,NVIDIA GeForce RTX 4090,48519.0625,8.9,570.124.06,12.8,91900,2.11.0+cu128,3.12.3,True,8.53215217590332,measurement,14921.83251953125,38627.197265625,14921.83251953125,38627.197265625,39368.0,39368.0,True,complete,results/memory/formal/large_b1_t2048_train_step_bf16.pickle,uv run python profiling/memory_snapshot.py --model-size large --batch-size 1 --context-length 2048 --mode train_step --dtype bf16 --warmup 1 --max-entries 1000000 --seed 0 --learning-rate 0.001 --snapshot-output results/memory/formal/large_b1_t2048_train_step_bf16.pickle --metadata-output results/memory/formal/large_b1_t2048_train_step_bf16.metadata.json
xl_b1_t1024_train_step_fp32.metadata.json,2026-07-28T11:04:54.675346+00:00,oom,warmup,OutOfMemoryError,xl,2560,10240,32,32,10000,1,1024,train_step,fp32,1,1,0,0.001,cuda,NVIDIA GeForce RTX 4090,48519.0625,8.9,570.124.06,12.8,91900,2.11.0+cu128,3.12.3,False,,process_until_failure,46733.79296875,47373.79345703125,46733.79296875,47373.79345703125,47982.0,47982.0,False,,results/memory/formal/xl_b1_t1024_train_step_fp32.pickle,uv run python profiling/memory_snapshot.py --model-size xl --batch-size 1 --context-length 1024 --mode train_step --dtype fp32 --warmup 1 --max-entries 1000000 --seed 0 --learning-rate 0.001 --snapshot-output results/memory/formal/xl_b1_t1024_train_step_fp32.pickle --metadata-output results/memory/formal/xl_b1_t1024_train_step_fp32.metadata.json
xl_b1_t1024_train_step_bf16.metadata.json,2026-07-28T11:05:26.375711+00:00,oom,warmup,OutOfMemoryError,xl,2560,10240,32,32,10000,1,1024,train_step,bf16,1,1,0,0.001,cuda,NVIDIA GeForce RTX 4090,48519.0625,8.9,570.124.06,12.8,91900,2.11.0+cu128,3.12.3,False,,process_until_failure,46534.13671875,46854.13720703125,46534.13671875,46854.13720703125,48032.0,48032.0,False,,results/memory/formal/xl_b1_t1024_train_step_bf16.pickle,uv run python profiling/memory_snapshot.py --model-size xl --batch-size 1 --context-length 1024 --mode train_step --dtype bf16 --warmup 1 --max-entries 1000000 --seed 0 --learning-rate 0.001 --snapshot-output results/memory/formal/xl_b1_t1024_train_step_bf16.pickle --metadata-output results/memory/formal/xl_b1_t1024_train_step_bf16.metadata.json
xl_b1_t2048_train_step_fp32.metadata.json,2026-07-28T11:03:50.700074+00:00,oom,warmup,OutOfMemoryError,xl,2560,10240,32,32,10000,1,2048,train_step,fp32,1,1,0,0.001,cuda,NVIDIA GeForce RTX 4090,48519.0625,8.9,570.124.06,12.8,91900,2.11.0+cu128,3.12.3,False,,process_until_failure,13133.416015625,47369.501953125,13133.416015625,47369.501953125,47636.0,47636.0,False,,results/memory/formal/xl_b1_t2048_train_step_fp32.pickle,uv run python profiling/memory_snapshot.py --model-size xl --batch-size 1 --context-length 2048 --mode train_step --dtype fp32 --warmup 1 --max-entries 1000000 --seed 0 --learning-rate 0.001 --snapshot-output results/memory/formal/xl_b1_t2048_train_step_fp32.pickle --metadata-output results/memory/formal/xl_b1_t2048_train_step_fp32.metadata.json
xl_b1_t2048_train_step_bf16.metadata.json,2026-07-28T11:04:21.726652+00:00,oom,warmup,OutOfMemoryError,xl,2560,10240,32,32,10000,1,2048,train_step,bf16,1,1,0,0.001,cuda,NVIDIA GeForce RTX 4090,48519.0625,8.9,570.124.06,12.8,91900,2.11.0+cu128,3.12.3,False,,process_until_failure,13133.416015625,47423.205078125,13133.416015625,47423.205078125,47702.0,47702.0,False,,results/memory/formal/xl_b1_t2048_train_step_bf16.pickle,uv run python profiling/memory_snapshot.py --model-size xl --batch-size 1 --context-length 2048 --mode train_step --dtype bf16 --warmup 1 --max-entries 1000000 --seed 0 --learning-rate 0.001 --snapshot-output results/memory/formal/xl_b1_t2048_train_step_bf16.pickle --metadata-output results/memory/formal/xl_b1_t2048_train_step_bf16.metadata.json
xl_b4_t128_forward_fp32.metadata.json,2026-07-28T10:52:48.332753+00:00,ok,,,xl,2560,10240,32,32,10000,4,128,forward,fp32,1,1,0,0.001,cuda,NVIDIA GeForce RTX 4090,48519.0625,8.9,570.124.06,12.8,91900,2.11.0+cu128,3.12.3,True,,measurement,13132.806640625,13217.806640625,13132.806640625,13217.806640625,13246.0,13246.0,True,complete,results/memory/formal/xl_b4_t128_forward_fp32.pickle,uv run python profiling/memory_snapshot.py --model-size xl --batch-size 4 --context-length 128 --mode forward --dtype fp32 --warmup 1 --max-entries 1000000 --seed 0 --learning-rate 0.001 --snapshot-output results/memory/formal/xl_b4_t128_forward_fp32.pickle --metadata-output results/memory/formal/xl_b4_t128_forward_fp32.metadata.json
xl_b4_t128_forward_bf16.metadata.json,2026-07-28T10:53:22.383025+00:00,ok,,,xl,2560,10240,32,32,10000,4,128,forward,bf16,1,1,0,0.001,cuda,NVIDIA GeForce RTX 4090,48519.0625,8.9,570.124.06,12.8,91900,2.11.0+cu128,3.12.3,True,,measurement,13132.806640625,19604.134765625,13132.806640625,19604.134765625,19848.0,19848.0,True,complete,results/memory/formal/xl_b4_t128_forward_bf16.pickle,uv run python profiling/memory_snapshot.py --model-size xl --batch-size 4 --context-length 128 --mode forward --dtype bf16 --warmup 1 --max-entries 1000000 --seed 0 --learning-rate 0.001 --snapshot-output results/memory/formal/xl_b4_t128_forward_bf16.pickle --metadata-output results/memory/formal/xl_b4_t128_forward_bf16.metadata.json
xl_b4_t128_train_step_fp32.metadata.json,2026-07-28T10:53:54.141780+00:00,oom,warmup,OutOfMemoryError,xl,2560,10240,32,32,10000,4,128,train_step,fp32,1,1,0,0.001,cuda,NVIDIA GeForce RTX 4090,48519.0625,8.9,570.124.06,12.8,91900,2.11.0+cu128,3.12.3,False,,process_until_failure,47334.58203125,47654.58251953125,47334.58203125,47654.58251953125,47972.0,47972.0,False,,results/memory/formal/xl_b4_t128_train_step_fp32.pickle,uv run python profiling/memory_snapshot.py --model-size xl --batch-size 4 --context-length 128 --mode train_step --dtype fp32 --warmup 1 --max-entries 1000000 --seed 0 --learning-rate 0.001 --snapshot-output results/memory/formal/xl_b4_t128_train_step_fp32.pickle --metadata-output results/memory/formal/xl_b4_t128_train_step_fp32.metadata.json
xl_b4_t128_train_step_bf16.metadata.json,2026-07-28T10:54:25.615455+00:00,oom,warmup,OutOfMemoryError,xl,2560,10240,32,32,10000,4,128,train_step,bf16,1,1,0,0.001,cuda,NVIDIA GeForce RTX 4090,48519.0625,8.9,570.124.06,12.8,91900,2.11.0+cu128,3.12.3,False,,process_until_failure,47334.58203125,47744.34814453125,47334.58203125,47744.34814453125,47976.0,48000.0,False,,results/memory/formal/xl_b4_t128_train_step_bf16.pickle,uv run python profiling/memory_snapshot.py --model-size xl --batch-size 4 --context-length 128 --mode train_step --dtype bf16 --warmup 1 --max-entries 1000000 --seed 0 --learning-rate 0.001 --snapshot-output results/memory/formal/xl_b4_t128_train_step_bf16.pickle --metadata-output results/memory/formal/xl_b4_t128_train_step_bf16.metadata.json
xl_b4_t2048_forward_fp32.metadata.json,2026-07-28T10:55:04.918834+00:00,ok,,,xl,2560,10240,32,32,10000,4,2048,forward,fp32,1,1,0,0.001,cuda,NVIDIA GeForce RTX 4090,48519.0625,8.9,570.124.06,12.8,91900,2.11.0+cu128,3.12.3,True,,measurement,13133.509765625,21810.525390625,13133.509765625,21810.525390625,24028.0,24028.0,True,complete,results/memory/formal/xl_b4_t2048_forward_fp32.pickle,uv run python profiling/memory_snapshot.py --model-size xl --batch-size 4 --context-length 2048 --mode forward --dtype fp32 --warmup 1 --max-entries 1000000 --seed 0 --learning-rate 0.001 --snapshot-output results/memory/formal/xl_b4_t2048_forward_fp32.pickle --metadata-output results/memory/formal/xl_b4_t2048_forward_fp32.metadata.json
