kind,workload,sequence_length,head_dim,implementation,cold_compile_ms,steady_p20_ms,steady_p50_ms,steady_p80_ms,peak_allocated_mib,peak_reserved_mib,status
attention,forward-backward,512,64,eager,NA,0.44675201177597046,0.4525440037250519,0.45875200629234314,18.875,24.0,ok
attention,forward-backward,512,64,compiled,870.5628051757812,0.4208639860153198,0.42985600233078003,0.45081600546836853,17.625,24.0,ok
attention,forward-backward,2048,128,eager,NA,0.45875200629234314,0.46592000126838684,0.4710400104522705,55.25,66.0,ok
attention,forward-backward,2048,128,compiled,505.2873840332031,0.4373440146446228,0.44736000895500183,0.45158401131629944,115.25,138.0,ok
attention,forward-backward,8192,128,eager,NA,4.156415939331055,4.16153621673584,4.187456130981445,604.25,778.0,ok
attention,forward-backward,8192,128,compiled,1.8111679553985596,1.7233920097351074,1.7295360565185547,1.7377279996871948,284.25,778.0,ok
small_model,forward,512,NA,eager,NA,17.141056060791016,17.18396759033203,17.20012855529785,1320.9345703125,1362.0,ok
small_model,forward,512,NA,compiled,15213.7822265625,4.8405442237854,4.87011194229126,4.887551784515381,1117.2783203125,1362.0,ok
small_model,forward-backward,512,NA,eager,NA,47.1357421875,47.345664978027344,49.128448486328125,1392.3671875,1462.0,ok
small_model,forward-backward,512,NA,compiled,634.0167846679688,13.757439613342285,13.78816032409668,13.889535903930664,1148.201171875,1462.0,ok
small_model,full training step,512,NA,eager,NA,58.19392013549805,58.94348907470703,59.089759826660156,2496.0615234375,2802.0,ok
small_model,full training step,512,NA,compiled,30.868480682373047,25.188032150268555,25.219072341918945,25.272192001342773,2489.0771484375,2802.0,ok
