experiment,seq_len,head_dim,implementation,phase,cold_start_s,p20_ms,p50_ms,p80_ms,peak_allocated_mib,peak_reserved_mib,status
attention_fwd_bwd,512,64,eager,fwd_bwd,,0.30720001459121704,0.31326401233673096,0.3196544051170349,18.88,280.0,ok
attention_fwd_bwd,512,64,compiled,fwd_bwd,3.022,0.13417600095272064,0.2192319929599762,0.33587199449539185,17.62,278.0,ok
attention_fwd_bwd,2048,128,eager,fwd_bwd,,0.3164159953594208,0.3328000009059906,0.5109760165214539,55.25,322.0,ok
attention_fwd_bwd,2048,128,compiled,fwd_bwd,1.091,0.1303935945034027,0.13516800105571747,0.1443839967250824,35.25,302.0,ok
attention_fwd_bwd,8192,128,eager,fwd_bwd,,4.093952178955078,4.096384048461914,4.098585605621338,604.25,938.0,ok
attention_fwd_bwd,8192,128,compiled,fwd_bwd,0.93,1.6773120164871216,1.6803840398788452,1.6824320554733276,284.25,554.0,ok
small_model,512,,eager,forward,,16.959314346313477,17.039295196533203,17.176294326782227,1339.51,1638.0,ok
small_model,512,,eager,fwd_bwd,,46.17318344116211,46.705806732177734,46.8223991394043,1397.41,1894.0,ok
small_model,512,,eager,train_step,,67.97401428222656,75.24980926513672,82.52560424804688,2419.45,2904.0,ok
small_model,512,,compiled,forward,23.921,4.744192123413086,4.768383979797363,4.84463357925415,1123.9,1838.0,ok
small_model,512,,compiled,fwd_bwd,25.46,13.046553611755371,13.096015930175781,13.143858909606934,1173.44,1842.0,ok
small_model,512,,compiled,train_step,15.65,29.636638641357422,29.730815887451172,30.855783462524414,2186.4,2788.0,ok
