implementation,batch_size,sequence_length,head_dimension,dtype,causal,phase,warmup_ms,rep_ms,latency_ms_p20,latency_ms_p50,latency_ms_p80,peak_allocated_mib,peak_reserved_mib,compile_cold_start_ms,query_tile,key_tile,num_warps,num_stages,status,error_type,command
eager,1,512,64,torch.bfloat16,True,forward,100,300,0.028672000393271446,0.028672000393271446,0.029632000252604485,265.9453125,278.0,,,,,,ok,,python student_scripts/a2k/attention_benchmark.py --implementation eager --sequence-length 512 --head-dimension 64 --seed 2026 --output local_results/a2k/flash_benchmark_v2.csv --metadata local_results/a2k/attention_metadata_v2.json
eager,1,512,64,torch.bfloat16,True,backward,100,300,0.03379200026392937,0.03379200026392937,0.03468799963593483,274.875,280.0,,,,,,ok,,python student_scripts/a2k/attention_benchmark.py --implementation eager --sequence-length 512 --head-dimension 64 --seed 2026 --output local_results/a2k/flash_benchmark_v2.csv --metadata local_results/a2k/attention_metadata_v2.json
eager,1,512,64,torch.bfloat16,True,forward_backward,100,300,0.19353599846363068,0.3246079981327057,0.3256320059299469,274.875,280.0,,,,,,ok,,python student_scripts/a2k/attention_benchmark.py --implementation eager --sequence-length 512 --head-dimension 64 --seed 2026 --output local_results/a2k/flash_benchmark_v2.csv --metadata local_results/a2k/attention_metadata_v2.json
eager,1,512,128,torch.bfloat16,True,forward,100,300,0.02969600073993206,0.02969600073993206,0.030719999223947525,266.2578125,280.0,,,,,,ok,,python student_scripts/a2k/attention_benchmark.py --implementation eager --sequence-length 512 --head-dimension 128 --seed 2026 --output local_results/a2k/flash_benchmark_v2.csv --metadata local_results/a2k/attention_metadata_v2.json
eager,1,512,128,torch.bfloat16,True,backward,100,300,0.03782400116324425,0.03788800165057182,0.03891199827194214,275.25,280.0,,,,,,ok,,python student_scripts/a2k/attention_benchmark.py --implementation eager --sequence-length 512 --head-dimension 128 --seed 2026 --output local_results/a2k/flash_benchmark_v2.csv --metadata local_results/a2k/attention_metadata_v2.json
eager,1,512,128,torch.bfloat16,True,forward_backward,100,300,0.1974399983882904,0.19843199849128723,0.19865599274635315,275.25,280.0,,,,,,ok,,python student_scripts/a2k/attention_benchmark.py --implementation eager --sequence-length 512 --head-dimension 128 --seed 2026 --output local_results/a2k/flash_benchmark_v2.csv --metadata local_results/a2k/attention_metadata_v2.json
eager,1,2048,64,torch.bfloat16,True,forward,100,300,0.08486399799585342,0.08499199897050858,0.08601599931716919,289.40625,298.0,,,,,,ok,,python student_scripts/a2k/attention_benchmark.py --implementation eager --sequence-length 2048 --head-dimension 64 --seed 2026 --output local_results/a2k/flash_benchmark_v2.csv --metadata local_results/a2k/attention_metadata_v2.json
eager,1,2048,64,torch.bfloat16,True,backward,100,300,0.09318400174379349,0.09318400174379349,0.09516160190105438,309.75,340.0,,,,,,ok,,python student_scripts/a2k/attention_benchmark.py --implementation eager --sequence-length 2048 --head-dimension 64 --seed 2026 --output local_results/a2k/flash_benchmark_v2.csv --metadata local_results/a2k/attention_metadata_v2.json
eager,1,2048,64,torch.bfloat16,True,forward_backward,100,300,0.14964480102062225,0.15081599354743958,0.28569599986076355,309.75,340.0,,,,,,ok,,python student_scripts/a2k/attention_benchmark.py --implementation eager --sequence-length 2048 --head-dimension 64 --seed 2026 --output local_results/a2k/flash_benchmark_v2.csv --metadata local_results/a2k/attention_metadata_v2.json
eager,1,2048,128,torch.bfloat16,True,forward,100,300,0.08908800035715103,0.09011200070381165,0.09113600105047226,290.65625,300.0,,,,,,ok,,python student_scripts/a2k/attention_benchmark.py --implementation eager --sequence-length 2048 --head-dimension 128 --seed 2026 --output local_results/a2k/flash_benchmark_v2.csv --metadata local_results/a2k/attention_metadata_v2.json
eager,1,2048,128,torch.bfloat16,True,backward,100,300,0.1085439994931221,0.10956799983978271,0.11059200018644333,311.25,342.0,,,,,,ok,,python student_scripts/a2k/attention_benchmark.py --implementation eager --sequence-length 2048 --head-dimension 128 --seed 2026 --output local_results/a2k/flash_benchmark_v2.csv --metadata local_results/a2k/attention_metadata_v2.json
eager,1,2048,128,torch.bfloat16,True,forward_backward,100,300,0.17100800573825836,0.17318400740623474,0.30822399258613586,311.25,342.0,,,,,,ok,,python student_scripts/a2k/attention_benchmark.py --implementation eager --sequence-length 2048 --head-dimension 128 --seed 2026 --output local_results/a2k/flash_benchmark_v2.csv --metadata local_results/a2k/attention_metadata_v2.json
eager,1,8192,64,torch.bfloat16,True,forward,100,300,2.017280101776123,2.0454400777816772,2.052095890045166,653.25,666.0,,,,,,ok,,python student_scripts/a2k/attention_benchmark.py --implementation eager --sequence-length 8192 --head-dimension 64 --seed 2026 --output local_results/a2k/flash_benchmark_v2.csv --metadata local_results/a2k/attention_metadata_v2.json
eager,1,8192,64,torch.bfloat16,True,backward,100,300,2.683699131011963,2.693600058555603,2.7014912605285644,854.25,926.0,,,,,,ok,,python student_scripts/a2k/attention_benchmark.py --implementation eager --sequence-length 8192 --head-dimension 64 --seed 2026 --output local_results/a2k/flash_benchmark_v2.csv --metadata local_results/a2k/attention_metadata_v2.json
eager,1,8192,64,torch.bfloat16,True,forward_backward,100,300,4.622496128082275,4.634624004364014,4.6438398361206055,854.25,926.0,,,,,,ok,,python student_scripts/a2k/attention_benchmark.py --implementation eager --sequence-length 8192 --head-dimension 64 --seed 2026 --output local_results/a2k/flash_benchmark_v2.csv --metadata local_results/a2k/attention_metadata_v2.json
eager,1,8192,128,torch.bfloat16,True,forward,100,300,2.044697666168213,2.0592639446258545,2.0684800148010254,658.25,662.0,,,,,,ok,,python student_scripts/a2k/attention_benchmark.py --implementation eager --sequence-length 8192 --head-dimension 128 --seed 2026 --output local_results/a2k/flash_benchmark_v2.csv --metadata local_results/a2k/attention_metadata_v2.json
eager,1,8192,128,torch.bfloat16,True,backward,100,300,2.7197439670562744,2.7288320064544678,2.870137596130371,860.25,918.0,,,,,,ok,,python student_scripts/a2k/attention_benchmark.py --implementation eager --sequence-length 8192 --head-dimension 128 --seed 2026 --output local_results/a2k/flash_benchmark_v2.csv --metadata local_results/a2k/attention_metadata_v2.json
eager,1,8192,128,torch.bfloat16,True,forward_backward,100,300,4.6928126335144045,4.708863973617554,4.718592166900635,860.25,1046.0,,,,,,ok,,python student_scripts/a2k/attention_benchmark.py --implementation eager --sequence-length 8192 --head-dimension 128 --seed 2026 --output local_results/a2k/flash_benchmark_v2.csv --metadata local_results/a2k/attention_metadata_v2.json
