batch_size,causal,command,compile_cold_start_ms,context_length,dtype,error_type,head_dimension,implementation,key_tile,latency_ms_p20,latency_ms_p50,latency_ms_p80,model_size,num_stages,num_warps,peak_allocated_mib,peak_reserved_mib,phase,query_tile,rep_ms,scope,sequence_length,status,warmup_ms
1,True,python student_scripts/a2k/attention_benchmark.py --implementation eager --sequence-length 512 --head-dimension 64 --seed 2026 --output local_results/a2k/flash_benchmark_v2.csv --metadata local_results/a2k/attention_metadata_v2.json,,,torch.bfloat16,,64,eager,,0.028672000393271446,0.028672000393271446,0.029632000252604485,,,,265.9453125,278.0,forward,,300,attention,512,ok,100
1,True,python student_scripts/a2k/attention_benchmark.py --implementation eager --sequence-length 512 --head-dimension 64 --seed 2026 --output local_results/a2k/flash_benchmark_v2.csv --metadata local_results/a2k/attention_metadata_v2.json,,,torch.bfloat16,,64,eager,,0.03379200026392937,0.03379200026392937,0.03468799963593483,,,,274.875,280.0,backward,,300,attention,512,ok,100
1,True,python student_scripts/a2k/attention_benchmark.py --implementation eager --sequence-length 512 --head-dimension 64 --seed 2026 --output local_results/a2k/flash_benchmark_v2.csv --metadata local_results/a2k/attention_metadata_v2.json,,,torch.bfloat16,,64,eager,,0.19353599846363068,0.3246079981327057,0.3256320059299469,,,,274.875,280.0,forward_backward,,300,attention,512,ok,100
1,True,python student_scripts/a2k/attention_benchmark.py --implementation compiled --sequence-length 512 --head-dimension 64 --seed 2026 --output local_results/a2k/flash_benchmark_v2.csv --metadata local_results/a2k/attention_metadata_v2.json,1837.7434015274048,,torch.bfloat16,,64,compiled,,0.013311999849975109,0.013407999649643898,0.014336000196635723,,,,264.9375,278.0,forward,,300,attention,512,ok,100
1,True,python student_scripts/a2k/attention_benchmark.py --implementation compiled --sequence-length 512 --head-dimension 64 --seed 2026 --output local_results/a2k/flash_benchmark_v2.csv --metadata local_results/a2k/attention_metadata_v2.json,1837.7434015274048,,torch.bfloat16,,64,compiled,,0.02457600086927414,0.025599999353289604,0.026623999699950218,,,,273.75,278.0,backward,,300,attention,512,ok,100
1,True,python student_scripts/a2k/attention_benchmark.py --implementation compiled --sequence-length 512 --head-dimension 64 --seed 2026 --output local_results/a2k/flash_benchmark_v2.csv --metadata local_results/a2k/attention_metadata_v2.json,1837.7434015274048,,torch.bfloat16,,64,compiled,,0.03481600061058998,0.035840000957250595,0.1720000058412552,,,,273.625,278.0,forward_backward,,300,attention,512,ok,100
1,True,python student_scripts/a2k/attention_benchmark.py --implementation eager --sequence-length 2048 --head-dimension 128 --seed 2026 --output local_results/a2k/flash_benchmark_v2.csv --metadata local_results/a2k/attention_metadata_v2.json,,,torch.bfloat16,,128,eager,,0.08908800035715103,0.09011200070381165,0.09113600105047226,,,,290.65625,300.0,forward,,300,attention,2048,ok,100
1,True,python student_scripts/a2k/attention_benchmark.py --implementation eager --sequence-length 2048 --head-dimension 128 --seed 2026 --output local_results/a2k/flash_benchmark_v2.csv --metadata local_results/a2k/attention_metadata_v2.json,,,torch.bfloat16,,128,eager,,0.1085439994931221,0.10956799983978271,0.11059200018644333,,,,311.25,342.0,backward,,300,attention,2048,ok,100
1,True,python student_scripts/a2k/attention_benchmark.py --implementation eager --sequence-length 2048 --head-dimension 128 --seed 2026 --output local_results/a2k/flash_benchmark_v2.csv --metadata local_results/a2k/attention_metadata_v2.json,,,torch.bfloat16,,128,eager,,0.17100800573825836,0.17318400740623474,0.30822399258613586,,,,311.25,342.0,forward_backward,,300,attention,2048,ok,100
1,True,python student_scripts/a2k/attention_benchmark.py --implementation compiled --sequence-length 2048 --head-dimension 128 --seed 2026 --output local_results/a2k/flash_benchmark_v2.csv --metadata local_results/a2k/attention_metadata_v2.json,1740.5931241810322,,torch.bfloat16,,128,compiled,,0.04403200000524521,0.04505600035190582,0.04505600035190582,,,,274.625,280.0,forward,,300,attention,2048,ok,100
1,True,python student_scripts/a2k/attention_benchmark.py --implementation compiled --sequence-length 2048 --head-dimension 128 --seed 2026 --output local_results/a2k/flash_benchmark_v2.csv --metadata local_results/a2k/attention_metadata_v2.json,1740.5931241810322,,torch.bfloat16,,128,compiled,,0.0736704021692276,0.07372800260782242,0.07680000364780426,,,,292.25,538.0,backward,,300,attention,2048,ok,100
1,True,python student_scripts/a2k/attention_benchmark.py --implementation compiled --sequence-length 2048 --head-dimension 128 --seed 2026 --output local_results/a2k/flash_benchmark_v2.csv --metadata local_results/a2k/attention_metadata_v2.json,1740.5931241810322,,torch.bfloat16,,128,compiled,,0.10329599678516388,0.10342399775981903,0.10444799810647964,,,,291.25,538.0,forward_backward,,300,attention,2048,ok,100
1,True,python student_scripts/a2k/attention_benchmark.py --implementation eager --sequence-length 8192 --head-dimension 128 --seed 2026 --output local_results/a2k/flash_benchmark_v2.csv --metadata local_results/a2k/attention_metadata_v2.json,,,torch.bfloat16,,128,eager,,2.044697666168213,2.0592639446258545,2.0684800148010254,,,,658.25,662.0,forward,,300,attention,8192,ok,100
1,True,python student_scripts/a2k/attention_benchmark.py --implementation eager --sequence-length 8192 --head-dimension 128 --seed 2026 --output local_results/a2k/flash_benchmark_v2.csv --metadata local_results/a2k/attention_metadata_v2.json,,,torch.bfloat16,,128,eager,,2.7197439670562744,2.7288320064544678,2.870137596130371,,,,860.25,918.0,backward,,300,attention,8192,ok,100
1,True,python student_scripts/a2k/attention_benchmark.py --implementation eager --sequence-length 8192 --head-dimension 128 --seed 2026 --output local_results/a2k/flash_benchmark_v2.csv --metadata local_results/a2k/attention_metadata_v2.json,,,torch.bfloat16,,128,eager,,4.6928126335144045,4.708863973617554,4.718592166900635,,,,860.25,1046.0,forward_backward,,300,attention,8192,ok,100
1,True,python student_scripts/a2k/attention_benchmark.py --implementation compiled --sequence-length 8192 --head-dimension 128 --seed 2026 --output local_results/a2k/flash_benchmark_v2.csv --metadata local_results/a2k/attention_metadata_v2.json,1797.9959435760975,,torch.bfloat16,,128,compiled,,0.6266880035400391,0.6297600269317627,0.8494783759117126,,,,402.125,406.0,forward,,300,attention,8192,ok,100
1,True,python student_scripts/a2k/attention_benchmark.py --implementation compiled --sequence-length 8192 --head-dimension 128 --seed 2026 --output local_results/a2k/flash_benchmark_v2.csv --metadata local_results/a2k/attention_metadata_v2.json,1797.9959435760975,,torch.bfloat16,,128,compiled,,1.120255947113037,1.324031949043274,1.3445119857788086,,,,544.25,662.0,backward,,300,attention,8192,ok,100
1,True,python student_scripts/a2k/attention_benchmark.py --implementation compiled --sequence-length 8192 --head-dimension 128 --seed 2026 --output local_results/a2k/flash_benchmark_v2.csv --metadata local_results/a2k/attention_metadata_v2.json,1797.9959435760975,,torch.bfloat16,,128,compiled,,1.8339840173721313,1.8984960317611694,1.9077119827270508,,,,540.25,662.0,forward_backward,,300,attention,8192,ok,100
1,,python student_scripts/a2k/model_compile.py --implementation eager --seed 2026 --output local_results/a2k/model_compile.csv --metadata local_results/a2k/model_compile_eager_metadata.json,,512,bf16_autocast_fp32_parameters,,,eager,,17.0598087310791,17.253376007080078,17.544191360473633,small,,,1587.75927734375,1626.0,forward,,,small_transformer,,ok,
1,,python student_scripts/a2k/model_compile.py --implementation eager --seed 2026 --output local_results/a2k/model_compile.csv --metadata local_results/a2k/model_compile_eager_metadata.json,,512,bf16_autocast_fp32_parameters,,,eager,,46.75174331665039,46.79782485961914,46.85209655761719,small,,,1652.30908203125,1882.0,forward_backward,,,small_transformer,,ok,
1,,python student_scripts/a2k/model_compile.py --implementation eager --seed 2026 --output local_results/a2k/model_compile.csv --metadata local_results/a2k/model_compile_eager_metadata.json,,512,bf16_autocast_fp32_parameters,,,eager,,51.578470611572264,54.430721282958984,54.73771667480469,small,,,2750.69873046875,3038.0,train_step,,,small_transformer,,ok,
1,,python student_scripts/a2k/model_compile.py --implementation compiled --seed 2026 --output local_results/a2k/model_compile.csv --metadata local_results/a2k/model_compile_compiled_metadata.json,22647.807713598013,512,bf16_autocast_fp32_parameters,,,compiled,,4.781049537658691,4.800511837005615,4.819353675842286,small,,,1370.89990234375,1462.0,forward,,,small_transformer,,ok,
1,,python student_scripts/a2k/model_compile.py --implementation compiled --seed 2026 --output local_results/a2k/model_compile.csv --metadata local_results/a2k/model_compile_compiled_metadata.json,22647.807713598013,512,bf16_autocast_fp32_parameters,,,compiled,,13.816422080993652,13.897295951843262,13.944422149658202,small,,,1437.61962890625,1722.0,forward_backward,,,small_transformer,,ok,
1,,python student_scripts/a2k/model_compile.py --implementation compiled --seed 2026 --output local_results/a2k/model_compile.csv --metadata local_results/a2k/model_compile_compiled_metadata.json,22647.807713598013,512,bf16_autocast_fp32_parameters,,,compiled,,22.640435791015626,22.750207901000977,22.807142639160155,small,,,2737.58935546875,2998.0,train_step,,,small_transformer,,ok,
