implementation,batch_size,sequence_length,head_dim,dtype,causal,phase,warmup_ms,rep_ms,p20_ms,p50_ms,p80_ms,peak_allocated_mib,peak_reserved_mib,speedup_vs_eager,query_tile,key_tile,num_warps,num_stages,status,cold_start_ms
eager,1,512,64,bfloat16,True,forward,100,300,0.026623999699950218,0.026704000309109688,0.027648000046610832,266.5078125,280.0,1.0,,,,,success,1415.9878455102444
eager,1,512,64,bfloat16,True,backward,100,300,0.033663999289274216,0.03468799963593483,0.03481600061058998,274.875,280.0,1.0,,,,,success,0.3132075071334839
eager,1,512,64,bfloat16,True,forward_backward,100,300,0.17398400604724884,0.17632000148296356,0.1812479943037033,275.6875,280.0,1.0,,,,,success,0.4455931484699249
eager,1,512,128,bfloat16,True,forward,100,300,0.027424000203609467,0.027648000046610832,0.027648000046610832,275.0078125,280.0,1.0,,,,,success,0.3406219184398651
eager,1,512,128,bfloat16,True,backward,100,300,0.03711999952793121,0.03788800165057182,0.03788800165057182,275.25,280.0,1.0,,,,,success,0.31243637204170227
eager,1,512,128,bfloat16,True,forward_backward,100,300,0.18227200210094452,0.1889760047197342,0.26316800713539124,276.125,280.0,1.0,,,,,success,0.34504756331443787
eager,1,2048,64,bfloat16,True,forward,100,300,0.0759039968252182,0.07680000364780426,0.07711999863386154,305.78125,318.0,1.0,,,,,success,1.6762278974056244
eager,1,2048,64,bfloat16,True,backward,100,300,0.0942080020904541,0.09523200243711472,0.09523200243711472,309.75,320.0,1.0,,,,,success,1.3129822909832
eager,1,2048,64,bfloat16,True,forward_backward,100,300,0.17426559329032898,0.17715199291706085,0.18225919902324678,322.0,340.0,1.0,,,,,success,1.2628138065338135
eager,1,2048,128,bfloat16,True,forward,100,300,0.08191999793052673,0.08191999793052673,0.08294399827718735,307.28125,320.0,1.0,,,,,success,1.59546360373497
eager,1,2048,128,bfloat16,True,backward,100,300,0.10649599879980087,0.10751999914646149,0.10784000158309937,311.25,322.0,1.0,,,,,success,1.4969706535339355
eager,1,2048,128,bfloat16,True,forward_backward,100,300,0.17023999989032745,0.1730560064315796,0.17817600071430206,323.75,342.0,1.0,,,,,success,0.7190033793449402
eager,1,8192,64,bfloat16,True,forward,100,300,1.6814080476760864,1.6824320554733276,1.6834559440612793,790.375,796.0,1.0,,,,,success,2.03525647521019
eager,1,8192,64,bfloat16,True,backward,100,300,2.461695909500122,2.4627199172973633,2.4647679328918457,854.25,926.0,1.0,,,,,success,3.605276346206665
eager,1,8192,64,bfloat16,True,forward_backward,100,300,4.054630374908447,4.056064128875732,4.058112144470215,1047.25,1056.0,1.0,,,,,success,3.7559159100055695
eager,1,8192,128,bfloat16,True,forward,100,300,1.7027711629867555,1.704912006855011,1.7063552141189575,796.375,810.0,1.0,,,,,success,4.813548177480698
eager,1,8192,128,bfloat16,True,backward,100,300,2.498521614074707,2.500607967376709,2.5026559829711914,860.25,938.0,1.0,,,,,success,6.441302597522736
eager,1,8192,128,bfloat16,True,forward_backward,100,300,4.128710460662842,4.131200075149536,4.133887767791748,1054.25,1066.0,1.0,,,,,success,6.447881460189819
