model,context,mode,dtype,tool,name,calls,cpu_total_us,cuda_total_us
small,256,train_step,fp32,torch.profiler,profile/measure,1,90813.106,14880.351999999992
small,256,train_step,fp32,torch.profiler,backward,1,45186.996999999996,0.9279999999998836
small,256,train_step,fp32,torch.profiler,forward,1,32713.632999999998,3405.3130000000083
small,256,train_step,fp32,torch.profiler,forward,1,0,30658.903000000002
small,256,train_step,fp32,torch.profiler,Optimizer.step#AdamW.step,1,0,11497.112999999998
small,256,train_step,fp32,torch.profiler,optimizer,1,3907.8050000000076,11458.942999999985
small,256,train_step,fp32,torch.profiler,Optimizer.step#AdamW.step,1,3848.9839999999967,11458.942999999985
small,256,train_step,fp32,torch.profiler,cudaLaunchKernel,2047,11143.895000000008,0
small,256,train_step,fp32,torch.profiler,cudaDeviceSynchronize,2,8135.794999999998,0
small,256,train_step,fp32,torch.profiler,aten::mul,551,7456.96699999996,1349.6330000000848
small,256,train_step,fp32,torch.profiler,autograd::engine::evaluate_function: MulBackward0,170,6606.653000000049,1087.726999999999
small,256,train_step,fp32,torch.profiler,autograd::engine::evaluate_function: MmBackward0,85,6418.1130000000485,3233.010000000082
small,256,train_step,fp32,torch.profiler,aten::mm,255,6130.9669999999805,4864.262000000106
small,256,train_step,fp32,torch.profiler,MmBackward0,85,5795.731,3233.010000000082
small,256,train_step,fp32,torch.profiler,attention/softmax,12,5161.126,462.74500000002627
small,256,train_step,fp32,torch.profiler,aten::matmul,109,4754.00700000001,1759.478000000021
small,256,train_step,fp32,torch.profiler,attention/softmax,12,0,4581.692000000001
small,256,train_step,fp32,torch.profiler,MulBackward0,170,3686.4659999999785,754.0000000000218
small,256,train_step,fp32,torch.profiler,aten::where,120,3459.0269999999273,412.5549999999839
small,256,train_step,fp32,torch.profiler,aten::index,49,3091.58299999999,71.06999999999198
small,256,train_step,fp32,torch.profiler,autograd::engine::evaluate_function: ViewBackward0,170,2947.3970000000336,126.0869999999777
small,256,train_step,fp32,torch.profiler,attention/scores,12,2880.549,177.38099999998576
small,256,train_step,fp32,torch.profiler,aten::reshape,498,2480.072000000036,69.56999999999971
small,256,train_step,fp32,torch.profiler,autograd::engine::evaluate_function: SliceBackward0,48,2414.4879999999976,175.68200000000797
small,256,train_step,fp32,torch.profiler,aten::_foreach_mul_,2,395.3709999999992,2315.8719999999885
small,256,train_step,fp32,torch.profiler,"void at::native::(anonymous namespace)::multi_tensor_apply_kernel<at::native::(anonymous namespace)::TensorListMetadata<1>, at::native::(anonymous namespace)::BinaryOpScalarFunctor<float, 1, 1, 0>, std::multiplies<float>, float>(at::native::(anonymous namespace)::TensorListMetadata<1>, at::native::(anonymous namespace)::BinaryOpScalarFunctor<float, 1, 1, 0>, std::multiplies<float>, float)",14,0,2315.8719999999885
small,256,train_step,fp32,torch.profiler,aten::_foreach_addcdiv_,1,181.21100000001024,2247.6480000000156
small,256,train_step,fp32,torch.profiler,"void at::native::(anonymous namespace)::multi_tensor_apply_kernel<at::native::(anonymous namespace)::TensorListScalarListMetadata<float, 3>, at::native::(anonymous namespace)::PointwiseOpScalarListFunctor<float, 3, 3, 0>, std::divides<float> >(at::native::(anonymous namespace)::TensorListScalarListMetadata<float, 3>, at::native::(anonymous namespace)::PointwiseOpScalarListFunctor<float, 3, 3, 0>, std::divides<float>)",7,0,2247.6480000000156
small,256,train_step,fp32,torch.profiler,aten::transpose,593,2079.151000000035,0
small,256,train_step,fp32,torch.profiler,autograd::engine::evaluate_function: PowBackward0,25,2034.934000000023,147.8130000000383
small,256,train_step,fp32,torch.profiler,Activity Buffer Request,1,1915.189,3.007999999999811
small,256,train_step,fp32,torch.profiler,autograd::engine::evaluate_function: WhereBackward0,36,1880.3110000000306,157.63899999999558
small,256,train_step,fp32,torch.profiler,SliceBackward0,48,1876.118999999977,138.43300000000454
small,256,train_step,fp32,torch.profiler,aten::bmm,72,1854.378000000008,420.0059999999812
small,256,train_step,fp32,torch.profiler,aten::copy_,145,1828.6959999999408,281.8640000000123
small,256,train_step,fp32,torch.profiler,aten::slice_backward,48,1770.4489999999714,138.43300000000454
small,256,train_step,fp32,torch.profiler,aten::add_,280,1756.6639999999607,315.4900000000125
small,256,train_step,fp32,torch.profiler,aten::_foreach_lerp_,1,80.29999999998836,1712.982999999993
small,256,train_step,fp32,torch.profiler,"void at::native::(anonymous namespace)::multi_tensor_apply_kernel<at::native::(anonymous namespace)::TensorListMetadata<2>, at::native::(anonymous namespace)::TernaryOpScalarFunctor<float, 2, 2, 0>, at::native::LerpFunctor<float>, float>(at::native::(anonymous namespace)::TensorListMetadata<2>, at::native::(anonymous namespace)::TernaryOpScalarFunctor<float, 2, 2, 0>, at::native::LerpFunctor<float>, float)",7,0,1712.982999999993
small,256,train_step,fp32,torch.profiler,aten::_foreach_addcmul_,1,176.76399999999558,1707.2859999999928
small,256,train_step,fp32,torch.profiler,"void at::native::(anonymous namespace)::multi_tensor_apply_kernel<at::native::(anonymous namespace)::TensorListMetadata<3>, at::native::(anonymous namespace)::PointwiseOpScalarFunctor<float, 3, 3, 0>, std::multiplies<float>, float>(at::native::(anonymous namespace)::TensorListMetadata<3>, at::native::(anonymous namespace)::PointwiseOpScalarFunctor<float, 3, 3, 0>, std::multiplies<float>, float)",7,0,1707.2859999999928
small,256,train_step,fp32,torch.profiler,aten::clone,72,1686.6329999999944,159.42599999999584
small,256,train_step,fp32,torch.profiler,cuLaunchKernel,327,1663.1549999999065,0
small,256,train_step,fp32,torch.profiler,aten::pow,75,1653.8240000000415,97.02500000002055
small,256,train_step,fp32,torch.profiler,WhereBackward0,36,1648.8510000000388,157.63899999999558
small,256,train_step,fp32,torch.profiler,autograd::engine::evaluate_function: BmmBackward0,24,1638.9430000000066,291.7799999999843
small,256,train_step,fp32,torch.profiler,ViewBackward0,170,1621.7909999998956,69.56999999999971
small,256,train_step,fp32,torch.profiler,aten::div,97,1563.9660000000267,322.01899999996294
small,256,train_step,fp32,torch.profiler,autograd::engine::evaluate_function: DivBackward0,24,1557.8830000000307,310.0509999999558
small,256,train_step,fp32,torch.profiler,PowBackward0,25,1541.1439999999711,108.96600000003673
small,256,train_step,fp32,torch.profiler,attention/scores,12,0,1522.4540000000025
small,256,train_step,fp32,torch.profiler,aten::masked_fill,24,1481.9700000000003,150.91299999997318
small,256,train_step,fp32,torch.profiler,aten::fill_,159,1476.3319999999476,217.92299999999614
small,256,train_step,fp32,torch.profiler,autograd::engine::evaluate_function: RsqrtBackward0,25,1446.6899999999514,83.55300000005082
small,256,train_step,fp32,torch.profiler,BmmBackward0,24,1430.715000000033,291.7799999999843
small,256,train_step,fp32,torch.profiler,aten::sum,86,1413.2439999999733,344.67399999993086
small,256,train_step,fp32,torch.profiler,aten::stack,24,1408.291000000002,85.85599999999613
small,256,train_step,fp32,torch.profiler,aten::add,97,1375.4030000000025,132.80699999999615
small,256,train_step,fp32,torch.profiler,aten::empty,342,1347.6730000000866,0
small,256,train_step,fp32,torch.profiler,RsqrtBackward0,25,1309.3009999999995,83.55300000005082
small,256,train_step,fp32,torch.profiler,autograd::engine::evaluate_function: TransposeBackward0,145,1308.1339999999618,0
small,256,train_step,fp32,torch.profiler,aten::item,270,1235.1669999999926,45.919000000008054
small,256,train_step,fp32,torch.profiler,aten::zeros,60,1191.9770000000208,77.8599999999933
small,256,train_step,fp32,torch.profiler,aten::_foreach_sqrt,1,672.101999999999,1159.1849999999831
small,256,train_step,fp32,torch.profiler,"void at::native::(anonymous namespace)::multi_tensor_apply_kernel<at::native::(anonymous namespace)::TensorListMetadata<2>, at::native::(anonymous namespace)::UnaryOpFunctor<float, 2, 1, 1>, at::native::Sqrt<float> >(at::native::(anonymous namespace)::TensorListMetadata<2>, at::native::(anonymous namespace)::UnaryOpFunctor<float, 2, 1, 1>, at::native::Sqrt<float>)",7,0,1159.1849999999831
small,256,train_step,fp32,torch.profiler,aten::_foreach_div_,1,158.18299999999,1158.320000000007
small,256,train_step,fp32,torch.profiler,"void at::native::(anonymous namespace)::multi_tensor_apply_kernel<at::native::(anonymous namespace)::TensorListScalarListMetadata<float, 1>, at::native::(anonymous namespace)::BinaryOpScalarListFunctor<float, 1, 1, 0>, std::divides<float> >(at::native::(anonymous namespace)::TensorListScalarListMetadata<float, 1>, at::native::(anonymous namespace)::BinaryOpScalarListFunctor<float, 1, 1, 0>, std::divides<float>)",7,0,1158.320000000007
small,256,train_step,fp32,torch.profiler,aten::_foreach_add_,2,436.8770000000077,1157.649000000005
small,256,train_step,fp32,torch.profiler,"void at::native::(anonymous namespace)::multi_tensor_apply_kernel<at::native::(anonymous namespace)::TensorListMetadata<1>, at::native::(anonymous namespace)::BinaryOpScalarFunctor<float, 1, 1, 0>, std::plus<float>, float>(at::native::(anonymous namespace)::TensorListMetadata<1>, at::native::(anonymous namespace)::BinaryOpScalarFunctor<float, 1, 1, 0>, std::plus<float>, float)",7,0,1157.649000000005
small,256,train_step,fp32,torch.profiler,attention/value,12,1142.9029999999993,71.48899999999867
small,256,train_step,fp32,torch.profiler,DivBackward0,24,1137.2140000000145,272.128999999979
small,256,train_step,fp32,torch.profiler,autograd::engine::evaluate_function: UnsafeViewBackward0,121,1128.5779999999431,0
small,256,train_step,fp32,torch.profiler,aten::zero_,98,1124.287999999985,161.3790000000099
small,256,train_step,fp32,torch.profiler,aten::isfinite,12,1090.3039999999955,52.127000000004045
small,256,train_step,fp32,torch.profiler,aten::t,255,1067.8350000000864,0
small,256,train_step,fp32,torch.profiler,aten::cat,24,1046.4529999999922,85.85599999999613
small,256,train_step,fp32,torch.profiler,void cutlass::Kernel2<cutlass_80_tensorop_s1688gemm_64x64_16x6_nt_align4>(cutlass_80_tensorop_s1688gemm_64x64_16x6_nt_align4::Params),84,0,957.0999999999476
small,256,train_step,fp32,torch.profiler,cudaMemcpyAsync,97,952.7539999999435,0
small,256,train_step,fp32,torch.profiler,autograd::engine::evaluate_function: SubBackward0,36,942.6650000000081,104.64199999996345
small,256,train_step,fp32,torch.profiler,aten::is_nonzero,48,932.8139999999989,45.919000000008054
small,256,train_step,fp32,torch.profiler,aten::view,501,902.2400000001016,0
small,256,train_step,fp32,torch.profiler,autograd::engine::evaluate_function: ClampMinBackward0,12,892.1969999999856,46.653999999973166
small,256,train_step,fp32,torch.profiler,autograd::engine::evaluate_function: MaxBackward0,12,889.281999999992,128.96500000001106
small,256,train_step,fp32,torch.profiler,autograd::engine::evaluate_function: torch::autograd::AccumulateGrad,111,877.3239999999641,0
small,256,train_step,fp32,torch.profiler,aten::scalar_tensor,48,872.2929999999615,44.73499999998603
small,256,train_step,fp32,torch.profiler,void cutlass::Kernel2<cutlass_80_tensorop_s1688gemm_128x128_16x5_nt_align4>(cutlass_80_tensorop_s1688gemm_128x128_16x5_nt_align4::Params),24,0,849.7730000000156
small,256,train_step,fp32,torch.profiler,aten::_local_scalar_dense,270,840.117000000163,45.919000000008054
small,256,train_step,fp32,torch.profiler,autograd::engine::evaluate_function: MeanBackward1,25,829.5840000000098,45.21599999999307
small,256,train_step,fp32,torch.profiler,aten::max,36,819.5670000000077,100.25599999999667
small,256,train_step,fp32,torch.profiler,ClampMinBackward0,12,812.0980000000054,46.653999999973166
small,256,train_step,fp32,torch.profiler,autograd::engine::evaluate_function: MaskedFillBackward0,12,794.1089999999822,76.22599999998056
small,256,train_step,fp32,torch.profiler,aten::zeros_like,36,746.7240000000029,63.19900000000962
small,256,train_step,fp32,torch.profiler,aten::empty_like,111,744.796000000013,0
small,256,train_step,fp32,torch.profiler,void cutlass::Kernel2<cutlass_80_tensorop_s1688gemm_64x64_16x6_tn_align4>(cutlass_80_tensorop_s1688gemm_64x64_16x6_tn_align4::Params),72,0,744.2990000000018
small,256,train_step,fp32,torch.profiler,aten::as_strided,1124,735.8249999999847,0
small,256,train_step,fp32,torch.profiler,TransposeBackward0,145,720.159999999938,0
small,256,train_step,fp32,torch.profiler,MaskedFillBackward0,12,713.8610000000263,76.22599999998056
small,256,train_step,fp32,torch.profiler,aten::expand,158,707.8790000000017,0
small,256,train_step,fp32,torch.profiler,MeanBackward1,25,706.7490000000034,45.21599999999307
small,256,train_step,fp32,torch.profiler,"void at::native::vectorized_elementwise_kernel<4, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> >, std::array<char*, 3ul> >(int, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> >, std::array<char*, 3ul>)",196,0,686.9570000000358
small,256,train_step,fp32,torch.profiler,MaxBackward0,12,647.669000000009,90.24500000002445
small,256,train_step,fp32,torch.profiler,aten::neg,48,636.3340000000317,103.13900000001013
small,256,train_step,fp32,torch.profiler,aten::value_selecting_reduction_backward,12,610.3889999999956,90.24500000002445
small,256,train_step,fp32,torch.profiler,void cutlass::Kernel2<cutlass_80_tensorop_s1688gemm_128x64_16x6_tn_align4>(cutlass_80_tensorop_s1688gemm_128x64_16x6_tn_align4::Params),24,0,605.2900000000027
small,256,train_step,fp32,torch.profiler,"void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > >(at::TensorIteratorBase&, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > >(at::TensorIteratorBase&, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > const&)::{lambda(int)#1})",292,0,587.1230000000091
small,256,train_step,fp32,torch.profiler,aten::empty_strided,148,585.7780000000057,0
small,256,train_step,fp32,torch.profiler,aten::min,24,575.4940000000065,49.953999999996995
small,256,train_step,fp32,torch.profiler,UnsafeViewBackward0,121,565.6259999999966,0
small,256,train_step,fp32,torch.profiler,aten::square,25,562.2909999999833,32.734000000008564
small,256,train_step,fp32,torch.profiler,aten::sub,36,557.877999999997,71.90299999999843
small,256,train_step,fp32,torch.profiler,void cutlass::Kernel2<cutlass_80_tensorop_s1688gemm_64x128_32x3_nn_align4>(cutlass_80_tensorop_s1688gemm_64x128_32x3_nn_align4::Params),24,0,550.1200000000026
small,256,train_step,fp32,torch.profiler,aten::slice,144,548.6060000000293,0
small,256,train_step,fp32,torch.profiler,aten::abs,24,547.0020000000086,25.981999999998152
small,256,train_step,fp32,torch.profiler,aten::ge,36,544.3890000000083,41.31099999998969
small,256,train_step,fp32,torch.profiler,SubBackward0,36,532.0309999999881,70.56100000000151
small,256,train_step,fp32,torch.profiler,aten::flatten,38,518.3989999999994,23.456999999994878
small,256,train_step,fp32,torch.profiler,aten::mean,25,496.7340000000054,77.8899999999935
small,256,train_step,fp32,torch.profiler,torch::autograd::AccumulateGrad,111,477.2779999999984,0
small,256,train_step,fp32,torch.profiler,autograd::engine::evaluate_function: SigmoidBackward0,12,430.9389999999985,81.89200000006531
small,256,train_step,fp32,torch.profiler,aten::masked_fill_,24,423.6050000000041,84.51399999997193
small,256,train_step,fp32,torch.profiler,"void at::native::vectorized_elementwise_kernel<4, at::native::CUDAFunctor_add<float>, std::array<char*, 3ul> >(int, at::native::CUDAFunctor_add<float>, std::array<char*, 3ul>)",253,0,411.428000000014
small,256,train_step,fp32,torch.profiler,void cutlass::Kernel2<cutlass_80_tensorop_s1688gemm_64x64_32x6_nn_align4>(cutlass_80_tensorop_s1688gemm_64x64_32x6_nn_align4::Params),48,0,409.67100000007486
small,256,train_step,fp32,torch.profiler,aten::lt,24,401.9440000000054,29.757999999999356
small,256,train_step,fp32,torch.profiler,autograd::engine::evaluate_function: StackBackward0,24,395.7640000000101,0
small,256,train_step,fp32,torch.profiler,aten::rsqrt,25,370.0450000000005,30.017000000007556
small,256,train_step,fp32,torch.profiler,autograd::engine::evaluate_function: AddBackward0,73,362.1260000000475,0
small,256,train_step,fp32,torch.profiler,autograd::engine::evaluate_function: SumBackward1,12,323.8750000000218,40.89600000000064
small,256,train_step,fp32,torch.profiler,aten::resize_,99,321.841999999951,0
small,256,train_step,fp32,torch.profiler,void cutlass::Kernel2<cutlass_80_tensorop_s1688gemm_128x64_16x6_nn_align4>(cutlass_80_tensorop_s1688gemm_128x64_16x6_nn_align4::Params),12,0,312.5810000000056
small,256,train_step,fp32,torch.profiler,autograd::engine::evaluate_function: ReshapeAliasBackward0,24,304.3549999999959,0
small,256,train_step,fp32,torch.profiler,aten::_unsafe_view,157,294.17000000000417,0
small,256,train_step,fp32,torch.profiler,StackBackward0,24,272.64600000000064,0
small,256,train_step,fp32,torch.profiler,void cutlass::Kernel2<cutlass_80_tensorop_s1688gemm_64x128_32x3_tn_align4>(cutlass_80_tensorop_s1688gemm_64x128_32x3_tn_align4::Params),12,0,272.35399999999936
small,256,train_step,fp32,torch.profiler,autograd::engine::evaluate_function: ExpBackward0,12,265.13800000002084,63.937000000005355
