config_id,phase,context_length,head_dim,batch_size,dtype,warmup_steps,measurement_steps,step_time_ms_p20,step_time_ms_p50,step_time_ms_p80,peak_allocated_mib,peak_reserved_mib,status
0,forward,512,64,1,BF16,100,300,0.04273279905319215,0.04505600035190582,0.05119999870657921,265.625,278.0,success
0,backward,512,64,1,BF16,100,300,0.5109760165214539,0.5877760052680969,0.6932479739189148,274.9384765625,280.0,success
0,forward_backward,512,64,1,BF16,100,300,1.4069759845733643,1.6061440110206604,1.825478410720825,274.8759765625,280.0,success
1,forward,512,128,1,BF16,100,300,0.05427199974656105,0.07078400254249573,0.10362879782915121,274.0,280.0,success
1,backward,512,128,1,BF16,100,300,1.1261951923370361,1.1868159770965576,1.2861440181732178,275.3759765625,280.0,success
1,forward_backward,512,128,1,BF16,100,300,2.188492774963379,2.3050880432128906,2.4104959964752197,275.2509765625,280.0,success
2,forward,2048,64,1,BF16,100,300,0.10342399775981903,0.10547199845314026,0.12595200538635254,293.25,320.0,success
2,backward,2048,64,1,BF16,100,300,1.1497472524642944,1.257472038269043,1.3486080169677734,310.0009765625,320.0,success
2,forward_backward,2048,64,1,BF16,100,300,2.1925888061523438,2.2968320846557617,2.4051711559295654,309.7509765625,320.0,success
3,forward,2048,128,1,BF16,100,300,0.15269120037555695,0.16387200355529785,0.17715199291706085,294.25,320.0,success
3,backward,2048,128,1,BF16,100,300,1.1300992012023925,1.2318719625473022,1.3121535778045654,311.7509765625,322.0,success
3,forward_backward,2048,128,1,BF16,100,300,2.4350719451904297,2.4524800777435303,2.4721407890319824,311.2509765625,322.0,success
4,forward,8192,64,1,BF16,100,300,1.8575359582901,1.8595839738845825,1.8626559972763062,596.25,708.0,success
4,backward,8192,64,1,BF16,100,300,2.466815948486328,2.4678399562835693,2.4698879718780518,855.2509765625,966.0,success
4,forward_backward,8192,64,1,BF16,100,300,4.250624179840088,4.25267219543457,4.254720211029053,854.2509765625,966.0,success
5,forward,8192,128,1,BF16,100,300,1.879040002822876,1.8810880184173584,1.884160041809082,600.25,966.0,success
5,backward,8192,128,1,BF16,100,300,2.505728006362915,2.5077760219573975,2.5088000297546387,862.2509765625,966.0,success
5,forward_backward,8192,128,1,BF16,100,300,4.330495834350586,4.333568096160889,4.336639881134033,860.2509765625,966.0,success
