config_id,component,phase,context_length,head_dim,batch_size,dtype,warmup_steps,measurement_steps,cold_start_ms,steady_state_p20_ms,steady_state_p50_ms,steady_state_p80_ms,peak_allocated_mib,peak_reserved_mib,status
0,attention,eager_forward,512,64,1,BF16,100,300,240.65228271484375,0.06233600154519081,0.06451199948787689,0.06963200122117996,253.765625,268.0,success
0,attention,eager_forward_backward,512,64,1,BF16,100,300,24.108896255493164,1.991475224494934,2.2231040000915527,2.3873536586761475,263.0166015625,270.0,success
0,attention,compiled_forward,512,64,1,BF16,100,300,2428.42041015625,0.018432000651955605,0.02038400061428547,0.02457600086927414,244.3291015625,270.0,success
0,attention,compiled_forward_backward,512,64,1,BF16,100,300,452.1983947753906,1.8083839416503906,1.8165760040283203,1.8411519527435303,244.455078125,254.0,success
1,attention,eager_forward,2048,128,1,BF16,100,300,2.125823974609375,0.11161600053310394,0.11776000261306763,0.15258879959583282,274.265625,502.0,success
1,attention,eager_forward_backward,2048,128,1,BF16,100,300,2.317312002182007,2.5825281143188477,2.608128070831299,2.628607988357544,299.3916015625,504.0,success
1,attention,compiled_forward,2048,128,1,BF16,100,300,600.823486328125,0.05222399905323982,0.05222399905323982,0.053247999399900436,245.6416015625,504.0,success
1,attention,compiled_forward_backward,2048,128,1,BF16,100,300,449.75103759765625,1.8411519527435303,1.8508800268173218,1.87391996383667,246.642578125,296.0,success
2,attention,eager_forward,8192,128,1,BF16,100,300,2.6777279376983643,1.8821439743041992,1.8851840496063232,1.8882559537887573,580.265625,798.0,success
2,attention,eager_forward_backward,8192,128,1,BF16,100,300,4.388864040374756,4.334591865539551,4.3376641273498535,4.341760158538818,848.3916015625,1054.0,success
2,attention,compiled_forward,8192,128,1,BF16,100,300,482.3341979980469,0.7464960217475891,0.7475200295448303,0.7485439777374268,332.0009765625,1054.0,success
2,attention,compiled_forward_backward,8192,128,1,BF16,100,300,392.52685546875,1.938431978225708,1.9404799938201904,1.9425280094146729,472.126953125,1072.0,success
3,transformer,eager_forward,512,64,1,BF16,100,300,1783.4271240234375,27.915546417236328,28.057600021362305,28.11985969543457,980.74951171875,1088.0,success
4,transformer,eager_forward_backward,512,64,1,BF16,100,300,1206.024169921875,81.5974349975586,81.60050964355469,81.94641876220703,1441.388671875,1752.0,success
5,transformer,eager_train_step,512,64,1,BF16,100,300,120.20941162109375,98.33390045166016,98.42176055908203,98.59748077392578,1816.828125,2114.0,success
6,transformer,compiled_forward,512,64,1,BF16,100,300,95093.671875,1.6828416585922241,1.6834559440612793,1.684070348739624,1896.99853515625,2524.0,success
7,transformer,compiled_forward_backward,512,64,1,BF16,100,300,154815.96875,28.295167922973633,28.295167922973633,28.295167922973633,2069.2001953125,2710.0,success
8,transformer,compiled_train_step,512,64,1,BF16,100,300,17609.08203125,44.75699234008789,44.75699234008789,44.75699234008789,1666.0673828125,2710.0,success
