Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
70.4,930737798,328,2837615.2,1360970.0,5214,10429587,2833264.1,cudaMemcpyAsync
20.8,274261113,11282,24309.6,5233.0,3876,27038008,484235.4,cudaLaunchKernel
2.7,35161715,1,35161715.0,35161715.0,35161715,35161715,0.0,cudaDeviceSynchronize
1.7,21942752,170,129075.0,122534.5,3906,454125,36297.7,cudaMalloc
1.5,19423979,4,4855994.8,5945193.5,1171500,6362092,2465108.1,cuLibraryLoadData
1.5,19167024,328,58436.0,54605.0,3096,2327338,129679.7,cudaStreamSynchronize
1.4,18339889,1518,12081.6,5243.0,3656,301936,43848.9,cudaMemsetAsync
0.1,1933375,1,1933375.0,1933375.0,1933375,1933375,0.0,cudaFree
0.0,192477,171,1125.6,1095.0,286,7715,553.5,cudaStreamIsCapturing_v10000
0.0,134726,810,166.3,130.0,74,1419,103.6,cuGetProcAddress_v2
0.0,21993,20,1099.7,282.0,273,4924,1488.3,cudaEventCreateWithFlags
0.0,8952,2,4476.0,4476.0,3997,4955,677.4,cudaEventRecord
0.0,3985,3,1328.3,1095.0,1077,1813,419.8,cuInit
0.0,2409,4,602.3,613.5,546,636,39.9,cuLibraryGetKernel
0.0,2234,2,1117.0,1117.0,485,1749,893.8,cudaEventDestroy
0.0,1404,2,702.0,702.0,398,1006,429.9,cudaGetDriverEntryPoint_v11030
0.0,1232,3,410.7,150.0,135,947,464.5,cuModuleGetLoadingMode
