Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
70.2,909775315,328,2773705.2,1386994.5,5231,19920711,2836246.5,cudaMemcpyAsync
14.2,184076548,814,226138.3,6012.5,3836,27434165,1806226.6,cudaLaunchKernel
9.6,125007619,4,31251904.8,1239861.0,235524,122292373,60701028.7,cudaFree
3.1,40305125,252,159941.0,128134.5,3776,6594377,408209.2,cudaMalloc
1.5,18806478,4,4701619.5,5731240.5,1128306,6215691,2393928.1,cuLibraryLoadData
1.3,17057977,328,52006.0,53819.5,2458,90675,31387.1,cudaStreamSynchronize
0.0,508674,78,6521.5,6803.0,4559,12481,1412.1,cudaMemsetAsync
0.0,305400,253,1207.1,1262.0,265,7031,510.4,cudaStreamIsCapturing_v10000
0.0,135968,810,167.9,130.0,71,1533,107.5,cuGetProcAddress_v2
0.0,46986,1,46986.0,46986.0,46986,46986,0.0,cudaMemGetInfo
0.0,16019,18,889.9,325.5,296,5505,1397.2,cudaEventCreateWithFlags
0.0,4443,3,1481.0,1386.0,1138,1919,399.1,cuInit
0.0,2949,4,737.3,707.5,520,1014,240.8,cuLibraryGetKernel
0.0,1643,3,547.7,125.0,110,1408,745.1,cuModuleGetLoadingMode
0.0,1132,2,566.0,566.0,408,724,223.4,cudaGetDriverEntryPoint_v11030
