Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
54.7,948177980,402,2358651.7,1368896.5,5320,10744717,2819267.3,cudaMemcpyAsync
33.9,587575066,11420,51451.4,4764.0,3481,84613018,1178809.4,cudaLaunchKernel
4.5,78905238,621,127061.6,124986.0,3607,347620,24453.7,cudaMalloc
2.9,50042440,8,6255305.0,91436.5,2748,47641992,16735578.7,cudaFree
1.3,22867500,859,26621.1,6479.0,2941,520491,87391.0,cudaMemsetAsync
1.1,18687964,4,4671991.0,5691611.0,1132851,6171891,2371548.0,cuLibraryLoadData
1.0,16784161,328,51171.2,53744.0,3429,88438,31772.1,cudaStreamSynchronize
0.4,7538590,362,20824.8,5165.0,3948,139835,37428.1,cuLaunchKernel
0.2,2926392,362,8084.0,493.0,266,2441516,128775.2,cuKernelGetFunction
0.0,694136,619,1121.4,1153.0,275,8082,388.6,cudaStreamIsCapturing_v10000
0.0,129274,810,159.6,126.0,72,1700,104.8,cuGetProcAddress_v2
0.0,36912,36,1025.3,927.5,277,5934,1137.7,cudaEventCreateWithFlags
0.0,20694,1,20694.0,20694.0,20694,20694,0.0,cudaMemGetInfo
0.0,7903,7,1129.0,827.0,557,1936,637.9,cuLibraryGetKernel
0.0,4586,3,1528.7,1447.0,1236,1903,340.9,cuInit
0.0,1082,2,541.0,541.0,257,825,401.6,cudaGetDriverEntryPoint_v11030
0.0,940,3,313.3,155.0,140,645,287.3,cuModuleGetLoadingMode
