Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
57.1,365367179,3794,96301.3,5616.0,4026,25421608,791650.5,cudaLaunchKernel
19.9,127392184,112,1137430.2,924287.0,4566,6298290,1003298.3,cudaMemcpyAsync
16.5,105605047,1,105605047.0,105605047.0,105605047,105605047,0.0,cudaDeviceSynchronize
2.6,16648894,4,4162223.5,5284278.5,447748,5632589,2482135.6,cuLibraryLoadData
2.0,12710035,360,35305.7,6043.5,3782,402128,93584.4,cudaMemsetAsync
0.9,5469094,43,127188.2,118395.0,3746,234324,38126.6,cudaMalloc
0.7,4581691,112,40908.0,25018.5,3286,89022,33894.0,cudaStreamSynchronize
0.2,1563334,1,1563334.0,1563334.0,1563334,1563334,0.0,cudaFree
0.0,129064,810,159.3,125.0,71,1522,100.4,cuGetProcAddress_v2
0.0,54545,44,1239.7,1144.0,307,6227,912.5,cudaStreamIsCapturing_v10000
0.0,18486,20,924.3,283.5,274,5119,1441.4,cudaEventCreateWithFlags
0.0,9662,2,4831.0,4831.0,4405,5257,602.5,cudaEventRecord
0.0,4173,3,1391.0,1308.0,1220,1645,224.3,cuInit
0.0,3022,4,755.5,656.0,575,1135,256.0,cuLibraryGetKernel
0.0,2143,2,1071.5,1071.5,500,1643,808.2,cudaEventDestroy
0.0,1684,3,561.3,138.0,132,1414,738.4,cuModuleGetLoadingMode
0.0,949,2,474.5,474.5,260,689,303.3,cudaGetDriverEntryPoint_v11030
