Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
70.7,402065538,11198,35905.1,5595.0,3483,66519964,870489.3,cudaLaunchKernel
19.4,110587817,268,412641.1,12559.0,4758,6457758,842900.2,cudaMemcpyAsync
3.4,19351987,148,130756.7,129132.5,3359,322551,34907.9,cudaMalloc
3.0,16923689,4,4230922.3,5312000.5,429080,5870608,2549150.1,cuLibraryLoadData
1.2,6966316,1242,5609.0,5151.0,2944,58611,2647.3,cudaMemsetAsync
1.0,5933873,112,52981.0,54530.0,3482,89008,31261.0,cudaStreamSynchronize
0.5,2824716,300,9415.7,469.0,320,2459948,142378.5,cuKernelGetFunction
0.3,1904929,300,6349.8,5517.0,3957,24127,2495.3,cuLaunchKernel
0.3,1548457,2,774228.5,774228.5,2995,1545462,1090688.9,cudaFree
0.0,226187,38,5952.3,913.5,293,122781,22396.9,cudaEventCreateWithFlags
0.0,199060,146,1363.4,1365.5,318,7935,639.2,cudaStreamIsCapturing_v10000
0.0,129352,810,159.7,125.0,67,1705,108.1,cuGetProcAddress_v2
0.0,15991,2,7995.5,7995.5,6853,9138,1615.7,cudaEventRecord
0.0,13473,1,13473.0,13473.0,13473,13473,0.0,cudaDeviceSynchronize
0.0,6482,6,1080.3,717.5,594,1928,656.1,cuLibraryGetKernel
0.0,4477,3,1492.3,1398.0,1217,1862,332.7,cuInit
0.0,2387,2,1193.5,1193.5,750,1637,627.2,cudaEventDestroy
0.0,1362,3,454.0,224.0,155,983,459.4,cuModuleGetLoadingMode
0.0,1208,2,604.0,604.0,315,893,408.7,cudaGetDriverEntryPoint_v11030
