Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
70.5,446487754,21638,20634.4,5318.0,3633,64804762,605467.1,cudaLaunchKernel
20.4,129298571,268,482457.4,13017.5,4629,6314192,849103.3,cudaMemcpyAsync
3.6,22698272,167,135917.8,133359.0,3326,304270,36619.3,cudaMalloc
2.6,16742456,4,4185614.0,5280704.0,425977,5755071,2516480.0,cuLibraryLoadData
1.0,6144865,1092,5627.2,5292.0,2819,23832,2017.7,cudaMemsetAsync
0.7,4595144,112,41028.1,24986.0,3449,89532,34135.7,cudaStreamSynchronize
0.5,2972674,300,9908.9,551.0,327,2375671,138036.6,cuKernelGetFunction
0.3,1980146,300,6600.5,5445.0,4064,35617,3148.2,cuLaunchKernel
0.2,1572229,2,786114.5,786114.5,2984,1569245,1107513.8,cudaFree
0.0,203360,165,1232.5,1162.0,282,6991,582.5,cudaStreamIsCapturing_v10000
0.0,131120,810,161.9,126.0,65,1506,106.6,cuGetProcAddress_v2
0.0,52756,38,1388.3,919.0,276,15327,2577.9,cudaEventCreateWithFlags
0.0,11032,2,5516.0,5516.0,4746,6286,1088.9,cudaEventRecord
0.0,7896,7,1128.0,748.0,621,1917,596.7,cuLibraryGetKernel
0.0,6099,1,6099.0,6099.0,6099,6099,0.0,cudaDeviceSynchronize
0.0,3614,3,1204.7,1179.0,1002,1433,216.6,cuInit
0.0,2180,2,1090.0,1090.0,545,1635,770.7,cudaEventDestroy
0.0,1277,3,425.7,119.0,101,1057,546.8,cuModuleGetLoadingMode
0.0,973,2,486.5,486.5,278,695,294.9,cudaGetDriverEntryPoint_v11030
