model,context,mode,forward_ms,backward_ms,optimizer_ms,measurement_ms
small,256,forward,19.04,—,—,19.13
small,256,forward_backward,31.94,48.07,—,67.71
small,256,train_step,23.70,44.92,39.24,97.87
small,512,forward,18.78,—,—,47.93
small,512,forward_backward,32.11,48.79,—,91.56
small,512,train_step,22.25,53.24,33.96,111.68
small,1024,forward,69.73,—,—,175.62
small,1024,forward_backward,70.23,150.73,—,323.65
small,1024,train_step,23.03,97.57,113.22,234.25
large,256,forward,72.41,—,—,107.74
large,256,forward_backward,77.77,132.30,—,243.04
large,256,train_step,69.60,131.46,101.63,316.00
large,512,forward,166.68,—,—,248.48
large,512,forward_backward,158.62,339.69,—,578.19
large,512,train_step,270.35,456.32,91.98,—
large,1024,forward,408.27,—,—,612.70
large,1024,forward_backward,432.54,OOM,—,—
large,1024,train_step,431.90,OOM,—,—
