time_us,active_mib,reserved_mib
1786439181547140,13187.925781,13178.000000
1786439181547849,13189.176758,13178.000000
1786439181547919,13190.426270,13178.000000
1786439181548388,13196.676270,13178.000000
1786439181548779,13196.676270,13180.000000
1786439181548815,13196.676270,13180.000000
1786439181548884,13196.676270,13180.000000
1786439181548964,13196.676270,13180.000000
1786439181549002,13197.926270,13180.000000
1786439181549024,13197.301270,13180.000000
1786439181549665,13195.442871,13180.000000
1786439181550090,13199.442875,13180.000000
1786439181550238,13199.489746,13180.000000
1786439181550333,13203.489746,13180.000000
1786439181550610,13201.989746,13180.000000
1786439181550739,13204.488770,13180.000000
1786439181550785,13203.239258,13180.000000
1786439181551061,13205.739258,13200.000000
1786439181551369,13230.739258,13220.000000
1786439181551477,13230.739258,13220.000000
1786439181551546,13230.739746,13220.000000
1786439181551641,13234.489746,13220.000000
1786439181551894,13238.864746,13220.000000
1786439181551925,13239.489746,13220.000000
1786439181551960,13239.489746,13220.000000
1786439181551998,13237.614746,13220.000000
1786439181552028,13237.614746,13220.000000
1786439181552064,13238.864746,13220.000000
1786439181552086,13238.239746,13220.000000
1786439181552217,13241.006348,13220.000000
1786439181552260,13241.006348,13220.000000
1786439181552304,13241.037598,13220.000000
1786439181552380,13244.303223,13220.000000
1786439181552477,13243.553223,13220.000000
1786439181552571,13246.052734,13220.000000
1786439181552602,13244.803223,13220.000000
1786439181553895,13262.302734,13240.000000
1786439181555220,13274.802734,13260.000000
1786439181555275,13273.553223,13260.000000
1786439181555310,13272.303711,13260.000000
1786439181555489,13278.553223,13260.000000
1786439181555630,13279.803223,13260.000000
1786439181555669,13280.428223,13260.000000
1786439181555699,13280.428223,13260.000000
1786439181555763,13280.428223,13260.000000
1786439181555790,13281.053223,13260.000000
1786439181555815,13281.053223,13260.000000
1786439181555834,13278.554199,13260.000000
1786439181555963,13280.569828,13260.000000
1786439181556003,13280.585449,13260.000000
1786439181556055,13284.616699,13260.000000
1786439181557432,13285.866699,13280.000000
1786439181557563,13285.115723,13280.000000
1786439181557635,13286.366699,13280.000000
1786439181557667,13287.616211,13280.000000
1786439181562155,13308.866211,13300.000000
1786439181562313,13315.116211,13300.000000
1786439181562371,13313.867188,13300.000000
1786439181562401,13315.116699,13300.000000
1786439181562685,13321.366699,13300.000000
1786439181562725,13321.991699,13300.000000
1786439181562757,13322.616699,13300.000000
1786439181562776,13320.116699,13300.000000
1786439181562838,13321.366699,13300.000000
1786439181562870,13321.991699,13300.000000
1786439181562890,13321.991699,13300.000000
1786439181562975,13322.133301,13300.000000
1786439181563386,13324.133305,13320.000000
1786439181563432,13324.180176,13320.000000
1786439181563488,13328.180176,13320.000000
1786439181563598,13326.680176,13320.000000
1786439181563709,13329.179199,13320.000000
1786439181563754,13327.929688,13320.000000
1786439181563833,13335.429688,13320.000000
1786439181568067,13356.679688,13340.000000
1786439181568140,13356.679688,13340.000000
1786439181568191,13355.430664,13340.000000
1786439181568325,13360.430176,13340.000000
1786439181568511,13362.930176,13340.000000
1786439181568548,13364.180176,13340.000000
1786439181568574,13363.555176,13340.000000
1786439181568622,13362.930176,13340.000000
1786439181568647,13362.930176,13340.000000
1786439181568677,13362.930176,13340.000000
1786439181568733,13361.680176,13340.000000
1786439181569663,13365.696777,13360.000000
1786439181569710,13365.696777,13360.000000
1786439181569752,13365.728027,13360.000000
1786439181569843,13368.993652,13360.000000
1786439181569951,13368.243652,13360.000000
1786439181570057,13370.743164,13360.000000
1786439181570090,13369.493652,13360.000000
1786439181571232,13386.993164,13380.000000
1786439181571419,13398.243164,13380.000000
1786439181571471,13396.993652,13380.000000
1786439181571509,13396.993652,13380.000000
1786439181571781,13403.868652,13380.000000
1786439181571819,13403.868652,13380.000000
1786439181571854,13405.118652,13380.000000
1786439181573622,13405.118652,13400.000000
1786439181573705,13405.118652,13400.000000
1786439181573738,13405.743652,13400.000000
1786439181573767,13405.743652,13400.000000
1786439181573786,13403.244629,13400.000000
1786439181573930,13405.260258,13400.000000
1786439181573971,13405.275879,13400.000000
1786439181574023,13409.307129,13400.000000
1786439181574106,13408.557129,13400.000000
1786439181574228,13411.056152,13400.000000
1786439181574294,13411.057129,13400.000000
1786439181574327,13413.556641,13400.000000
1786439181578475,13438.556641,13420.000000
1786439181578566,13438.556641,13420.000000
1786439181578631,13438.557617,13420.000000
1786439181578669,13441.057129,13420.000000
1786439181579803,13446.057129,13440.000000
1786439181579844,13446.682129,13440.000000
1786439181579877,13447.307129,13440.000000
1786439181579896,13444.807129,13440.000000
1786439181579958,13446.057129,13440.000000
1786439181579996,13446.682129,13440.000000
1786439181580016,13446.682129,13440.000000
1786439181580102,13446.823730,13440.000000
1786439181580190,13448.823734,13440.000000
1786439181580233,13448.870605,13440.000000
1786439181580278,13450.870605,13440.000000
1786439181580373,13450.120605,13440.000000
1786439181580495,13453.870117,13440.000000
1786439181580531,13452.620605,13440.000000
1786439181582725,13460.120117,13460.000000
1786439181583545,13481.370117,13480.000000
1786439181583588,13481.370117,13480.000000
1786439181583641,13480.121094,13480.000000
1786439181583797,13485.120605,13480.000000
1786439181583978,13487.620605,13480.000000
1786439181584014,13488.870605,13480.000000
1786439181584040,13488.245605,13480.000000
1786439181584085,13487.620605,13480.000000
1786439181584109,13487.620605,13480.000000
1786439181584138,13487.620605,13480.000000
1786439181584162,13486.370605,13480.000000
1786439181584293,13488.387207,13480.000000
1786439181584336,13488.387207,13480.000000
1786439181584383,13492.418457,13480.000000
1786439181584477,13493.684082,13480.000000
1786439181584588,13492.934082,13480.000000
1786439181584647,13494.183594,13480.000000
1786439181584677,13494.183594,13480.000000
1786439181585704,13516.683594,13500.000000
1786439181586629,13522.933594,13520.000000
1786439181586682,13521.684082,13520.000000
1786439181586716,13521.684082,13520.000000
1786439181586999,13528.559082,13520.000000
1786439181587037,13528.559082,13520.000000
1786439181587072,13529.809082,13520.000000
1786439181587100,13529.184082,13520.000000
1786439181587163,13529.184082,13520.000000
1786439181587197,13530.434082,13520.000000
1786439181587216,13529.809082,13520.000000
1786439181587260,13527.950684,13520.000000
1786439181587392,13531.950687,13520.000000
1786439181587415,13529.997559,13520.000000
1786439181587477,13535.997559,13520.000000
1786439181587559,13534.497559,13520.000000
1786439181587685,13536.996582,13520.000000
1786439181587727,13535.747070,13520.000000
1786439181589424,13538.247070,13540.000000
1786439181590274,13563.247070,13560.000000
1786439181590459,13563.247070,13560.000000
1786439181590530,13563.248047,13560.000000
1786439181590564,13565.747559,13560.000000
1786439181590852,13571.372559,13560.000000
1786439181590891,13571.997559,13560.000000
1786439181590924,13571.997559,13560.000000
1786439181590961,13570.122559,13560.000000
1786439181590991,13570.122559,13560.000000
1786439181591026,13571.372559,13560.000000
1786439181591044,13570.747559,13560.000000
1786439181591165,13573.514160,13560.000000
1786439181591215,13573.514160,13560.000000
1786439181591257,13573.545410,13560.000000
