time_us,active_mib,reserved_mib
1786439271542888,13475.082031,13178.000000
1786439271544625,13521.332520,13212.000000
1786439271544882,13522.582520,13212.000000
1786439271545603,13527.645996,13232.000000
1786439271546009,13539.395508,13232.000000
1786439271547165,13702.521484,13404.000000
1786439271548233,13748.770996,13438.000000
1786439271548548,13750.787598,13438.000000
1786439271549064,13764.959473,13458.000000
1786439271549956,13876.833984,13578.000000
1786439271550868,13958.709473,13658.000000
1786439271551621,13974.334473,13676.000000
1786439271551934,13977.015137,13676.000000
1786439271552407,13990.521973,13690.000000
1786439271553537,14155.522461,13862.000000
1786439271554629,14200.522949,13896.000000
1786439271554840,14201.772949,13896.000000
1786439271555372,14207.211426,13916.000000
1786439271555710,14216.710938,13916.000000
1786439271556873,14381.086914,14088.000000
1786439271558044,14426.086426,14136.000000
1786439271558298,14427.353027,14136.000000
1786439271558651,14431.024902,14136.000000
1786439271559556,14552.899414,14250.000000
1786439271560494,14636.649902,14336.000000
1786439271561236,14653.524902,14354.000000
1786439271561541,14654.580566,14354.000000
1786439271562071,14667.837402,14374.000000
1786439271563248,14834.712891,14546.000000
1786439271564345,14879.088379,14580.000000
1786439271564537,14880.338379,14580.000000
1786439271565062,14885.776855,14600.000000
1786439271565469,14894.026367,14600.000000
1786439271566681,15059.652344,14772.000000
1786439271567871,15105.276855,14820.000000
1786439271568115,15105.293457,14820.000000
1786439271568486,15109.590332,14820.000000
1786439271569340,15181.464844,14904.000000
1786439271570304,15302.715332,15020.000000
1786439271571053,15332.090332,15038.000000
1786439271571349,15333.114746,15038.000000
1786439271571902,15345.152832,15058.000000
1786439271573074,15513.278320,15230.000000
1786439271574337,15557.028809,15278.000000
1786439271574541,15558.278809,15278.000000
1786439271574872,15562.342285,15278.000000
1786439271575385,15572.592285,15292.000000
1786439271576582,15738.217773,15464.000000
1786439271577689,15783.842285,15498.000000
1786439271577905,15783.233887,15498.000000
1786439271578525,15788.780762,15518.000000
1786439271579192,15859.405273,15588.000000
1786439271580116,15980.655762,15704.000000
1786439271581057,16010.030762,15736.000000
1786439271581364,16012.672363,15736.000000
1786439271581859,16024.968262,15750.000000
1786439271583043,16191.843750,15922.000000
1786439271584030,16235.594238,15954.000000
1786439271584354,16236.844238,15956.000000
1786439271584865,16242.892090,15976.000000
1786439271585218,16251.157715,15976.000000
1786439271586444,16416.783203,16148.000000
1786439271587613,16463.032715,16196.000000
1786439271587813,16461.783691,16196.000000
1786439271588338,16466.721191,16196.000000
1786439271589152,16535.470703,16260.000000
1786439271590094,16658.596191,16382.000000
1786439271591046,16687.971191,16414.000000
1786439271591365,16691.237793,16414.000000
1786439271591903,16703.534668,16434.000000
1786439271593093,16870.409180,16606.000000
1786439271594094,16912.909668,16652.000000
1786439271594542,16916.034668,16654.000000
1786439271594854,16921.457520,16654.000000
1786439271595402,16929.723145,16668.000000
1786439271596528,17096.598145,16840.000000
1786439271597615,17140.973145,16874.000000
1786439271597802,17140.348145,16874.000000
1786439271598423,17147.286621,16894.000000
1786439271598932,17211.536133,16944.000000
1786439271600045,17324.661621,17080.000000
1786439271600951,17366.536621,17112.000000
1786439271601293,17369.803225,17112.000000
1786439271601844,17383.350098,17126.000000
1786439271602925,17548.349609,17298.000000
1786439271603839,17590.850098,17330.000000
1786439271604289,17593.975098,17332.000000
1786439271604779,17598.022949,17352.000000
1786439271605140,17608.288574,17352.000000
1786439271606329,17775.163574,17524.000000
1786439271607405,17818.913574,17570.000000
1786439271607716,17819.538574,17572.000000
1786439271608129,17826.852051,17572.000000
1786439271608783,17837.601562,17636.000000
1786439271609760,18002.602051,17758.000000
1786439271610708,18045.102051,17790.000000
1786439271611030,18047.368654,17790.000000
1786439271611574,18061.915527,17810.000000
1786439271612661,18176.915039,17982.000000
1786439271613615,18256.915527,18026.000000
1786439271614184,18271.290527,18030.000000
1786439271614506,18274.588379,18030.000000
1786439271615057,18288.103516,18044.000000
1786439271616217,18452.478516,18216.000000
1786439271617259,18497.479004,18248.000000
1786439271617629,18498.729004,18250.000000
1786439271618211,18504.792480,18270.000000
1786439271618601,18516.166992,18270.000000
1786439271619770,18679.917480,18442.000000
1786439271620972,18724.292480,18488.000000
1786439271621303,18726.934082,18488.000000
1786439271621884,18741.730957,18502.000000
1786439271622834,18852.980469,18624.000000
1786439271623734,18935.480957,18690.000000
1786439271624453,18950.480957,18708.000000
1786439271624805,18953.161621,18708.000000
1786439271625394,18966.668945,18728.000000
1786439271626571,19131.668945,18900.000000
1786439271627745,19176.044434,18946.000000
1786439271628065,19177.919434,18948.000000
1786439271628418,19182.357910,18948.000000
1786439271629026,19194.107422,18962.000000
1786439271630218,19357.233398,19134.000000
