time_us,active_mib,reserved_mib
1786439213049352,13540.425781,13178.000000
1786439213050439,13549.801270,13180.000000
1786439213050650,13549.801270,13180.000000
1786439213051101,13553.974121,13180.000000
1786439213051491,13556.989258,13180.000000
1786439213052229,13585.739746,13220.000000
1786439213052642,13590.114746,13220.000000
1786439213052858,13591.506348,13220.000000
1786439213053143,13596.052246,13220.000000
1786439213053899,13624.802734,13260.000000
1786439213054312,13633.553223,13260.000000
1786439213054456,13633.553223,13260.000000
1786439213054923,13637.116699,13280.000000
1786439213055253,13641.366211,13280.000000
1786439213055887,13671.366699,13300.000000
1786439213056188,13674.491699,13300.000000
1786439213056563,13674.633305,13320.000000
1786439213056873,13680.429199,13320.000000
1786439213057448,13709.180176,13340.000000
1786439213057830,13716.055176,13340.000000
1786439213057972,13716.055176,13340.000000
1786439213058476,13722.243652,13360.000000
1786439213058850,13734.493164,13360.000000
1786439213059545,13756.368652,13380.000000
1786439213059895,13757.618652,13400.000000
1786439213060139,13759.760258,13400.000000
1786439213060451,13764.806641,13400.000000
1786439213061023,13791.057129,13420.000000
1786439213062775,13799.182129,13440.000000
1786439213063460,13799.182129,13440.000000
1786439213064546,13803.370605,13440.000000
1786439213066566,13822.620117,13460.000000
1786439213068715,13839.495605,13480.000000
1786439213069181,13840.120605,13480.000000
1786439213069807,13842.887207,13480.000000
1786439213070595,13846.683594,13480.000000
1786439213072274,13874.184570,13520.000000
1786439213073165,13882.934082,13520.000000
1786439213073505,13881.684082,13520.000000
1786439213074146,13887.747559,13520.000000
1786439213075554,13910.747070,13560.000000
1786439213076679,13923.872559,13560.000000
1786439213076979,13923.247559,13560.000000
1786439213077419,13924.014160,13560.000000
1786439213078015,13929.811035,13560.000000
1786439213079275,13957.311035,13600.000000
1786439213079949,13965.436035,13600.000000
1786439213080196,13963.562012,13600.000000
1786439213081003,13968.874512,13620.000000
1786439213082042,14000.124023,13640.000000
1786439213082722,14006.374512,13640.000000
1786439213082970,14007.624512,13640.000000
1786439213083540,14007.156738,13660.000000
1786439213084056,14012.937500,13660.000000
1786439213084881,14040.438477,13680.000000
1786439213085639,14048.562988,13682.000000
1786439213085893,14046.704590,13682.000000
1786439213086562,14053.251465,13702.000000
1786439213087448,14084.500977,13722.000000
1786439213087983,14089.501465,13722.000000
1786439213088433,14090.751465,13742.000000
1786439213088740,14090.314941,13742.000000
1786439213089147,14096.064941,13742.000000
1786439213089874,14123.565430,13762.000000
1786439213090614,14131.064941,13782.000000
1786439213090824,14129.831543,13782.000000
1786439213091211,14135.128418,13782.000000
1786439213092134,14167.627930,13822.000000
1786439213092622,14172.003418,13822.000000
1786439213092813,14173.253418,13822.000000
1786439213093089,14175.441895,13822.000000
1786439213093462,14179.191406,13822.000000
1786439213094319,14206.691895,13862.000000
1786439213094740,14212.941895,13862.000000
1786439213094996,14216.958496,13862.000000
1786439213095321,14219.505371,13862.000000
1786439213096144,14249.504883,13902.000000
1786439213096627,14256.380371,13902.000000
1786439213096788,14255.755371,13902.000000
1786439213097028,14260.553223,13902.000000
1786439213097534,14263.568359,13922.000000
1786439213098244,14292.318848,13942.000000
1786439213098645,14297.318848,13942.000000
1786439213098857,14298.085449,13942.000000
1786439213099397,14302.631348,13962.000000
1786439213099967,14331.381836,13982.000000
1786439213100389,14340.132324,13982.000000
1786439213100527,14340.132324,13982.000000
1786439213100994,14343.695801,14002.000000
1786439213101399,14352.945312,14002.000000
1786439213102014,14377.945801,14022.000000
1786439213102331,14381.070801,14022.000000
1786439213102719,14381.212406,14042.000000
1786439213103051,14388.258301,14042.000000
1786439213103644,14415.759277,14062.000000
1786439213104064,14422.634277,14062.000000
1786439213104411,14423.259277,14082.000000
1786439213104702,14428.822754,14082.000000
1786439213105266,14436.072266,14102.000000
1786439213105922,14462.322754,14122.000000
1786439213106208,14463.572754,14122.000000
1786439213106448,14466.339359,14122.000000
1786439213106776,14471.385742,14122.000000
1786439213107526,14498.886230,14162.000000
1786439213107949,14505.136230,14162.000000
1786439213108102,14505.761230,14162.000000
1786439213108400,14511.199707,14162.000000
1786439213108947,14529.199219,14182.000000
1786439213109702,14546.699707,14202.000000
1786439213109904,14546.074707,14202.000000
1786439213110146,14549.466309,14202.000000
1786439213110470,14553.263184,14202.000000
1786439213111221,14580.763672,14242.000000
1786439213111642,14589.513184,14242.000000
1786439213111775,14588.263184,14242.000000
1786439213112105,14592.326660,14242.000000
1786439213112841,14617.326172,14282.000000
1786439213113404,14630.451660,14282.000000
1786439213113548,14629.826660,14282.000000
1786439213113783,14630.608887,14282.000000
1786439213114344,14636.390137,14302.000000
1786439213114917,14663.890137,14322.000000
1786439213115327,14672.015137,14322.000000
1786439213115468,14670.141113,14322.000000
1786439213116014,14676.703613,14342.000000
1786439213116658,14706.703125,14362.000000
1786439213117118,14712.953613,14362.000000
1786439213117281,14714.203613,14362.000000
1786439213117725,14713.767090,14382.000000
1786439213118068,14719.516602,14382.000000
1786439213118646,14747.017578,14402.000000
1786439213119246,14754.517090,14422.000000
1786439213119439,14753.283691,14422.000000
1786439213119791,14758.580566,14422.000000
1786439213120464,14791.080078,14442.000000
1786439213121072,14795.455566,14462.000000
1786439213121243,14797.330566,14462.000000
1786439213121502,14798.894043,14462.000000
1786439213121820,14802.644043,14462.000000
1786439213122569,14830.144043,14502.000000
1786439213122986,14837.644043,14502.000000
1786439213123227,14840.410645,14502.000000
1786439213123539,14842.957520,14502.000000
1786439213124299,14872.957031,14542.000000
1786439213145560,14888.855965,14562.000000
1786439213147099,15008.756355,14790.000000
1786439213147386,15011.255867,14790.000000
1786439213148188,15201.255867,14990.000000
1786439213153553,15282.505867,15090.000000
1786439213153986,15280.016121,15190.000000
1786439213154122,15280.015144,15190.000000
1786439213163474,15307.265144,15190.000000
1786439213175175,15301.249519,15190.000000
1786439213175590,15299.702644,15190.000000
1786439213175788,15298.452644,15190.000000
1786439213176035,15322.202644,15190.000000
1786439213176380,15369.702644,15190.000000
1786439213176516,15365.963387,15190.000000
1786439213176918,15464.711922,15290.000000
1786439213177526,15555.961922,15490.000000
1786439213177891,15642.221687,15590.000000
1786439213178232,15637.221687,15590.000000
1786439213178553,15664.221199,15590.000000
1786439213178705,15659.705574,15590.000000
1786439213178852,15659.658699,15590.000000
1786439213179087,15656.283699,15590.000000
1786439213179254,15655.658699,15590.000000
1786439213179592,15706.908699,15590.000000
1786439213179795,15728.168953,15590.000000
1786439213179910,15728.167976,15590.000000
1786439213180521,15918.167976,15790.000000
1786439213180939,16000.667976,15890.000000
1786439213181256,15996.928230,15990.000000
1786439213181385,15996.927254,15990.000000
1786439213181723,16024.177254,15990.000000
1786439213181844,16018.161629,15990.000000
1786439213182068,16015.989754,15990.000000
1786439213182249,16015.364754,15990.000000
1786439213182444,16040.364754,15990.000000
1786439213182775,16086.614754,15990.000000
1786439213182895,16082.875984,15990.000000
1786439213183253,16181.624031,16090.000000
1786439213183844,16277.874031,16290.000000
1786439213184197,16359.133797,16390.000000
1786439213184308,16354.134285,16390.000000
1786439213184599,16381.133308,16390.000000
1786439213184747,16376.617683,16390.000000
1786439213184882,16376.570808,16390.000000
1786439213185122,16373.195808,16390.000000
1786439213185288,16373.820808,16390.000000
1786439213185630,16423.820808,16390.000000
1786439213185824,16445.080574,16390.000000
1786439213185947,16445.080086,16390.000000
1786439213186501,16535.080086,16590.000000
1786439213186944,16717.580086,16690.000000
1786439213187249,16715.090340,16790.000000
1786439213187364,16713.839363,16790.000000
1786439213187686,16741.089363,16790.000000
1786439213187806,16735.073738,16790.000000
1786439213188028,16732.901863,16790.000000
1786439213188206,16732.901863,16790.000000
1786439213188398,16757.276863,16790.000000
1786439213188710,16803.526863,16790.000000
1786439213188844,16799.788094,16790.000000
1786439213189199,16903.536140,16890.000000
1786439213189878,16994.786140,17090.000000
1786439213190239,17076.036140,17190.000000
1786439213190361,17071.046394,17190.000000
1786439213190652,17098.045418,17190.000000
1786439213190801,17093.545418,17190.000000
1786439213190931,17093.482918,17190.000000
1786439213191174,17090.732918,17190.000000
1786439213191338,17090.732918,17190.000000
1786439213191667,17140.732918,17190.000000
1786439213191872,17161.992683,17190.000000
1786439213191999,17163.242195,17190.000000
1786439213192595,17251.992195,17390.000000
1786439213193007,17434.492195,17490.000000
1786439213193328,17432.002449,17590.000000
1786439213193459,17430.751472,17590.000000
1786439213193790,17458.001472,17590.000000
1786439213193918,17451.985847,17590.000000
1786439213194133,17449.188972,17590.000000
1786439213194325,17449.813972,17590.000000
1786439213194494,17474.188972,17590.000000
1786439213194837,17520.438972,17590.000000
1786439213194975,17516.700203,17590.000000
1786439213195344,17620.448250,17690.000000
1786439213195945,17711.698250,17890.000000
1786439213196293,17792.948250,17990.000000
1786439213196421,17787.958504,17990.000000
1786439213196697,17812.957527,17990.000000
1786439213196859,17810.457527,17990.000000
1786439213196983,17808.395027,17990.000000
1786439213197231,17807.645027,17990.000000
1786439213197399,17807.645027,17990.000000
1786439213197742,17857.645027,17990.000000
1786439213197934,17877.654793,17990.000000
1786439213198069,17880.154305,17990.000000
1786439213198646,17973.904305,18190.000000
1786439213199077,18151.404305,18290.000000
1786439213199397,18148.914558,18390.000000
1786439213199526,18148.913582,18390.000000
1786439213199853,18174.913582,18390.000000
1786439213199976,18168.913582,18390.000000
1786439213200191,18166.101082,18390.000000
1786439213200378,18166.726082,18390.000000
1786439213200557,18191.101082,18390.000000
1786439213200899,18262.351082,18390.000000
1786439213201040,18233.612312,18390.000000
1786439213201404,18337.360359,18490.000000
1786439213202039,18428.610359,18690.000000
1786439213202400,18509.860359,18790.000000
1786439213202525,18504.870613,18790.000000
1786439213202803,18529.869637,18790.000000
1786439213202952,18527.369637,18790.000000
1786439213203095,18525.307137,18790.000000
1786439213203334,18524.557137,18790.000000
1786439213203505,18524.557137,18790.000000
1786439213203828,18573.307137,18790.000000
1786439213204035,18594.566902,18790.000000
1786439213204164,18597.066414,18790.000000
1786439213204757,18690.816414,18990.000000
1786439213205163,18868.316414,19090.000000
1786439213205481,18865.826668,19190.000000
1786439213205601,18865.825691,19190.000000
1786439213205925,18893.825691,19190.000000
1786439213206044,18885.825691,19190.000000
1786439213206240,18882.388191,19190.000000
1786439213206434,18883.638191,19190.000000
1786439213206594,18906.763191,19190.000000
1786439213206946,18979.263191,19190.000000
1786439213207086,18950.524910,19190.000000
1786439213207434,19054.272469,19290.000000
1786439213208049,19145.522469,19490.000000
1786439213208389,19225.522469,19590.000000
1786439213208515,19221.782722,19590.000000
1786439213208730,19245.531746,19590.000000
1786439213208926,19244.281746,19590.000000
1786439213209064,19242.234871,19590.000000
1786439213209294,19241.469246,19590.000000
1786439213209456,19240.219246,19590.000000
1786439213209789,19290.219246,19590.000000
1786439213209975,19310.229012,19590.000000
1786439213210120,19313.978523,19590.000000
1786439213210714,19407.728523,19790.000000
1786439213211119,19590.228523,19890.000000
1786439213211427,19582.738777,19990.000000
1786439213211544,19582.737801,19990.000000
1786439213211862,19610.737801,19990.000000
1786439213211965,19602.737801,19990.000000
