time_us,active_mib,reserved_mib
1786439241139298,13165.791016,13178.000000
1786439241140529,13185.806641,13198.000000
1786439241141413,13225.798828,13218.000000
1786439241145655,13268.298828,13262.000000
1786439241149898,13313.298828,13310.000000
1786439241154142,13353.298828,13350.000000
1786439241155202,13353.298828,13360.000000
1786439241156284,13363.298828,13380.000000
1786439241156375,13363.298828,13380.000000
1786439241156427,13373.298828,13380.000000
1786439241157340,13363.298828,13400.000000
1786439241157535,13367.314453,13400.000000
1786439241159547,13879.314455,13912.000000
1786439241159639,13879.939453,13912.000000
1786439241161585,14391.814453,14936.000000
1786439241162803,14914.064453,14938.000000
1786439241162954,14168.564453,14938.000000
1786439241163007,14128.548828,14938.000000
1786439241163097,14128.564453,14938.000000
1786439241163184,14228.556641,14938.000000
1786439241163411,14538.556641,14938.000000
1786439241163483,14538.556641,14938.000000
1786439241163545,14528.564453,14938.000000
1786439241163649,14601.064453,14938.000000
1786439241163915,14686.064453,14938.000000
1786439241163956,14696.064453,14938.000000
1786439241164000,14696.064453,14938.000000
1786439241164067,14706.064453,14938.000000
1786439241164103,14706.064453,14938.000000
1786439241164124,14696.064453,14938.000000
1786439241165797,14966.080078,15194.000000
1786439241166918,15222.080078,15450.000000
1786439241167915,15222.580078,15962.000000
1786439241169018,16246.830078,16474.000000
1786439241169157,15488.830078,16474.000000
1786439241169296,15491.330078,16474.000000
1786439241169352,15491.314453,16474.000000
1786439241169417,15471.330078,16474.000000
1786439241169567,15691.322266,16474.000000
1786439241169730,15871.322266,16474.000000
1786439241169776,15891.330078,16474.000000
1786439241169813,15871.330078,16474.000000
1786439241169974,15976.330078,16474.000000
1786439241170178,16028.830078,16474.000000
1786439241170215,16038.830078,16474.000000
1786439241170253,16028.830078,16474.000000
1786439241170317,16028.830078,16474.000000
1786439241170359,16058.830078,16474.000000
1786439241170387,16028.845703,16474.000000
1786439241172157,16308.845703,16730.000000
1786439241172220,16309.470703,16730.000000
1786439241174257,17589.345703,17754.000000
1786439241174394,17599.595703,17754.000000
1786439241174518,16844.095703,17754.000000
1786439241174597,16814.080078,17754.000000
1786439241174674,16814.095703,17754.000000
1786439241174752,16864.087891,17754.000000
1786439241174938,17174.087891,17754.000000
1786439241175025,17224.087891,17754.000000
1786439241175082,17214.103516,17754.000000
1786439241175153,17276.595703,17754.000000
1786439241175426,17361.595703,17754.000000
1786439241175480,17381.595703,17754.000000
1786439241175525,17391.595703,17754.000000
1786439241175585,17391.595703,17754.000000
1786439241175627,17401.595703,17754.000000
1786439241175649,17391.595703,17754.000000
1786439241175771,17651.611328,17754.000000
1786439241177488,17907.611328,18010.000000
1786439241178516,17908.111328,18012.000000
1786439241180624,18420.361328,19036.000000
1786439241180778,18686.361328,19036.000000
1786439241180912,18176.861328,19036.000000
1786439241180961,18176.845703,19036.000000
1786439241181016,18156.861328,19036.000000
1786439241181156,18336.853516,19036.000000
1786439241181329,18576.853516,19036.000000
1786439241181383,18576.861328,19036.000000
1786439241181423,18556.869141,19036.000000
1786439241181555,18651.861328,19036.000000
1786439241181788,18724.361328,19036.000000
1786439241181825,18734.361328,19036.000000
1786439241181854,18714.361328,19036.000000
1786439241181921,18724.361328,19036.000000
1786439241181957,18724.361328,19036.000000
1786439241181979,18714.361328,19036.000000
1786439241183783,19250.376953,19292.000000
1786439241183844,18994.501953,19292.000000
1786439241185883,20274.876953,20316.000000
1786439241185965,20275.126953,20316.000000
1786439241186104,19517.126953,20316.000000
1786439241186204,19499.611328,20316.000000
1786439241186287,19499.626953,20316.000000
1786439241186335,19539.619141,20316.000000
1786439241186522,19819.619141,20316.000000
1786439241186640,19909.619141,20316.000000
1786439241186698,19899.634766,20316.000000
1786439241186755,19949.626953,20316.000000
1786439241186935,20037.126953,20316.000000
1786439241187076,20057.126953,20316.000000
1786439241187117,20077.126953,20316.000000
1786439241187178,20067.126953,20316.000000
1786439241187223,20087.126953,20316.000000
1786439241187251,20077.126953,20316.000000
1786439241187330,20081.142578,20316.000000
1786439241189106,20593.142580,20828.000000
1786439241189165,20593.767578,20828.000000
1786439241192241,21105.642578,21854.000000
1786439241192391,21627.892578,21854.000000
1786439241192494,20882.392578,21854.000000
1786439241192538,20822.376953,21854.000000
1786439241192624,20842.384766,21854.000000
