model_size,context_length,dtype,stage,cpu_calls,cpu_total_us,cuda_annotation_calls,cuda_annotation_total_us,cuda_kernel_calls,cuda_kernel_total_us,status,trace_file
small,256,fp32,profile/warmup,1,487821.123,1,232192.139,2181,18713.323,measured_from_raw_trace,small_c256_fp32/small_c256_fp32.trace.json
small,256,fp32,profile/measure,1,95266.498,0,0,1960,18414.798,measured_from_raw_trace,small_c256_fp32/small_c256_fp32.trace.json
small,256,fp32,forward,1,36441.581,1,35967.863,638,4380.842,measured_from_raw_trace,small_c256_fp32/small_c256_fp32.trace.json
small,256,fp32,attention,24,161349.26799999998,24,101626.155,776,4472.365,measured_from_raw_trace,small_c256_fp32/small_c256_fp32.trace.json
small,256,fp32,attention/scores,24,32151.585,24,25558.429,96,652.093,measured_from_raw_trace,small_c256_fp32/small_c256_fp32.trace.json
small,256,fp32,attention/softmax,24,22044.238,24,14330.262999999999,120,1086.185,measured_from_raw_trace,small_c256_fp32/small_c256_fp32.trace.json
small,256,fp32,attention/value,24,11609.523,24,1410.257,48,322.30199999999996,measured_from_raw_trace,small_c256_fp32/small_c256_fp32.trace.json
small,256,fp32,backward,1,54513.689,1,1.538,1275,10903.973,measured_from_raw_trace,small_c256_fp32/small_c256_fp32.trace.json
small,256,fp32,optimizer,1,4045.364,0,0,44,2838.496,measured_from_raw_trace,small_c256_fp32/small_c256_fp32.trace.json
small,512,fp32,profile/warmup,1,446105.948,1,210314.314,2181,33358.16,measured_from_raw_trace,small_c512_fp32/small_c512_fp32.trace.json
small,512,fp32,profile/measure,1,98376.277,0,0,1960,33046.288,measured_from_raw_trace,small_c512_fp32/small_c512_fp32.trace.json
small,512,fp32,forward,1,38146.599,1,37787.354,637,8776.718,measured_from_raw_trace,small_c512_fp32/small_c512_fp32.trace.json
small,512,fp32,attention,24,160312.431,24,93705.226,768,11242.08,measured_from_raw_trace,small_c512_fp32/small_c512_fp32.trace.json
small,512,fp32,attention/scores,24,27340.904,24,20728.989999999998,96,2592.609,measured_from_raw_trace,small_c512_fp32/small_c512_fp32.trace.json
small,512,fp32,attention/softmax,24,18549.546,24,13960.377,104,3753.436,measured_from_raw_trace,small_c512_fp32/small_c512_fp32.trace.json
small,512,fp32,attention/value,24,11213.957999999999,24,2580.306,64,1492.644,measured_from_raw_trace,small_c512_fp32/small_c512_fp32.trace.json
small,512,fp32,backward,1,55823.11,1,1.537,1275,21038.752,measured_from_raw_trace,small_c512_fp32/small_c512_fp32.trace.json
small,512,fp32,optimizer,1,4070.182,0,0,44,2824.514,measured_from_raw_trace,small_c512_fp32/small_c512_fp32.trace.json
small,1024,fp32,profile/warmup,1,418838.717,1,191049.924,2184,76606.872,measured_from_raw_trace,small_c1024_fp32/small_c1024_fp32.trace.json
small,1024,fp32,profile/measure,1,95120.88,0,0,1963,76216.235,measured_from_raw_trace,small_c1024_fp32/small_c1024_fp32.trace.json
small,1024,fp32,forward,1,33175.764,1,32779.0,637,21965.553,measured_from_raw_trace,small_c1024_fp32/small_c1024_fp32.trace.json
small,1024,fp32,attention,24,143822.786,24,91693.806,775,29289.579,measured_from_raw_trace,small_c1024_fp32/small_c1024_fp32.trace.json
small,1024,fp32,attention/scores,24,25134.342,24,24456.966,50,5487.461,measured_from_raw_trace,small_c1024_fp32/small_c1024_fp32.trace.json
small,1024,fp32,attention/softmax,24,17798.906,24,21666.972,84,8568.489,measured_from_raw_trace,small_c1024_fp32/small_c1024_fp32.trace.json
small,1024,fp32,attention/value,24,10484.807,24,2815.727,51,6185.601,measured_from_raw_trace,small_c1024_fp32/small_c1024_fp32.trace.json
small,1024,fp32,backward,1,57579.861,1,1.506,1260,51015.673,measured_from_raw_trace,small_c1024_fp32/small_c1024_fp32.trace.json
small,1024,fp32,optimizer,1,4088.697,0,0,61,2922.209,measured_from_raw_trace,small_c1024_fp32/small_c1024_fp32.trace.json
medium,256,fp32,profile/warmup,1,527444.548,1,246216.953,4253,47448.574,measured_from_raw_trace,medium_c256_fp32/medium_c256_fp32.trace.json
medium,256,fp32,profile/measure,1,185390.036,0,0,3800,45741.016,measured_from_raw_trace,medium_c256_fp32/medium_c256_fp32.trace.json
medium,256,fp32,forward,1,60182.059,1,57063.533,1290,13014.371,measured_from_raw_trace,medium_c256_fp32/medium_c256_fp32.trace.json
medium,256,fp32,attention,48,195186.721,48,127108.99,1584,13149.156,measured_from_raw_trace,medium_c256_fp32/medium_c256_fp32.trace.json
medium,256,fp32,attention/scores,48,29984.639,48,22051.628,207,1884.154,measured_from_raw_trace,medium_c256_fp32/medium_c256_fp32.trace.json
medium,256,fp32,attention/softmax,48,25693.073,48,18797.426,236,2778.149,measured_from_raw_trace,medium_c256_fp32/medium_c256_fp32.trace.json
medium,256,fp32,attention/value,48,13627.601,48,2959.071,95,818.073,measured_from_raw_trace,medium_c256_fp32/medium_c256_fp32.trace.json
medium,256,fp32,backward,1,117288.232,1,1.538,2427,26703.024,measured_from_raw_trace,medium_c256_fp32/medium_c256_fp32.trace.json
medium,256,fp32,optimizer,1,7514.617,0,0,77,5652.165,measured_from_raw_trace,medium_c256_fp32/medium_c256_fp32.trace.json
medium,512,fp32,profile/warmup,1,511341.482,1,247813.53,4254,85455.839,measured_from_raw_trace,medium_c512_fp32/medium_c512_fp32.trace.json
medium,512,fp32,profile/measure,1,194037.368,0,0,3800,83768.192,measured_from_raw_trace,medium_c512_fp32/medium_c512_fp32.trace.json
medium,512,fp32,forward,1,76124.919,1,73071.169,1289,24770.249,measured_from_raw_trace,medium_c512_fp32/medium_c512_fp32.trace.json
medium,512,fp32,attention,48,210332.751,48,145976.924,1577,30127.624,measured_from_raw_trace,medium_c512_fp32/medium_c512_fp32.trace.json
medium,512,fp32,attention/scores,48,36700.944,48,25277.937,193,6708.99,measured_from_raw_trace,medium_c512_fp32/medium_c512_fp32.trace.json
medium,512,fp32,attention/softmax,48,27794.916,48,24426.198,205,9280.358,measured_from_raw_trace,medium_c512_fp32/medium_c512_fp32.trace.json
medium,512,fp32,attention/value,48,14179.711,48,4088.166,128,3615.782,measured_from_raw_trace,medium_c512_fp32/medium_c512_fp32.trace.json
medium,512,fp32,backward,1,109927.914,1,1.633,2427,52876.788,measured_from_raw_trace,medium_c512_fp32/medium_c512_fp32.trace.json
medium,512,fp32,optimizer,1,7565.672,0,0,77,5658.722,measured_from_raw_trace,medium_c512_fp32/medium_c512_fp32.trace.json
medium,1024,fp32,profile/warmup,1,523706.766,1,229444.888,4352,201767.712,measured_from_raw_trace,medium_c1024_fp32/medium_c1024_fp32.trace.json
medium,1024,fp32,profile/measure,1,180584.718,0,0,3406,173537.997,measured_from_raw_trace,medium_c1024_fp32/medium_c1024_fp32.trace.json
medium,1024,fp32,forward,1,59621.615,1,59816.442,1224,57204.959,measured_from_raw_trace,medium_c1024_fp32/medium_c1024_fp32.trace.json
medium,1024,fp32,attention,48,195919.685,48,147855.242,1697,82515.05,measured_from_raw_trace,medium_c1024_fp32/medium_c1024_fp32.trace.json
medium,1024,fp32,attention/scores,48,35230.025,48,38789.984,165,13946.274,measured_from_raw_trace,medium_c1024_fp32/medium_c1024_fp32.trace.json
medium,1024,fp32,attention/softmax,48,26948.751,48,47828.973,197,18340.469,measured_from_raw_trace,medium_c1024_fp32/medium_c1024_fp32.trace.json
medium,1024,fp32,attention/value,48,14370.848,48,6791.655,99,8859.041,measured_from_raw_trace,medium_c1024_fp32/medium_c1024_fp32.trace.json
medium,1024,fp32,backward,1,112717.084,1,1.506,2010,108556.198,measured_from_raw_trace,medium_c1024_fp32/medium_c1024_fp32.trace.json
medium,1024,fp32,optimizer,1,7769.081,0,0,165,7343.751,measured_from_raw_trace,medium_c1024_fp32/medium_c1024_fp32.trace.json
