model_size,context_length,dtype,name,calls,cpu_time_us,cuda_time_us,status,trace_file
small,256,fp32,aten::bmm,654,93244.14799999999,0.0,measured_from_raw_trace,small_c256_fp32/small_c256_fp32.trace.json
small,256,fp32,aten::einsum,218,93175.76999999995,0.0,measured_from_raw_trace,small_c256_fp32/small_c256_fp32.trace.json
small,256,fp32,autograd::engine::evaluate_function: IndexBackward0,2,89948.111,0.0,measured_from_raw_trace,small_c256_fp32/small_c256_fp32.trace.json
small,256,fp32,IndexBackward0,2,89923.479,0.0,measured_from_raw_trace,small_c256_fp32/small_c256_fp32.trace.json
small,256,fp32,aten::_index_put_impl_,2,89604.85,0.0,measured_from_raw_trace,small_c256_fp32/small_c256_fp32.trace.json
small,256,fp32,aten::remainder,4,40367.107,0.0,measured_from_raw_trace,small_c256_fp32/small_c256_fp32.trace.json
small,256,fp32,aten::pow,150,31439.479000000007,0.0,measured_from_raw_trace,small_c256_fp32/small_c256_fp32.trace.json
small,256,fp32,aten::where,96,30883.510000000006,0.0,measured_from_raw_trace,small_c256_fp32/small_c256_fp32.trace.json
small,256,fp32,autograd::engine::evaluate_function: BmmBackward0,218,27649.731999999978,0.0,measured_from_raw_trace,small_c256_fp32/small_c256_fp32.trace.json
small,256,fp32,aten::_foreach_sqrt,2,27080.727000000003,0.0,measured_from_raw_trace,small_c256_fp32/small_c256_fp32.trace.json
small,256,fp32,BmmBackward0,218,25941.35000000001,0.0,measured_from_raw_trace,small_c256_fp32/small_c256_fp32.trace.json
small,256,fp32,aten::mul,1180,23402.27999999996,0.0,measured_from_raw_trace,small_c256_fp32/small_c256_fp32.trace.json
small,256,fp32,aten::div_,4,21832.027000000002,0.0,measured_from_raw_trace,small_c256_fp32/small_c256_fp32.trace.json
small,256,fp32,aten::reshape,1650,17066.491999999995,0.0,measured_from_raw_trace,small_c256_fp32/small_c256_fp32.trace.json
small,256,fp32,autograd::engine::evaluate_function: MaxBackward0,24,15900.191000000003,0.0,measured_from_raw_trace,small_c256_fp32/small_c256_fp32.trace.json
small,256,fp32,MaxBackward0,24,15434.639000000003,0.0,measured_from_raw_trace,small_c256_fp32/small_c256_fp32.trace.json
small,256,fp32,aten::value_selecting_reduction_backward,24,15282.833000000002,0.0,measured_from_raw_trace,small_c256_fp32/small_c256_fp32.trace.json
small,256,fp32,aten::scatter_,24,14517.853000000005,0.0,measured_from_raw_trace,small_c256_fp32/small_c256_fp32.trace.json
small,256,fp32,autograd::engine::evaluate_function: DivBackward0,48,13842.46299999999,0.0,measured_from_raw_trace,small_c256_fp32/small_c256_fp32.trace.json
