run_id,target,implementation,shape,phase,dtype,cold_start_ms,p20_ms,p50_ms,p80_ms,warmup_steps,measurement_steps,peak_allocated_mib,peak_reserved_mib,status,error
compile-attention-seq2048-d128-compiled-forward-bf16,attention,compiled,seq2048-d128,forward,bf16,4973.830075934529,0.16013644635677338,0.1624017022550106,0.1679070293903351,10,30,97.625,114.0,success,
compile-attention-seq2048-d128-eager-forward-bf16,attention,eager,seq2048-d128,forward,bf16,251.83823332190514,0.1527855172753334,0.1538642682135105,0.1564549282193184,10,30,30.125,42.0,success,
compile-attention-seq512-d64-compiled-forward-bf16,attention,compiled,seq512-d64,forward,bf16,6599.788153544068,0.16503706574440002,0.16843155026435852,0.20838622003793755,10,30,8.875,22.0,success,
compile-attention-seq512-d64-eager-forward-bf16,attention,eager,seq512-d64,forward,bf16,263.37968930602074,0.15594828873872757,0.15776604413986206,0.16163960099220276,10,30,9.625,22.0,success,
compile-attention-seq8192-d128-compiled-forward-bf16,attention,compiled,seq8192-d128,forward,bf16,6299.009065143764,0.6510643288493156,0.655387993901968,0.6644688546657562,10,30,342.125,406.0,success,
compile-attention-seq8192-d128-eager-forward-bf16,attention,eager,seq8192-d128,forward,bf16,253.543546423316,1.8289901316165924,1.8305634148418903,1.8326548859477043,10,30,336.125,406.0,success,
compile-model-small-ctx512-compiled-forward-backward-bf16,model,compiled,small-ctx512,forward_backward,bf16,26305.793471634388,19.615529850125313,19.65987030416727,19.71948202699423,10,30,1314.375,1414.0,success,
compile-model-small-ctx512-compiled-forward-bf16,model,compiled,small-ctx512,forward,bf16,23564.636504277587,6.019659340381622,6.028832867741585,6.036410480737686,10,30,1188.7783203125,1206.0,success,
compile-model-small-ctx512-compiled-train-step-bf16,model,compiled,small-ctx512,train_step,bf16,17614.540099166334,31.027780659496784,31.079143285751343,31.149191968142986,10,30,2526.62451171875,2730.0,success,
compile-model-small-ctx512-eager-forward-backward-bf16,model,eager,small-ctx512,forward_backward,bf16,576.7398960888386,40.84991943091154,41.74939263612032,42.544530145823956,10,30,1451.1015625,1520.0,success,
compile-model-small-ctx512-eager-forward-bf16,model,eager,small-ctx512,forward,bf16,510.84750797599554,14.346260577440262,14.413185883313417,14.585874788463116,10,30,1374.7236328125,1388.0,success,
compile-model-small-ctx512-eager-train-step-bf16,model,eager,small-ctx512,train_step,bf16,472.27624990046024,52.589171566069126,52.74751875549555,52.921815402805805,10,30,2537.37451171875,2728.0,success,
