record_type,phase,block_index,allocation_calls,requested_mib,largest_request_mib
phase,forward,,1529,5662.144,64.000
phase,backward,,1428,13190.148,100.000
phase,optimizer,,267,26682.000,100.000
transformer_block_forward,forward,0,1000,276.141,64.000
transformer_block_forward,forward,1,9,180.000,20.000
transformer_block_forward,forward,2,8,160.000,20.000
transformer_block_forward,forward,3,9,180.000,20.000
transformer_block_forward,forward,4,8,160.000,20.000
transformer_block_forward,forward,5,9,180.000,20.000
transformer_block_forward,forward,6,9,162.000,20.000
transformer_block_forward,forward,7,9,180.000,20.000
transformer_block_forward,forward,8,8,160.000,20.000
transformer_block_forward,forward,9,9,180.000,20.000
transformer_block_forward,forward,10,8,160.000,20.000
transformer_block_forward,forward,11,9,180.000,20.000
transformer_block_forward,forward,12,8,160.000,20.000
transformer_block_forward,forward,13,9,180.000,20.000
transformer_block_forward,forward,14,8,160.000,20.000
transformer_block_forward,forward,15,9,180.000,20.000
transformer_block_forward,forward,16,9,162.000,20.000
transformer_block_forward,forward,17,9,180.000,20.000
transformer_block_forward,forward,18,8,160.000,20.000
transformer_block_forward,forward,19,9,180.000,20.000
transformer_block_forward,forward,20,8,160.000,20.000
transformer_block_forward,forward,21,9,180.000,20.000
transformer_block_forward,forward,22,8,160.000,20.000
transformer_block_forward,forward,23,9,180.000,20.000
transformer_block_forward,forward,24,8,160.000,20.000
transformer_block_forward,forward,25,10,182.000,20.000
transformer_block_forward,forward,26,8,160.000,20.000
transformer_block_forward,forward,27,9,180.000,20.000
transformer_block_forward,forward,28,8,160.000,20.000
transformer_block_forward,forward,29,9,180.000,20.000
transformer_block_forward,forward,30,8,160.000,20.000
transformer_block_forward,forward,31,9,180.000,20.000
