run_name,model_size,context_length,mode,dtype,tool,record_type,phase_range,name,calls,range_total_ms,cpu_total_ms,cuda_total_ms,time_percent
small_ctx256_train_step_fp32,small,256,train_step,fp32,Nsight Systems,nvtx_range,profile/measure,profile/measure,1,137.211212,,,20.6
small_ctx256_train_step_fp32,small,256,train_step,fp32,Nsight Systems,nvtx_range,measurement/step_1,measurement/step_1,1,137.125562,,,20.5
small_ctx256_train_step_fp32,small,256,train_step,fp32,Nsight Systems,nvtx_range,backward,backward,1,67.179833,,,10.1
small_ctx256_train_step_fp32,small,256,train_step,fp32,Nsight Systems,nvtx_range,forward,forward,1,36.799969,,,5.5
small_ctx256_train_step_fp32,small,256,train_step,fp32,Nsight Systems,nvtx_range,optimizer,optimizer,1,31.803747,,,4.8
small_ctx256_train_step_fp32,small,256,train_step,fp32,Nsight Systems,nvtx_range,attention/scores,attention/scores,12,3.262836,,,0.5
small_ctx256_train_step_fp32,small,256,train_step,fp32,Nsight Systems,nvtx_range,attention/value,attention/value,12,2.306776,,,0.3
small_ctx256_train_step_fp32,small,256,train_step,fp32,Nsight Systems,nvtx_range,attention/softmax,attention/softmax,12,1.538036,,,0.2
small_ctx256_train_step_fp32,small,256,train_step,fp32,Nsight Systems,cuda_api,profile/measure,cudaLaunchKernel,3376,,14.242805,,85.4
small_ctx256_train_step_fp32,small,256,train_step,fp32,Nsight Systems,cuda_api,profile/measure,cudaLaunchKernelExC_v11060,195,,1.072329,,6.4
small_ctx256_train_step_fp32,small,256,train_step,fp32,Nsight Systems,cuda_api,profile/measure,cuLaunchKernel,132,,0.608556,,3.6
small_ctx256_train_step_fp32,small,256,train_step,fp32,Nsight Systems,cuda_api,profile/measure,cudaMemcpyAsync,25,,0.331456,,2.0
small_ctx256_train_step_fp32,small,256,train_step,fp32,Nsight Systems,cuda_api,profile/measure,cudaMemsetAsync,38,,0.229410,,1.4
small_ctx256_train_step_fp32,small,256,train_step,fp32,Nsight Systems,cuda_api,profile/measure,cudaDeviceSynchronize,10,,0.117825,,0.7
small_ctx256_train_step_fp32,small,256,train_step,fp32,Nsight Systems,cuda_api,profile/measure,cuKernelGetFunction,132,,0.079827,,0.5
small_ctx256_train_step_fp32,small,256,train_step,fp32,Nsight Systems,cuda_kernel,profile/measure,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, std::array<char *, (unsigned…",716,,,2.935201,13.2
small_ctx256_train_step_fp32,small,256,train_step,fp32,Nsight Systems,cuda_kernel,profile/measure,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<float>, std::array<char *, (unsigned long)3>>(int, T2, T3)",675,,,2.777408,12.5
