implementation,batch_size,sequence_length,head_dim,dtype,is_causal,phase,seed,formal,warmup_ms,rep_ms,timer,measurement_sample_count,measurement_duration_ms,p20_ms,p50_ms,p80_ms,peak_allocated_mib,peak_reserved_mib,allocator_limit_mib,allocator_fraction,status,error_kind,reason
eager_explicit_pytorch,1,512,64,bfloat16,True,forward,0,True,100,300,triton.testing.do_bench,192,60.709,0.293888,0.299008,0.340787,267.375,280.0,23552,0.9768130292889415,success,,
eager_explicit_pytorch,1,512,64,bfloat16,True,backward,0,True,100,300,triton.testing.do_bench,430,196.6378,0.45056,0.453632,0.461824,277.375,282.0,23552,0.9768130292889415,success,,
eager_explicit_pytorch,1,512,64,bfloat16,True,forward_backward,0,True,100,300,triton.testing.do_bench,199,606.6903,3.049677,3.078144,3.085721,276.875,282.0,23552,0.9768130292889415,success,,
eager_explicit_pytorch,1,512,128,bfloat16,True,forward,0,True,100,300,triton.testing.do_bench,414,202.7828,0.484352,0.487424,0.493978,275.75,280.0,23552,0.9768130292889415,success,,
eager_explicit_pytorch,1,512,128,bfloat16,True,backward,0,True,100,300,triton.testing.do_bench,280,192.7599,0.68096,0.684032,0.697549,277.75,282.0,23552,0.9768130292889415,success,,
eager_explicit_pytorch,1,512,128,bfloat16,True,forward_backward,0,True,100,300,triton.testing.do_bench,141,433.3107,3.058688,3.075072,3.084288,277.25,282.0,23552,0.9768130292889415,success,,
eager_explicit_pytorch,1,2048,64,bfloat16,True,forward,0,True,100,300,triton.testing.do_bench,413,204.9743,0.490496,0.492544,0.503808,321.25,330.0,23552,0.9768130292889415,success,,
eager_explicit_pytorch,1,2048,64,bfloat16,True,backward,0,True,100,300,triton.testing.do_bench,310,212.6767,0.679936,0.681984,0.695296,349.75,362.0,23552,0.9768130292889415,success,,
eager_explicit_pytorch,1,2048,64,bfloat16,True,forward_backward,0,True,100,300,triton.testing.do_bench,129,394.4858,3.045376,3.058688,3.070976,341.75,362.0,23552,0.9768130292889415,success,,
eager_explicit_pytorch,1,2048,128,bfloat16,True,forward,0,True,100,300,triton.testing.do_bench,420,205.3007,0.482304,0.484352,0.494598,322.25,332.0,23552,0.9768130292889415,success,,
eager_explicit_pytorch,1,2048,128,bfloat16,True,backward,0,True,100,300,triton.testing.do_bench,274,187.5034,0.672768,0.674816,0.690189,351.25,364.0,23552,0.9768130292889415,success,,
eager_explicit_pytorch,1,2048,128,bfloat16,True,forward_backward,0,True,100,300,triton.testing.do_bench,148,449.0076,3.021824,3.035648,3.0464,343.25,364.0,23552,0.9768130292889415,success,,
eager_explicit_pytorch,1,8192,64,bfloat16,True,forward,0,True,100,300,triton.testing.do_bench,103,273.1377,2.649088,2.651136,2.654208,1044.25,1050.0,23552,0.9768130292889415,success,,
eager_explicit_pytorch,1,8192,64,bfloat16,True,backward,0,True,100,300,triton.testing.do_bench,67,281.9326,4.206592,4.207616,4.209664,1494.25,1564.0,23552,0.9768130292889415,success,,
eager_explicit_pytorch,1,8192,64,bfloat16,True,forward_backward,0,True,100,300,triton.testing.do_bench,42,284.5377,6.771712,6.774784,6.776832,1366.25,1564.0,23552,0.9768130292889415,success,,
eager_explicit_pytorch,1,8192,128,bfloat16,True,forward,0,True,100,300,triton.testing.do_bench,102,273.1796,2.675712,2.67776,2.679808,1048.25,1066.0,23552,0.9768130292889415,success,,
eager_explicit_pytorch,1,8192,128,bfloat16,True,backward,0,True,100,300,triton.testing.do_bench,66,279.9441,4.23936,4.241408,4.243456,1500.25,1578.0,23552,0.9768130292889415,success,,
eager_explicit_pytorch,1,8192,128,bfloat16,True,forward_backward,0,True,100,300,triton.testing.do_bench,42,287.5033,6.841549,6.84544,6.849331,1372.25,1578.0,23552,0.9768130292889415,success,,
