implementation,workload,phase,batch_size,sequence_length,head_dim,num_heads,dtype,is_causal,seed,formal,model_config,compile_backend,cold_start_ms_wall,cold_start_scope,cold_start_status,warmup_ms,rep_ms,timer,measurement_sample_count,measurement_duration_ms,p20_ms,p50_ms,p80_ms,peak_allocated_mib,peak_reserved_mib,allocator_limit_mib,allocator_fraction,status,error_kind,reason
eager,attention,forward,1,512,64,1,bfloat16,True,0,True,,,,,not_applicable,100,300,triton.testing.do_bench,154,84.3806,0.487014,0.60416,0.620954,267.375,280.0,23552,0.9768130292889415,success,,
eager,attention,backward,1,512,64,1,bfloat16,True,0,True,,,,,not_applicable,100,300,triton.testing.do_bench,319,196.0365,0.490029,0.649216,0.674816,277.375,282.0,23552,0.9768130292889415,success,,
eager,attention,forward_backward,1,512,64,1,bfloat16,True,0,True,,,,,not_applicable,100,300,triton.testing.do_bench,161,231.5357,1.334272,1.405952,1.529856,276.875,282.0,23552,0.9768130292889415,success,,
compiled,attention,forward,1,512,64,1,bfloat16,True,0,True,,inductor_default,8603.635596,first_phase_invocation_after_setup,success,100,300,triton.testing.do_bench,766,101.1424,0.124928,0.130048,0.136192,273.566,278.0,23552,0.9768130292889415,success,,
compiled,attention,backward,1,512,64,1,bfloat16,True,0,True,,inductor_default,461.900525,first_phase_invocation_after_setup,success,100,300,triton.testing.do_bench,604,151.7498,0.246784,0.248832,0.252928,274.254,280.0,23552,0.9768130292889415,success,,
compiled,attention,forward_backward,1,512,64,1,bfloat16,True,0,True,,inductor_default,1.326479,first_phase_invocation_after_setup,success,100,300,triton.testing.do_bench,354,710.6273,2.030182,2.056192,2.079744,273.629,278.0,23552,0.9768130292889415,success,,
eager,attention,forward,1,2048,128,1,bfloat16,True,0,True,,,,,not_applicable,100,300,triton.testing.do_bench,418,209.9456,0.494592,0.50176,0.505856,322.25,332.0,23552,0.9768130292889415,success,,
eager,attention,backward,1,2048,128,1,bfloat16,True,0,True,,,,,not_applicable,100,300,triton.testing.do_bench,422,193.9172,0.453632,0.45568,0.463872,351.25,364.0,23552,0.9768130292889415,success,,
eager,attention,forward_backward,1,2048,128,1,bfloat16,True,0,True,,,,,not_applicable,100,300,triton.testing.do_bench,191,585.0041,3.067904,3.098624,3.11296,343.25,364.0,23552,0.9768130292889415,success,,
compiled,attention,forward,1,2048,128,1,bfloat16,True,0,True,,inductor_default,2488.771793,first_phase_invocation_after_setup,success,100,300,triton.testing.do_bench,647,148.1771,0.224256,0.227328,0.232448,290.766,300.0,23552,0.9768130292889415,success,,
compiled,attention,backward,1,2048,128,1,bfloat16,True,0,True,,inductor_default,0.966232,first_phase_invocation_after_setup,success,100,300,triton.testing.do_bench,455,120.0735,0.257024,0.260096,0.27136,300.266,322.0,23552,0.9768130292889415,success,,
compiled,attention,forward_backward,1,2048,128,1,bfloat16,True,0,True,,inductor_default,1.795366,first_phase_invocation_after_setup,success,100,300,triton.testing.do_bench,320,648.697,1.616691,2.284032,2.328576,291.266,302.0,23552,0.9768130292889415,success,,
eager,attention,forward,1,8192,128,1,bfloat16,True,0,True,,,,,not_applicable,100,300,triton.testing.do_bench,102,273.3691,2.67776,2.679808,2.68288,1048.25,1066.0,23552,0.9768130292889415,success,,
eager,attention,backward,1,8192,128,1,bfloat16,True,0,True,,,,,not_applicable,100,300,triton.testing.do_bench,66,279.9523,4.23936,4.241408,4.243456,1500.25,1578.0,23552,0.9768130292889415,success,,
eager,attention,forward_backward,1,8192,128,1,bfloat16,True,0,True,,,,,not_applicable,100,300,triton.testing.do_bench,42,287.5331,6.842368,6.846464,6.849536,1372.25,1578.0,23552,0.9768130292889415,success,,
compiled,attention,forward,1,8192,128,1,bfloat16,True,0,True,,inductor_default,1.418013,first_phase_invocation_after_setup,success,100,300,triton.testing.do_bench,326,218.5651,0.668672,0.67072,0.672768,538.312,554.0,23552,0.9768130292889415,success,,
compiled,attention,backward,1,8192,128,1,bfloat16,True,0,True,,inductor_default,1.468334,first_phase_invocation_after_setup,success,100,300,triton.testing.do_bench,219,245.6933,1.120256,1.122304,1.123328,672.312,682.0,23552,0.9768130292889415,success,,
compiled,attention,forward_backward,1,8192,128,1,bfloat16,True,0,True,,inductor_default,2.551116,first_phase_invocation_after_setup,success,100,300,triton.testing.do_bench,152,261.3708,1.716429,1.719296,1.722368,540.312,554.0,23552,0.9768130292889415,success,,
eager,stanford_small_model,forward,1,512,64,12,bfloat16,,0,True,"{""context_length"":512,""d_ff"":3072,""d_model"":768,""num_heads"":12,""num_layers"":12,""rope_theta"":10000.0,""vocab_size"":10000}",,,,not_applicable,100,300,triton.testing.do_bench,7,295.9452,42.044827,42.142719,42.217678,1595.509,1638.0,23552,0.9768130292889415,success,,
eager,stanford_small_model,forward_backward,1,512,64,12,bfloat16,,0,True,"{""context_length"":512,""d_ff"":3072,""d_model"":768,""num_heads"":12,""num_layers"":12,""rope_theta"":10000.0,""vocab_size"":10000}",,,,not_applicable,100,300,triton.testing.do_bench,2,217.4065,108.688794,108.703232,108.71767,1654.113,1748.0,23552,0.9768130292889415,success,,
eager,stanford_small_model,training_step,1,512,64,12,bfloat16,,0,True,"{""context_length"":512,""d_ff"":3072,""d_model"":768,""num_heads"":12,""num_layers"":12,""rope_theta"":10000.0,""vocab_size"":10000}",,,,not_applicable,100,300,triton.testing.do_bench,2,221.9848,110.967807,110.992382,111.016957,2763.386,3098.0,23552,0.9768130292889415,success,,
compiled,stanford_small_model,forward,1,512,64,12,bfloat16,,0,True,"{""context_length"":512,""d_ff"":3072,""d_model"":768,""num_heads"":12,""num_layers"":12,""rope_theta"":10000.0,""vocab_size"":10000}",inductor_default,27254.992705,first_phase_invocation_after_setup,success,100,300,triton.testing.do_bench,25,275.4139,10.917671,10.966016,10.995507,1378.399,1462.0,23552,0.9768130292889415,success,,
compiled,stanford_small_model,forward_backward,1,512,64,12,bfloat16,,0,True,"{""context_length"":512,""d_ff"":3072,""d_model"":768,""num_heads"":12,""num_layers"":12,""rope_theta"":10000.0,""vocab_size"":10000}",inductor_default,12237.221451,first_phase_invocation_after_setup,success,100,300,triton.testing.do_bench,9,275.6577,30.183219,30.294016,30.773862,1422.113,1650.0,23552,0.9768130292889415,success,,
compiled,stanford_small_model,training_step,1,512,64,12,bfloat16,,0,True,"{""context_length"":512,""d_ff"":3072,""d_model"":768,""num_heads"":12,""num_layers"":12,""rope_theta"":10000.0,""vocab_size"":10000}",inductor_default,73.724343,first_phase_invocation_after_setup,success,100,300,triton.testing.do_bench,8,289.4234,33.050829,35.39712,39.63392,2746.011,3074.0,23552,0.9768130292889415,success,,
