batch_size,sequence_length,head_dim,dtype,is_causal,phase,warmup_ms,rep_ms,p20_ms,p50_ms,p80_ms,peak_allocated_mib,peak_reserved_mib,status,error_type
1,512,64,bfloat16,True,forward,100,300,0.026623999699950218,0.026623999699950218,0.027488000690937042,9.6953125,278.0,ok,
1,512,64,bfloat16,True,backward,100,300,0.032896000891923904,0.03379200026392937,0.03379200026392937,18.875,280.0,ok,
1,512,64,bfloat16,True,forward_backward,100,300,0.1894720047712326,0.193743996322155,0.20191360116004944,18.875,280.0,ok,
1,512,128,bfloat16,True,forward,100,300,0.025599999353289604,0.026464000344276428,0.026623999699950218,18.1328125,278.0,ok,
1,512,128,bfloat16,True,backward,100,300,0.035840000957250595,0.03686400130391121,0.03686400130391121,19.25,280.0,ok,
1,512,128,bfloat16,True,forward_backward,100,300,0.1945600062608719,0.19846400618553162,0.2035199999809265,19.25,280.0,ok,
1,2048,64,bfloat16,True,forward,100,300,0.07372800260782242,0.07372800260782242,0.07475200295448303,37.53125,298.0,ok,
1,2048,64,bfloat16,True,backward,100,300,0.09011200070381165,0.09113600105047226,0.09216000139713287,53.75,320.0,ok,
1,2048,64,bfloat16,True,forward_backward,100,300,0.20419840514659882,0.24883200228214264,0.27238398790359497,53.75,320.0,ok,
1,2048,128,bfloat16,True,forward,100,300,0.07884799689054489,0.07884799689054489,0.0798719972372055,38.78125,300.0,ok,
1,2048,128,bfloat16,True,backward,100,300,0.10444799810647964,0.10444799810647964,0.10547199845314026,55.25,322.0,ok,
1,2048,128,bfloat16,True,forward_backward,100,300,0.187391996383667,0.18943999707698822,0.19353599846363068,55.25,324.0,ok,
1,8192,64,bfloat16,True,forward,100,300,1.6240639686584473,1.6250879764556885,1.6261119842529297,341.375,666.0,ok,
1,8192,64,bfloat16,True,backward,100,300,2.4003711223602293,2.402240037918091,2.4033279418945312,598.25,926.0,ok,
1,8192,64,bfloat16,True,forward_backward,100,300,3.941375970840454,3.9434239864349365,3.9444479942321777,598.25,926.0,ok,
1,8192,128,bfloat16,True,forward,100,300,1.6476160287857056,1.6506880521774292,1.6537599563598633,346.375,688.0,ok,
1,8192,128,bfloat16,True,backward,100,300,2.436095952987671,2.4381439685821533,2.4401919841766357,604.25,938.0,ok,
1,8192,128,bfloat16,True,forward_backward,100,300,4.017151832580566,4.020175933837891,4.022412872314453,604.25,938.0,ok,
