kind,workload,sequence_length,head_dim,implementation,cold_compile_ms,cold_start_context,steady_p20_ms,steady_p50_ms,steady_p80_ms,peak_allocated_mib,peak_reserved_mib,status,error_type
attention,forward_backward,512,64,eager,,,0.187391996383667,0.1913599967956543,0.19763199985027313,18.875,280.0,ok,
attention,forward_backward,512,64,compiled,2731.4062118530273,fresh_process_and_empty_inductor_cache,0.11161600053310394,0.1228799968957901,0.1443839967250824,17.625,280.0,ok,
attention,forward_backward,2048,128,eager,,,0.18943999707698822,0.20070399343967438,0.22323200106620789,55.25,342.0,ok,
attention,forward_backward,2048,128,compiled,2904.565818607807,fresh_process_and_empty_inductor_cache,0.12083200365304947,0.13209599256515503,0.19148799777030945,35.25,342.0,ok,
attention,forward_backward,8192,128,eager,,,4.0120320320129395,4.015471935272217,4.042751789093018,604.25,918.0,ok,
attention,forward_backward,8192,128,compiled,2837.9416838288307,fresh_process_and_empty_inductor_cache,1.640447974205017,1.6435199975967407,1.6537599563598633,284.25,918.0,ok,
small_model,forward,512,,eager,,,13.191782569885255,13.286384105682373,13.387142753601074,775.7333984375,1068.0,ok,
small_model,forward,512,,compiled,17334.336813539267,fresh_process_and_empty_inductor_cache,3.1047680377960205,3.1191039085388184,3.1381888389587402,526.8310546875,1068.0,ok,
small_model,forward_backward,512,,eager,,,45.30691146850586,45.9127197265625,45.988033294677734,1397.4921875,1756.0,ok,
small_model,forward_backward,512,,compiled,29307.86407738924,fresh_process_and_empty_inductor_cache,14.463846206665039,14.523391723632812,14.588108634948728,1172.13916015625,1756.0,ok,
small_model,full_training_step,512,,eager,,,47.57708740234375,48.39423942565918,48.95334243774414,2505.89013671875,3116.0,ok,
small_model,full_training_step,512,,compiled,27784.664556384087,fresh_process_and_empty_inductor_cache,20.009369659423825,20.00998306274414,20.017049407958986,2505.67138671875,3116.0,ok,
