model_size,batch_size,context_length,dtype,tool,event_type,name,calls,cpu_total_us,cpu_self_us,cuda_total_us,cuda_self_us
small,1,256,fp32,torch.profiler,range,forward,1,0.0,0.0,26421.292999999998,26421.292999999998
small,1,256,fp32,torch.profiler,range,profile/measure,1,80451.56,81.65599999998813,13860.533999999956,0.0
small,1,256,fp32,torch.profiler,range,optimizer,1,4012.798999999999,90.6929999999993,11192.910999999978,0.0
small,1,256,fp32,torch.profiler,range,attention/softmax,12,0.0,0.0,731.3349999999982,731.3349999999982
small,1,256,fp32,torch.profiler,range,attention/scores,12,0.0,0.0,431.96899999999914,431.96899999999914
small,1,256,fp32,torch.profiler,range,attention/value,12,0.0,0.0,71.07199999999648,71.07199999999648
small,1,256,fp32,torch.profiler,range,backward,1,0.0,0.0,0.8950000000004366,0.8950000000004366
small,1,256,fp32,torch.profiler,range,profile/warmup,1,2266.202,99.47199999999975,0.0,0.0
small,1,256,fp32,torch.profiler,cuda_kernel,Optimizer.step#AdamW.step,1,0.0,0.0,11229.518000000011,11229.518000000011
small,1,256,fp32,torch.profiler,torch_op,Optimizer.step#AdamW.step,1,3913.7880000000005,1401.8830000000744,11192.910999999978,0.0
small,1,256,fp32,torch.profiler,torch_op,aten::bmm,327,7684.154000000011,5576.87500000012,5081.561000000032,5081.561000000032
small,1,256,fp32,torch.profiler,torch_op,autograd::engine::evaluate_function: BmmBackward0,109,7080.958999999941,805.0219999999972,3340.8480000000345,0.0
small,1,256,fp32,torch.profiler,torch_op,BmmBackward0,109,6275.9369999999435,684.1680000000488,3340.8480000000345,0.0
small,1,256,fp32,torch.profiler,torch_op,aten::_foreach_mul_,2,394.8500000000058,289.30800000009185,2248.4909999999654,2248.4909999999654
small,1,256,fp32,torch.profiler,cuda_kernel,"void at::native::(anonymous namespace)::multi_tensor_apply_kernel<at::native::(anonymous namespace)::TensorListMetadata<1>, at::native::(anonymous namespace)::BinaryOpScalarFunctor<float, 1, 1, 0>, std::multiplies<float>, float>(at::native::(anonymous namespace)::TensorListMetadata<1>, at::native::(anonymous namespace)::BinaryOpScalarFunctor<float, 1, 1, 0>, std::multiplies<float>, float)",14,0.0,0.0,2248.4909999999654,2248.4909999999654
small,1,256,fp32,torch.profiler,torch_op,aten::_foreach_addcdiv_,1,271.61299999999756,223.88100000002305,2199.9130000000005,2199.9130000000005
small,1,256,fp32,torch.profiler,cuda_kernel,"void at::native::(anonymous namespace)::multi_tensor_apply_kernel<at::native::(anonymous namespace)::TensorListScalarListMetadata<float, 3>, at::native::(anonymous namespace)::PointwiseOpScalarListFunctor<float, 3, 3, 0>, std::divides<float> >(at::native::(anonymous namespace)::TensorListScalarListMetadata<float, 3>, at::native::(anonymous namespace)::PointwiseOpScalarListFunctor<float, 3, 3, 0>, std::divides<float>)",7,0.0,0.0,2199.9130000000005,2199.9130000000005
small,1,256,fp32,torch.profiler,torch_op,aten::copy_,183,2101.3980000000474,999.6970000001193,2068.586000000002,2068.586000000002
small,1,256,fp32,torch.profiler,cuda_kernel,"void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1} const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1} const&)::{lambda(int)#1})",157,0.0,0.0,2013.3830000000044,2013.3830000000044
small,1,256,fp32,torch.profiler,torch_op,autograd::engine::evaluate_function: torch::autograd::AccumulateGrad,111,2473.3940000000475,455.23300000008385,1873.478999999992,0.0
