case_id,status,implementation,dtype,batch_size,causal,sequence_length,head_dimension,compile_cold_start_ms,forward_status,forward_mean_ms,forward_std_ms,forward_p20_ms,forward_p50_ms,forward_p80_ms,backward_status,backward_mean_ms,backward_std_ms,backward_p20_ms,backward_p50_ms,backward_p80_ms,forward_backward_status,forward_backward_mean_ms,forward_backward_p20_ms,forward_backward_p50_ms,forward_backward_p80_ms,memory_before_backward_mib,forward_peak_allocated_mib,backward_peak_allocated_mib,forward_backward_peak_allocated_mib,forward_peak_reserved_mib,backward_peak_reserved_mib,forward_backward_peak_reserved_mib,scores_plus_probabilities_mib,gpu,error
eager-bf16-s512-d64-causal,passed,eager,bf16,1,True,512,64,,passed,0.23422435427392363,0.07196619645380613,0.22835199534893036,0.22939199954271317,0.23449599742889404,passed,0.4550997327764829,0.011204232768397571,0.44441598653793335,0.4567039906978607,0.4618239998817444,passed,2.3840314775216775,2.3695359230041504,2.380288004875183,2.3941121101379395,9.6923828125,10.3837890625,20.3798828125,19.8798828125,24.0,26.0,26.0,1.0,NVIDIA GeForce RTX 4090,
eager-bf16-s512-d128-causal,passed,eager,bf16,1,True,512,128,,passed,0.2392455077332139,0.008825480963645015,0.23347200453281403,0.23552000522613525,0.24371199309825897,passed,0.46052263161987317,0.011606775557720736,0.45158401131629944,0.4556800127029419,0.4689919948577881,passed,2.411977509821742,2.3951361179351807,2.406399965286255,2.4248321056365967,10.0048828125,10.6337890625,20.7548828125,20.2548828125,24.0,26.0,26.0,1.0,NVIDIA GeForce RTX 4090,
eager-bf16-s2048-d64-causal,passed,eager,bf16,1,True,2048,64,,passed,0.23822502789294553,0.008110732368883813,0.23244799673557281,0.23448000103235245,0.2457599937915802,passed,0.46979699602053465,0.012699484805745896,0.45875200629234314,0.46694400906562805,0.4782080054283142,passed,0.8052669705776627,0.7864320278167725,0.7884799838066101,0.8048639893531799,29.39453125,41.16015625,77.76953125,69.76953125,62.0,104.0,104.0,16.0,NVIDIA GeForce RTX 4090,
eager-bf16-s2048-d128-causal,passed,eager,bf16,1,True,2048,128,,passed,0.23827363860834608,0.0051838989380316655,0.23552000522613525,0.23654399812221527,0.2385919988155365,passed,0.48141144308043116,0.016270426726372557,0.4628480076789856,0.48127999901771545,0.4935680031776428,passed,2.4623774199926554,2.4459264278411865,2.4596800804138184,2.476032018661499,30.64453125,42.16015625,79.26953125,71.26953125,64.0,106.0,106.0,16.0,NVIDIA GeForce RTX 4090,
eager-bf16-s8192-d64-causal,passed,eager,bf16,1,True,8192,64,,passed,2.2345133222135387,0.00944647073100701,2.2231167793273925,2.2374401092529297,2.240511894226074,passed,4.945566927800413,0.01900296355824981,4.930560111999512,4.95308780670166,4.957183837890625,passed,6.902620358900591,6.8976640701293945,6.9027838706970215,6.906879901885986,333.203125,524.265625,982.328125,854.328125,538.0,1056.0,1056.0,256.0,NVIDIA GeForce RTX 4090,
eager-bf16-s8192-d128-causal,passed,eager,bf16,1,True,8192,128,,passed,2.2570758841254492,0.0092628526478442,2.248703956604004,2.2523200511932373,2.2671360969543457,passed,4.986724813779195,0.018496315610825494,4.975411224365234,4.995071887969971,4.997094345092774,passed,6.989559794581214,6.985727787017822,6.989823818206787,6.993510341644287,338.203125,528.265625,988.328125,860.328125,534.0,1048.0,1048.0,256.0,NVIDIA GeForce RTX 4090,
compiled-bf16-s512-d64-causal,passed,compiled,bf16,1,True,512,64,2779.100683,passed,0.15272972004165772,0.0058448507410163875,0.14950400590896606,0.15052799880504608,0.15564799308776855,passed,0.4095577716010891,0.009336855602708286,0.40140798687934875,0.40755200386047363,0.41574400663375854,passed,0.6668811059163294,0.6481919884681702,0.6502400040626526,0.6727679967880249,9.443359375,8.9375,18.6318359375,18.1318359375,22.0,96.0,96.0,1.0,NVIDIA GeForce RTX 4090,
compiled-bf16-s512-d128-causal,passed,compiled,bf16,1,True,512,128,2807.207412,passed,0.15278374106038045,0.006070498823517695,0.14847999811172485,0.15052799880504608,0.15564799308776855,passed,0.41827920518861794,0.011845725326003064,0.40857601165771484,0.41676801443099976,0.4270080029964447,passed,0.6782629109324424,0.6533120274543762,0.6574079990386963,0.6830080151557922,9.755859375,9.25,19.0068359375,18.5068359375,22.0,96.0,96.0,1.0,NVIDIA GeForce RTX 4090,
compiled-bf16-s2048-d64-causal,passed,compiled,bf16,1,True,2048,64,2852.174543,passed,0.15071079567886014,0.006004342064511763,0.14643199741840363,0.14847999811172485,0.15360000729560852,passed,0.3894537514070506,0.0073256338144166155,0.3850240111351013,0.38707199692726135,0.3911679983139038,passed,0.6563910372943835,0.6481919884681702,0.6502400040626526,0.6594880223274231,25.3984375,17.375,49.77734375,41.77734375,22.0,156.0,156.0,16.0,NVIDIA GeForce RTX 4090,
compiled-bf16-s2048-d128-causal,passed,compiled,bf16,1,True,2048,128,2809.043005,passed,0.1445384518439305,0.00565367286990664,0.14131200313568115,0.14233599603176117,0.14745600521564484,passed,0.3914186746171377,0.00802509591926718,0.38707199692726135,0.3891200125217438,0.39321601390838623,passed,0.6589040372469653,0.6492159962654114,0.6512640118598938,0.6615039706230164,26.6484375,18.625,51.27734375,43.27734375,24.0,158.0,158.0,16.0,NVIDIA GeForce RTX 4090,
compiled-bf16-s8192-d64-causal,passed,compiled,bf16,1,True,8192,64,3626.371289,passed,0.6090315967297354,0.003982764167993403,0.6062080264091492,0.6082559823989868,0.6113280057907104,passed,2.1317904693109018,0.07964369589339845,2.117427110671997,2.160640001296997,2.1678080558776855,passed,2.616085246600936,2.585395097732544,2.6265599727630615,2.659327983856201,269.21875,141.125,534.359375,406.359375,226.0,616.0,616.0,256.0,NVIDIA GeForce RTX 4090,
compiled-bf16-s8192-d128-causal,passed,compiled,bf16,1,True,8192,128,3792.044806,passed,0.6474464280264718,0.006424336816221838,0.6430720090866089,0.6461439728736877,0.6502400040626526,passed,1.8616633850073665,0.003920291631482532,1.8595839738845825,1.8606079816818237,1.8636800050735474,passed,2.4343055173998973,2.430975914001465,2.4330239295959473,2.437119960784912,274.21875,146.125,540.359375,412.359375,222.0,680.0,680.0,256.0,NVIDIA GeForce RTX 4090,
