case_id,model_size,context_length,mode,dtype,tool,status,trace_file,kind,stage,op_or_kernel,calls,total_cpu_time,total_cuda_time
medium-s1024-train_step,medium,1024,train_step,fp32,nsys,oom,trace.nsys-rep (private),kernel,,ampere_sgemm_128x64_tn,150,,73.958324
medium-s1024-train_step,medium,1024,train_step,fp32,nsys,oom,trace.nsys-rep (private),kernel,,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, std::array<char *, (unsigned long)2>>(int, T2, T3)",22,,12.543904
medium-s1024-train_step,medium,1024,train_step,fp32,nsys,oom,trace.nsys-rep (private),kernel,,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::exp_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(float) (instance 1)], std::array<char *, (unsigned long)2>>(int, T2, T3)",22,,12.477218
medium-s1024-train_step,medium,1024,train_step,fp32,nsys,oom,trace.nsys-rep (private),kernel,,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<float>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)",22,,11.464001
medium-s1024-train_step,medium,1024,train_step,fp32,nsys,oom,trace.nsys-rep (private),kernel,,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::DivFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)",21,,11.014627
medium-s1024-train_step,medium,1024,train_step,fp32,nsys,oom,trace.nsys-rep (private),kernel,,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::<unnamed>::where_kernel_impl(at::TensorIterator &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 11)]::operator ()() const::[lambda(bool, float, float) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)",22,,9.532836
medium-s1024-train_step,medium,1024,train_step,fp32,nsys,oom,trace.nsys-rep (private),kernel,,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, std::array<char *, (unsigned long)3>>(int, T2, T3)",42,,8.854880
medium-s1024-train_step,medium,1024,train_step,fp32,nsys,oom,trace.nsys-rep (private),kernel,,ampere_sgemm_128x128_nn,21,,8.183840
medium-s1024-train_step,medium,1024,train_step,fp32,nsys,oom,trace.nsys-rep (private),kernel,,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::MaxOps<float>, unsigned int, float, (int)4, (int)4>>(T3)",22,,7.334690
medium-s1024-train_step,medium,1024,train_step,fp32,nsys,oom,trace.nsys-rep (private),kernel,,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::func_wrapper_t<float, at::native::sum_functor<float, float, float>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, float, (int)4, (int)4>>(T3)",22,,7.267332
medium-s256-train_step,medium,256,train_step,fp32,nsys,passed,trace.nsys-rep (private),kernel,,ampere_sgemm_128x64_tn,1014,,137.016702
medium-s256-train_step,medium,256,train_step,fp32,nsys,passed,trace.nsys-rep (private),kernel,,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, std::array<char *, (unsigned long)2>>(int, T2, T3)",8642,,88.586786
medium-s256-train_step,medium,256,train_step,fp32,nsys,passed,trace.nsys-rep (private),kernel,,void cutlass::Kernel2<cutlass_80_simt_sgemm_256x128_8x4_nn_align1>(T1::Params),438,,84.219227
medium-s256-train_step,medium,256,train_step,fp32,nsys,passed,trace.nsys-rep (private),kernel,,void cutlass::Kernel2<cutlass_80_simt_sgemm_128x256_8x4_nt_align1>(T1::Params),438,,67.980461
medium-s256-train_step,medium,256,train_step,fp32,nsys,passed,trace.nsys-rep (private),kernel,,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<float>, std::array<char *, (unsigned long)3>>(int, T2, T3)",8010,,60.459719
medium-s256-train_step,medium,256,train_step,fp32,nsys,passed,trace.nsys-rep (private),kernel,,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)",2166,,41.310555
medium-s256-train_step,medium,256,train_step,fp32,nsys,passed,trace.nsys-rep (private),kernel,,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, std::array<char *, (unsigned long)3>>(int, T2, T3)",2328,,36.134439
medium-s256-train_step,medium,256,train_step,fp32,nsys,passed,trace.nsys-rep (private),kernel,,void cutlass::Kernel2<cutlass_80_simt_sgemm_64x64_8x5_nt_align1>(T1::Params),576,,31.848114
medium-s256-train_step,medium,256,train_step,fp32,nsys,passed,trace.nsys-rep (private),kernel,,void cutlass::Kernel2<cutlass_80_simt_sgemm_128x64_8x5_nn_align1>(T1::Params),576,,28.209339
medium-s256-train_step,medium,256,train_step,fp32,nsys,passed,trace.nsys-rep (private),kernel,,"void at::native::vectorized_elementwise_kernel<(int)4, void at::native::<unnamed>::pow_tensor_scalar_kernel_impl<float, float>(at::TensorIteratorBase &, T2)::[lambda(float) (instance 1)], std::array<char *, (unsigned long)2>>(int, T2, T3)",1608,,15.567471
medium-s256-train_step,medium,256,train_step,fp32,nsys,passed,trace.nsys-rep (private),cuda_api,,cudaLaunchKernel,41984,630.794246,
medium-s256-train_step,medium,256,train_step,fp32,nsys,passed,trace.nsys-rep (private),cuda_api,,cudaMalloc,498,60.102149,
medium-s256-train_step,medium,256,train_step,fp32,nsys,passed,trace.nsys-rep (private),cuda_api,,cuLibraryLoadData,4,18.441534,
medium-s256-train_step,medium,256,train_step,fp32,nsys,passed,trace.nsys-rep (private),cuda_api,,cudaMemsetAsync,2328,14.242513,
