target,implementation,sequence_length,head_dim,batch_size,dtype,is_causal,phase,seed,warmup_ms,rep_ms,quantiles,p20_ms,p50_ms,p80_ms,peak_allocated_mib,peak_reserved_mib,cold_start_ms,allocator_limit_mib,allocator_fraction,compile_backend,compile_mode,status,error
attention,eager,512,64,1,bfloat16,True,forward,42,100,300,0.2;0.5;0.8,0.0338,0.0358,0.0358,266.563,280.000,,23552,0.9768130292889415,,,ok,
attention,eager,512,64,1,bfloat16,True,backward,42,100,300,0.2;0.5;0.8,0.4823,0.4895,0.5036,276.380,282.000,,23552,0.9768130292889415,,,ok,
attention,eager,512,64,1,bfloat16,True,forward_backward,42,100,300,0.2;0.5;0.8,3.0915,3.1150,3.1232,275.880,280.000,,23552,0.9768130292889415,,,ok,
attention,eager,512,128,1,bfloat16,True,forward,42,100,300,0.2;0.5;0.8,0.0358,0.0379,0.0379,266.751,280.000,,23552,0.9768130292889415,,,ok,
attention,eager,512,128,1,bfloat16,True,backward,42,100,300,0.2;0.5;0.8,0.4874,0.4966,0.5079,276.755,282.000,,23552,0.9768130292889415,,,ok,
attention,eager,512,128,1,bfloat16,True,forward_backward,42,100,300,0.2;0.5;0.8,3.1529,3.1785,3.1917,276.255,282.000,,23552,0.9768130292889415,,,ok,
attention,eager,2048,64,1,bfloat16,True,forward,42,100,300,0.2;0.5;0.8,0.1055,0.1065,0.1075,300.879,318.000,,23552,0.9768130292889415,,,ok,
attention,eager,2048,64,1,bfloat16,True,backward,42,100,300,0.2;0.5;0.8,0.4911,0.4997,0.5194,333.770,360.000,,23552,0.9768130292889415,,,ok,
attention,eager,2048,64,1,bfloat16,True,forward_backward,42,100,300,0.2;0.5;0.8,3.0689,3.1119,3.1242,325.770,360.000,,23552,0.9768130292889415,,,ok,
attention,eager,2048,128,1,bfloat16,True,forward,42,100,300,0.2;0.5;0.8,0.1075,0.1116,0.1137,301.629,318.000,,23552,0.9768130292889415,,,ok,
attention,eager,2048,128,1,bfloat16,True,backward,42,100,300,0.2;0.5;0.8,0.4905,0.5100,0.5294,335.270,362.000,,23552,0.9768130292889415,,,ok,
attention,eager,2048,128,1,bfloat16,True,forward_backward,42,100,300,0.2;0.5;0.8,3.0945,3.1089,3.1187,327.270,362.000,,23552,0.9768130292889415,,,ok,
attention,eager,8192,64,1,bfloat16,True,forward,42,100,300,0.2;0.5;0.8,2.1330,2.1340,2.1445,843.141,900.000,,23552,0.9768130292889415,,,ok,
attention,eager,8192,64,1,bfloat16,True,backward,42,100,300,0.2;0.5;0.8,4.7186,4.7206,4.7266,1238.328,1290.000,,23552,0.9768130292889415,,,ok,
attention,eager,8192,64,1,bfloat16,True,forward_backward,42,100,300,0.2;0.5;0.8,6.7668,6.7697,6.7717,1110.328,1162.000,,23552,0.9768130292889415,,,ok,
attention,eager,8192,128,1,bfloat16,True,forward,42,100,300,0.2;0.5;0.8,2.1514,2.1535,2.1555,846.141,854.000,,23552,0.9768130292889415,,,ok,
attention,eager,8192,128,1,bfloat16,True,backward,42,100,300,0.2;0.5;0.8,4.7561,4.7626,4.7821,1244.328,1302.000,,23552,0.9768130292889415,,,ok,
attention,eager,8192,128,1,bfloat16,True,forward_backward,42,100,300,0.2;0.5;0.8,6.8375,6.8409,6.8444,1116.328,1174.000,,23552,0.9768130292889415,,,ok,
