config_id,model_size,num_layers,context_length,batch_size,dtype,checkpoint_block_size,nested,warmup_steps,measurement_steps,step_time_ms_samples,step_time_ms_p50,peak_allocated_mib,peak_reserved_mib,status
medium_k1024_none,medium,24,1024,1,fp32_params+bf16_autocast,,False,3,5,170.6302;156.9411;160.1688;157.4394;166.9484,160.1688,10068.470,10272.000,ok
medium_k1024_block1,medium,24,1024,1,fp32_params+bf16_autocast,1,False,3,5,263.8248;360.9107;275.4074;273.9782;276.9359,275.4074,6864.470,7058.000,ok
medium_k1024_block2,medium,24,1024,1,fp32_params+bf16_autocast,2,False,3,5,249.6383;255.3030;359.9936;247.7533;246.6288,249.6383,7005.063,7170.000,ok
medium_k1024_block4,medium,24,1024,1,fp32_params+bf16_autocast,4,False,3,5,234.2517;239.1845;332.6199;232.7910;251.6659,239.1845,7282.501,7380.000,ok
medium_k1024_block8,medium,24,1024,1,fp32_params+bf16_autocast,8,False,3,5,237.7499;336.4362;232.7365;237.5116;244.9122,237.7499,7839.251,7954.000,ok
medium_k2048_none,medium,24,2048,1,fp32_params+bf16_autocast,,False,3,5,373.3370;373.1252;373.4792;373.3858;373.3663,373.3663,19662.606,20192.000,ok
medium_k2048_block1,medium,24,2048,1,fp32_params+bf16_autocast,1,False,3,5,478.1949;559.8352;478.4065;478.1593;478.3783,478.3783,8061.677,8634.000,ok
medium_k2048_block2,medium,24,2048,1,fp32_params+bf16_autocast,2,False,3,5,478.1714;478.5409;514.2776;478.3629;478.2453,478.3629,8565.497,9148.000,ok
medium_k2048_block4,medium,24,2048,1,fp32_params+bf16_autocast,4,False,3,5,479.4577;479.6436;597.8381;479.9273;479.0666,479.6436,9575.325,10188.000,ok
medium_k2048_block8,medium,24,2048,1,fp32_params+bf16_autocast,8,False,3,5,479.4619;607.9357;479.7054;479.9639;479.6618,479.7054,11599.419,11942.000,ok
