target,implementation,sequence_length,head_dim,batch_size,dtype,is_causal,phase,seed,warmup_ms,rep_ms,quantiles,p20_ms,p50_ms,p80_ms,peak_allocated_mib,peak_reserved_mib,cold_start_ms,allocator_limit_mib,allocator_fraction,compile_backend,compile_mode,status,error
attention,eager,512,64,1,bfloat16,True,forward,42,100,300,0.2;0.5;0.8,0.0348,0.0369,0.0379,266.563,280.000,,23552,0.9768130292889415,,,ok,
attention,eager,512,64,1,bfloat16,True,backward,42,100,300,0.2;0.5;0.8,0.4813,0.4885,0.4997,276.380,282.000,,23552,0.9768130292889415,,,ok,
attention,eager,512,64,1,bfloat16,True,forward_backward,42,100,300,0.2;0.5;0.8,2.9264,2.9491,2.9604,275.880,280.000,,23552,0.9768130292889415,,,ok,
attention,compiled,512,64,1,bfloat16,True,forward,42,100,300,0.2;0.5;0.8,0.0154,0.0154,0.0164,265.125,278.000,5094.1133,23552,0.9768130292889415,inductor,default,ok,
attention,compiled,512,64,1,bfloat16,True,backward,42,100,300,0.2;0.5;0.8,0.1423,0.1475,0.2171,274.882,280.000,3180.6992,23552,0.9768130292889415,inductor,default,ok,
attention,compiled,512,64,1,bfloat16,True,forward_backward,42,100,300,0.2;0.5;0.8,0.7475,0.8637,1.0212,274.382,280.000,2203.1082,23552,0.9768130292889415,inductor,default,ok,
attention,eager,2048,128,1,bfloat16,True,forward,42,100,300,0.2;0.5;0.8,0.1126,0.1137,0.1147,301.629,318.000,,23552,0.9768130292889415,,,ok,
attention,eager,2048,128,1,bfloat16,True,backward,42,100,300,0.2;0.5;0.8,0.4905,0.4977,0.5038,335.270,362.000,,23552,0.9768130292889415,,,ok,
attention,eager,2048,128,1,bfloat16,True,forward_backward,42,100,300,0.2;0.5;0.8,3.0896,3.1099,3.1212,327.270,362.000,,23552,0.9768130292889415,,,ok,
attention,compiled,2048,128,1,bfloat16,True,forward,42,100,300,0.2;0.5;0.8,0.0420,0.0420,0.0420,278.125,298.000,2343.1239,23552,0.9768130292889415,inductor,default,ok,
attention,compiled,2048,128,1,bfloat16,True,backward,42,100,300,0.2;0.5;0.8,0.2355,0.2468,0.3052,311.277,342.000,3344.0610,23552,0.9768130292889415,inductor,default,ok,
attention,compiled,2048,128,1,bfloat16,True,forward_backward,42,100,300,0.2;0.5;0.8,0.9902,1.0455,1.1274,303.277,322.000,2264.8458,23552,0.9768130292889415,inductor,default,ok,
attention,eager,8192,128,1,bfloat16,True,forward,42,100,300,0.2;0.5;0.8,2.1504,2.1535,2.1607,846.141,854.000,,23552,0.9768130292889415,,,ok,
attention,eager,8192,128,1,bfloat16,True,backward,42,100,300,0.2;0.5;0.8,4.7534,4.7565,4.7596,1244.328,1302.000,,23552,0.9768130292889415,,,ok,
attention,eager,8192,128,1,bfloat16,True,forward_backward,42,100,300,0.2;0.5;0.8,6.8424,6.8454,6.8495,1116.328,1174.000,,23552,0.9768130292889415,,,ok,
attention,compiled,8192,128,1,bfloat16,True,forward,42,100,300,0.2;0.5;0.8,0.6728,0.6748,0.6769,464.125,468.000,2854.5080,23552,0.9768130292889415,inductor,default,ok,
attention,compiled,8192,128,1,bfloat16,True,backward,42,100,300,0.2;0.5;0.8,1.8842,1.8852,1.8872,860.359,918.000,3916.8875,23552,0.9768130292889415,inductor,default,ok,
attention,compiled,8192,128,1,bfloat16,True,forward_backward,42,100,300,0.2;0.5;0.8,2.5272,2.5313,2.5436,732.359,790.000,2281.5943,23552,0.9768130292889415,inductor,default,ok,
small_transformer,eager,512,64,1,fp32_params+bf16_autocast,True,forward,42,100,300,0.2;0.5;0.8,16.1528,16.1818,16.2210,1031.733,1068.000,,23552,0.9768130292889415,,,ok,
small_transformer,eager,512,64,1,fp32_params+bf16_autocast,True,forward_backward,42,100,300,0.2;0.5;0.8,61.1363,64.7291,73.5017,1644.352,1718.000,,23552,0.9768130292889415,,,ok,
small_transformer,eager,512,64,1,fp32_params+bf16_autocast,True,train_step,42,100,300,0.2;0.5;0.8,86.9491,87.8356,90.1851,2671.123,2886.000,,23552,0.9768130292889415,,,ok,
small_transformer,compiled,512,64,1,fp32_params+bf16_autocast,True,forward,42,100,300,0.2;0.5;0.8,4.2410,4.2486,4.2684,781.495,876.000,16083.6908,23552,0.9768130292889415,inductor,default,ok,
small_transformer,compiled,512,64,1,fp32_params+bf16_autocast,True,forward_backward,42,100,300,0.2;0.5;0.8,31.3309,32.5494,33.7068,1407.207,1548.000,31386.7332,23552,0.9768130292889415,inductor,default,ok,
small_transformer,compiled,512,64,1,fp32_params+bf16_autocast,True,train_step,42,100,300,0.2;0.5;0.8,50.9782,53.7876,55.3594,2430.041,2780.000,17228.9605,23552,0.9768130292889415,inductor,default,ok,
