model_size,context_length,batch_size,dtype,amp,mode,peak_active_mib,peak_reserved_mib,traced_delta_mib,residual_stream_theory_mib,wall_time_s,snapshot_file
xl,1024,1,fp32,none,forward,13706.221,13858.0,573.133,10.0,0.4550298638641834,results/memory/snapshots/xl_ctx1024_forward_snapshot.pickle
xl,1024,1,fp32,bf16,forward,19814.221,20162.0,6677.633,10.0,0.10123328864574432,results/memory/snapshots/xl_ctx1024_forward_ampbf16_snapshot.pickle
xl,1024,1,bf16,none,forward,6793.341,7064.0,287.07,10.0,0.07246316038072109,results/memory/snapshots/xl_ctx1024_forward_purebf16_snapshot.pickle
xl,1024,1,fp32,none,train_step,57714.468,58628.0,5584.037,10.0,1.7379562836140394,results/memory/snapshots/xl_ctx1024_train_step_snapshot.pickle
xl,1024,1,fp32,bf16,train_step,58380.593,60978.0,6243.006,10.0,0.6284714322537184,results/memory/snapshots/xl_ctx1024_train_step_ampbf16_snapshot.pickle
xl,1024,1,bf16,none,train_step,29450.459,30188.0,3442.142,10.0,0.4077536817640066,results/memory/snapshots/xl_ctx1024_train_step_purebf16_snapshot.pickle
xl,128,1,fp32,none,forward,13154.051,13168.0,21.25,1.25,0.12230992875993252,results/memory/snapshots/xl_ctx128_forward_snapshot.pickle
xl,128,1,fp32,bf16,forward,19587.445,19798.0,6454.395,1.25,0.056984297931194305,results/memory/snapshots/xl_ctx128_forward_ampbf16_snapshot.pickle
xl,128,1,bf16,none,forward,6516.745,6722.0,10.625,1.25,0.07143029570579529,results/memory/snapshots/xl_ctx128_forward_purebf16_snapshot.pickle
xl,128,1,fp32,none,train_step,52633.995,54508.0,504.883,1.25,0.5117219146341085,results/memory/snapshots/xl_ctx128_train_step_snapshot.pickle
xl,128,1,fp32,bf16,train_step,52631.553,57076.0,502.441,1.25,0.460323728621006,results/memory/snapshots/xl_ctx128_train_step_ampbf16_snapshot.pickle
xl,128,1,bf16,none,train_step,26260.667,26896.0,252.441,1.25,0.3038519565016031,results/memory/snapshots/xl_ctx128_train_step_purebf16_snapshot.pickle
xl,2048,1,fp32,none,forward,15305.682,15858.0,2172.266,20.0,1.0060597397387028,results/memory/snapshots/xl_ctx2048_forward_snapshot.pickle
xl,2048,1,fp32,none,train_step,79376.49,80414.0,,,,
